fecha	lon	lat	especie	n
01/01/2000	-76.026	-13.378	4	182
20000103	-75.492	-10.083	1	77
2000-01-03	-74.857	-12.841	2	57
20000106	-81.739	-4.878	4	185
2000-01-09	-72.672	-12.852	5	153
11/01/2000	-73.102	-5.837	4	56
15/01/2000	-77.781	-11.17	2	129
23/01/2000	-76.292	-8.128	2	27
28/01/2000	-82.709	-3.387	2	80
28/01/2000	-84.945	-10.973	5	179
01/02/2000	-89.321	-17.517	4	34
02/02/2000	-82.709	-14.808	1	194
06/02/2000	-75.582	-16.082	5	10
20000208	-88.828	-11.665	1	56
08/02/2000	-86.235	-15.765	1	64
08/02/2000	-82.165	-17.474	4	174
20000223	-71.902	-16.9	2	65
24/02/2000	-88.45	-3.534	4	73
20000226	-84.24	-6.562	5	45
03/03/2000	-76.928	-7.178	1	105
03/03/2000	-82.288	-2.964	4	64
08/03/2000	-79.479	-12.966	2	8
08/03/2000	-74.015	-11.139	2	27
11/03/2000	-80.935	-15.745	4	79
20000312	-81.803	-2.137	1	105
14/03/2000	-80.323	-7.497	3	61
20000319	-76.312	-4.3	5	189
20/03/2000	-85.744	-12.71	4	83
22/03/2000	-89.303	-14.518	1	20
25/03/2000	-80.902	-9.029	2	140
26/03/2000	-79.439	-14.86	2	102
28/03/2000	-70.421	-10.176	5	125
01/04/2000	-80.849	-13.437	2	190
20000402	-78.564	-3.065	5	35
03/04/2000	-70.144	-11.119	3	127
07/04/2000	-76.915	-5.868	5	56
08/04/2000	-75.223	-15.512	5	144
09/04/2000	-75.436	-11.728	1	156
09/04/2000	-81.227	-10.172	5	21
10/04/2000	-82.444	-6.159	4	180
20000417	-88.455	-8.092	5	103
21/04/2000	-76.353	-7.634	1	64
21/04/2000	-81.117	-14.187	3	147
22/04/2000	-71.516	-12.748	4	33
26/04/2000	-81.725	-12.225	3	141
27/04/2000	-86.574	-17.504	1	81
27/04/2000	-89.156	-8.278	1	67
27/04/2000	-88.569	-3.404	1	183
28/04/2000	-72.118	-4.008	3	159
01/05/2000	-87.33	-8.427	5	192
20000507	-81.048	-2.628	4	124
08/05/2000	-77.569	-15.968	3	116
20000508	-70.24	-3.732	5	112
11/05/2000	-72.177	-14.777	3	106
16/05/2000	-82.87	-14.303	1	21
19/05/2000	-80.813	-3.147	4	152
20000527	-75.482	-13.435	2	47
20000527	-72.894	-7.954	4	34
28/05/2000	-83.544	-16.095	5	95
03/06/2000	-82.998	-13.304	2	31
10/06/2000	-83.717	-12.591	4	1
10/06/2000	-83.993	-11.876	4	86
11/06/2000	-70.475	-7.551	1	43
12/06/2000	-71.287	-15.409	5	158
20000614	-87.834	-5.016	1	32
16/06/2000	-70.063	-2.428	5	54
19/06/2000	-86.644	-9.788	3	172
20000620	-75.471	-12.492	4	56
20/06/2000	-83.46	-4.677	4	188
21/06/2000	-78.215	-4.09	2	138
20000701	-83.459	-14.504	4	44
04/07/2000	-75.84	-8.661	1	115
08/07/2000	-79.969	-17.703	3	18
09/07/2000	-86.295	-13.937	4	144
11/07/2000	-72.088	-16.925	3	188
11/07/2000	-72.515	-10.005	5	123
12/07/2000	-75.129	-14.397	1	114
12/07/2000	-84.073	-8.801	3	104
20000712	-89.196	-7.329	4	195
13/07/2000	-74.46	-5.559	5	56
15/07/2000	-73.654	-6.48	2	124
20000717	-80.029	-7.527	1	34
19/07/2000	-72.486	-11.276	5	194
