"date","G","I","M"
2015-01-01,175,377,739
2015-01-01,178,194,485
2015-01-01,550,535,416
2015-01-01,386,19,353
2015-01-01,227,182,327
2015-01-01,0,471,513
2015-01-01,120,0,193
2015-01-01,608,440,798
2015-01-01,696,799,664
2015-01-01,367,630,395
2015-01-01,452,353,555
2015-01-01,119,0,520
2015-01-02,232,627,367
2015-01-02,459,319,331
2015-01-02,650,710,615
2015-01-02,323,304,277
2015-01-02,393,380,463
2015-01-02,384,435,900
2015-01-02,721,646,478
2015-01-02,425,409,432
2015-01-02,407,560,673
2015-01-02,920,560,480
2015-01-02,547,618,480
2015-01-02,455,134,469
2015-01-02,962,247,474
2015-01-02,44,160,633
2015-01-02,553,489,169
2015-01-02,508,417,744
2015-01-02,696,12,311
2015-01-03,0,603,661
2015-01-03,609,582,47
2015-01-03,485,596,721
2015-01-03,231,622,954
2015-01-03,724,766,728
2015-01-03,736,661,627
2015-01-03,276,229,488
2015-01-04,675,0,384
2015-01-04,592,96,480
2015-01-04,0,74,590
2015-01-04,730,329,568
2015-01-04,577,0,641
2015-01-04,638,302,169
2015-01-04,561,583,234
2015-01-04,148,190,524
2015-01-04,672,445,704
2015-01-04,34,126,171
2015-01-04,438,430,706
2015-01-04,79,0,768
2015-01-04,357,653,127
2015-01-04,556,305,339
2015-01-05,304,803,469
2015-01-05,450,444,808
2015-01-05,980,270,40
2015-01-05,199,410,549
2015-01-05,545,644,358
2015-01-05,213,223,416
2015-01-05,331,495,775
2015-01-05,667,869,387
2015-01-05,192,456,144
2015-01-05,613,313,746
2015-01-05,429,615,343
2015-01-06,667,241,699
2015-01-06,476,345,568
2015-01-06,0,163,171
2015-01-06,73,466,925
2015-01-06,445,0,222
2015-01-06,802,173,806
2015-01-06,309,832,205
2015-01-06,437,418,403
2015-01-06,222,532,675
2015-01-06,0,666,462
2015-01-06,517,29,191
2015-01-06,86,506,696
2015-01-06,66,0,240
2015-01-06,51,497,186
2015-01-06,295,222,273
2015-01-06,434,384,699
2015-01-07,532,172,265
2015-01-07,132,373,436
2015-01-07,13,328,540
2015-01-07,110,28,291
2015-01-07,563,31,148
2015-01-07,804,762,450
2015-01-07,262,504,463
2015-01-07,598,284,470
2015-01-07,482,161,494
2015-01-07,201,558,483
2015-01-07,378,596,752
2015-01-07,650,453,15
2015-01-07,549,0,313
2015-01-08,68,184,0
2015-01-08,189,379,85
2015-01-08,342,106,301
2015-01-08,436,356,152
2015-01-08,435,516,598
2015-01-08,476,2,424
2015-01-08,37,0,550
2015-01-08,197,74,856
2015-01-08,224,127,500
2015-01-08,572,0,601
2015-01-08,284,59,20
2015-01-08,310,442,688
2015-01-08,469,483,341
2015-01-08,435,181,0
2015-01-08,308,661,735
2015-01-08,479,368,271
2015-01-08,631,108,455
2015-01-09,56,642,532
2015-01-09,198,389,111
2015-01-09,374,308,887
2015-01-09,446,772,15
2015-01-09,582,191,221
2015-01-09,120,106,327
2015-01-09,255,468,798
2015-01-09,264,433,146
2015-01-09,164,0,821
2015-01-09,680,0,118
2015-01-09,458,236,166
2015-01-09,472,87,292
2015-01-09,426,606,325
2015-01-09,532,650,899
2015-01-10,529,522,308
2015-01-10,551,787,0
2015-01-10,520,538,498
2015-01-10,499,190,486
2015-01-10,821,193,178
2015-01-10,814,287,886
2015-01-10,457,312,447
2015-01-10,753,287,295
2015-01-11,86,797,0
2015-01-11,348,121,600
2015-01-11,30,92,405
2015-01-11,487,282,601
2015-01-11,568,0,689
2015-01-11,677,424,120
2015-01-11,286,395,276
2015-01-11,647,106,1021
2015-01-11,610,244,26
2015-01-11,248,321,167
2015-01-11,603,0,226
2015-01-11,404,417,414
2015-01-11,788,761,159
2015-01-11,569,130,681
2015-01-12,387,479,154
2015-01-12,299,395,749
2015-01-12,259,422,475
2015-01-12,324,154,399
2015-01-12,792,904,58
2015-01-12,635,140,446
2015-01-12,524,706,524
2015-01-12,94,429,0
2015-01-13,364,688,533
2015-01-13,673,486,480
2015-01-13,712,419,419
2015-01-13,479,155,590
2015-01-13,345,652,1
2015-01-13,637,451,347
2015-01-13,378,471,394
2015-01-13,535,174,189
2015-01-14,1002,151,466
2015-01-14,394,305,192
2015-01-14,612,243,719
2015-01-14,250,318,277
2015-01-14,377,73,385
2015-01-14,702,482,0
2015-01-14,567,211,703
2015-01-14,442,444,390
2015-01-14,1002,382,760
2015-01-14,0,566,344
2015-01-14,340,236,0
2015-01-14,382,0,580
2015-01-14,432,678,53
2015-01-15,128,863,164
2015-01-15,315,279,47
2015-01-15,159,0,884
2015-01-15,536,623,381
2015-01-15,566,100,539
2015-01-15,711,166,354
2015-01-15,0,0,492
2015-01-15,271,574,226
2015-01-15,641,892,738
2015-01-15,210,110,0
2015-01-15,344,544,526
2015-01-15,508,262,344
2015-01-15,483,566,499
2015-01-16,558,503,144
2015-01-16,569,967,177
2015-01-16,203,445,897
2015-01-16,0,416,748
2015-01-16,503,504,368
2015-01-16,907,351,195
2015-01-16,342,336,376
2015-01-16,386,259,557
2015-01-16,410,697,477
2015-01-16,222,446,348
2015-01-16,674,159,254
2015-01-16,776,542,350
2015-01-16,313,768,329
2015-01-16,254,806,243
2015-01-16,282,177,393
2015-01-16,665,727,311
2015-01-16,274,673,352
2015-01-17,231,289,415
2015-01-17,635,101,140
2015-01-17,515,687,299
2015-01-17,315,453,588
2015-01-17,893,804,0
2015-01-17,647,562,69
2015-01-17,273,759,300
2015-01-17,222,604,334
2015-01-17,398,97,476
2015-01-17,314,152,178
2015-01-17,377,768,476
2015-01-17,82,101,620
2015-01-17,171,268,890
2015-01-17,123,445,153
2015-01-18,654,178,0
2015-01-18,291,681,486
2015-01-18,368,571,204
2015-01-18,220,567,642
2015-01-18,376,425,208
2015-01-18,136,193,210
2015-01-18,600,501,524
2015-01-18,576,344,312
2015-01-18,825,315,428
2015-01-18,593,843,625
2015-01-19,334,484,115
2015-01-19,530,476,251
2015-01-19,270,52,615
2015-01-19,741,0,640
2015-01-19,550,327,230
2015-01-19,312,841,400
2015-01-19,354,926,615
2015-01-19,0,77,160
2015-01-19,82,453,0
2015-01-19,437,264,377
2015-01-19,659,236,883
2015-01-19,169,380,274
2015-01-19,327,552,615
2015-01-19,590,531,262
2015-01-19,230,203,1042
2015-01-20,539,475,198
2015-01-20,371,327,0
2015-01-20,299,179,232
2015-01-20,398,482,782
2015-01-20,728,279,601
2015-01-20,243,36,78
2015-01-20,282,354,145
2015-01-20,114,119,608
2015-01-20,243,160,494
2015-01-20,58,478,408
2015-01-20,379,0,81
2015-01-20,465,0,717
2015-01-20,465,215,302
2015-01-20,286,45,319
2015-01-20,575,249,449
2015-01-20,247,608,412
2015-01-20,491,727,375
2015-01-20,471,548,0
2015-01-20,677,330,462
2015-01-20,574,841,292
2015-01-20,222,206,331
2015-01-20,329,893,399
2015-01-20,205,0,263
2015-01-20,365,574,400
2015-01-20,548,382,174
2015-01-20,386,507,259
2015-01-21,340,357,216
2015-01-21,644,35,619
2015-01-21,23,554,249
2015-01-21,252,302,28
2015-01-21,148,523,200
2015-01-21,296,94,726
2015-01-21,470,835,110
2015-01-21,269,759,872
2015-01-22,510,262,181
2015-01-22,578,259,759
2015-01-22,340,760,62
2015-01-22,772,428,64
2015-01-22,301,560,417
2015-01-22,58,594,331
2015-01-22,473,458,540
2015-01-22,217,401,429
2015-01-22,801,266,461
2015-01-22,489,536,456
2015-01-22,661,477,323
2015-01-22,684,312,477
2015-01-22,686,531,353
2015-01-22,416,391,395
2015-01-23,459,68,573
2015-01-23,1065,371,211
2015-01-23,384,159,440
2015-01-23,420,929,482
2015-01-23,82,90,315
2015-01-23,490,698,526
2015-01-23,731,398,14
2015-01-23,330,181,612
2015-01-24,470,377,138
2015-01-24,321,947,471
2015-01-24,279,84,202
2015-01-24,467,553,431
2015-01-24,245,444,741
2015-01-24,571,420,773
2015-01-24,306,917,242
2015-01-24,123,362,331
2015-01-24,367,314,308
2015-01-24,1072,200,142
2015-01-24,0,372,651
2015-01-24,274,309,404
2015-01-24,299,236,774
2015-01-24,578,444,548
2015-01-25,126,850,452
2015-01-25,537,583,372
2015-01-25,467,784,611
2015-01-25,37,309,224
2015-01-25,409,152,211
2015-01-25,284,247,0
2015-01-25,636,482,776
2015-01-25,220,528,760
2015-01-25,44,409,288
2015-01-25,486,547,323
2015-01-25,454,91,231
2015-01-25,374,0,837
2015-01-25,197,208,1010
2015-01-25,0,40,670
2015-01-25,439,461,208
2015-01-25,188,548,865
2015-01-25,631,426,509
2015-01-25,307,811,511
2015-01-25,70,615,571
2015-01-26,533,299,338
2015-01-26,460,202,509
2015-01-26,509,245,606
2015-01-26,238,380,404
2015-01-26,668,441,408
2015-01-26,407,91,167
2015-01-26,204,572,665
2015-01-26,175,506,429
2015-01-26,593,850,0
2015-01-26,285,242,342
2015-01-27,504,390,759
2015-01-27,409,223,63
2015-01-27,524,186,340
2015-01-27,160,306,664
2015-01-27,706,413,449
2015-01-27,172,576,254
2015-01-27,735,180,559
2015-01-27,457,416,461
2015-01-27,865,351,502
2015-01-28,201,642,828
2015-01-28,133,502,515
2015-01-28,642,358,638
2015-01-28,575,299,77
2015-01-28,340,641,569
2015-01-28,372,912,254
2015-01-28,207,136,313
2015-01-28,435,640,615
2015-01-29,561,876,555
2015-01-29,417,219,639
2015-01-29,403,358,0
2015-01-29,725,367,0
2015-01-29,285,0,398
2015-01-29,928,361,527
2015-01-29,323,595,563
2015-01-29,1057,387,433
2015-01-29,621,789,616
2015-01-29,102,371,400
2015-01-30,349,203,382
2015-01-30,123,464,215
2015-01-30,838,428,282
2015-01-30,882,172,778
2015-01-30,293,589,535
2015-01-30,609,657,480
2015-01-30,335,859,219
2015-01-30,642,177,411
2015-01-30,466,0,677
2015-01-30,149,526,640
2015-01-30,293,551,186
2015-01-31,572,456,94
2015-01-31,254,321,9
2015-01-31,455,0,458
2015-01-31,275,252,204
2015-01-31,189,340,285
2015-01-31,369,303,142
2015-01-31,459,586,391
2015-01-31,918,693,675
2015-01-31,558,220,407
2015-01-31,214,553,183
