"date","A","C","D","E","G","I","J","K","L","M","N","O"
2015-02-01,551,374,361,466,260,280,96,140,526,124,0,276
2015-02-01,183,0,168,0,0,253,244,327,314,360,411,117
2015-02-01,0,121,177,527,53,388,228,221,137,384,0,602
2015-02-01,0,0,458,337,476,237,457,432,109,546,525,0
2015-02-01,327,220,64,207,166,0,88,126,320,518,604,275
2015-02-01,6,0,288,215,124,272,44,399,326,543,0,0
2015-02-01,551,244,483,608,342,364,0,963,528,205,0,348
2015-02-01,237,185,0,591,352,384,296,222,0,587,373,248
2015-02-02,135,166,579,371,604,265,471,0,48,591,88,260
2015-02-02,355,121,232,248,682,339,0,0,107,317,401,799
2015-02-02,376,298,460,651,184,293,181,583,65,0,43,247
2015-02-02,122,280,304,266,266,74,160,40,232,701,419,0
2015-02-02,0,605,216,357,555,0,517,169,526,0,66,338
2015-02-02,271,609,348,0,32,573,0,48,521,493,36,0
2015-02-02,230,205,516,0,0,40,343,182,58,504,638,294
2015-02-03,0,657,296,144,209,400,509,431,537,165,92,580
2015-02-03,186,651,509,0,134,57,149,25,0,61,0,410
2015-02-03,0,88,90,293,652,177,299,585,151,0,335,182
2015-02-03,584,0,84,0,425,395,177,0,489,103,238,85
2015-02-03,301,471,786,554,217,268,281,278,4,232,0,226
2015-02-04,269,769,0,375,100,193,24,491,72,0,264,598
2015-02-04,211,0,340,0,355,508,65,545,0,130,74,156
2015-02-04,0,68,346,446,135,255,0,330,62,117,9,211
2015-02-04,363,284,271,212,117,101,482,191,0,81,17,303
2015-02-04,0,553,0,26,443,180,204,187,22,296,0,558
2015-02-05,490,305,226,317,117,0,230,378,0,0,21,68
2015-02-05,218,53,106,301,296,193,186,31,0,0,0,0
2015-02-05,66,632,306,496,170,0,330,149,215,0,34,0
2015-02-05,244,650,614,257,363,65,723,626,325,535,174,470
2015-02-05,190,349,0,343,516,404,13,524,0,46,447,138
2015-02-05,398,172,276,223,687,230,98,335,0,811,556,199
2015-02-05,0,277,593,117,272,66,499,363,3,0,355,782
2015-02-05,0,464,130,450,173,307,0,396,0,382,199,374
2015-02-05,330,161,77,210,149,0,192,0,292,0,453,413
2015-02-05,112,475,0,508,523,578,521,275,100,130,369,0
2015-02-06,355,0,0,430,663,477,0,151,0,665,130,551
2015-02-06,178,0,0,0,0,0,286,0,0,0,0,366
2015-02-06,401,339,408,478,405,84,241,217,75,261,265,544
2015-02-06,324,381,44,573,1,279,362,376,0,201,188,280
2015-02-06,267,443,469,167,309,299,276,149,150,0,195,18
2015-02-06,242,0,336,264,722,477,0,425,235,363,59,8
2015-02-06,386,211,350,297,333,426,79,428,51,129,0,207
2015-02-06,26,557,0,609,217,281,261,260,168,296,498,184
2015-02-06,458,109,0,105,326,146,328,699,154,354,87,250
2015-02-06,203,91,490,503,293,488,75,273,350,30,294,0
2015-02-06,381,75,96,69,468,131,29,487,488,0,0,131
2015-02-07,132,610,804,275,382,463,342,197,55,151,0,455
2015-02-07,415,26,144,173,0,164,44,224,134,233,0,286
2015-02-07,267,462,0,511,161,271,218,916,192,231,162,0
2015-02-07,648,386,460,282,146,310,598,565,431,384,436,88
2015-02-07,331,224,35,229,389,0,167,262,285,284,326,158
2015-02-07,0,233,282,182,201,266,264,332,421,161,55,162
2015-02-07,0,318,561,323,10,123,79,0,576,48,486,0
2015-02-07,0,289,552,132,253,171,311,0,288,521,804,159
2015-02-07,78,428,197,311,226,557,350,248,385,0,330,233
2015-02-08,129,461,381,246,502,0,0,0,153,162,53,473
2015-02-08,496,230,118,203,21,327,40,335,0,463,0,572
2015-02-08,0,606,37,162,12,257,332,704,0,343,236,432
2015-02-08,65,117,608,249,124,81,194,506,134,252,611,289
2015-02-08,55,757,0,123,250,142,164,123,679,211,290,190
2015-02-08,149,0,414,63,355,0,212,493,36,416,187,0
2015-02-08,310,259,171,135,485,201,324,205,367,413,187,292
2015-02-08,552,146,138,222,256,428,0,323,616,495,0,97
2015-02-08,652,228,0,486,751,190,499,170,256,614,0,132
2015-02-08,42,0,81,247,362,59,689,53,0,92,0,686
2015-02-08,0,73,278,212,44,496,299,204,251,829,363,284
2015-02-08,23,91,0,0,0,82,117,268,414,450,625,0
2015-02-08,353,147,347,472,643,98,433,192,284,372,61,191
2015-02-08,0,42,309,549,206,626,0,140,242,20,659,365
2015-02-09,360,183,0,227,0,236,317,101,0,948,564,809
2015-02-09,310,349,591,77,253,254,0,348,401,600,81,270
2015-02-09,4,639,100,246,272,92,75,73,447,109,426,0
2015-02-09,0,136,591,325,132,0,0,150,329,0,388,0
2015-02-09,607,146,25,490,198,370,604,453,68,0,143,273
2015-02-09,407,0,252,4,424,94,0,567,442,299,272,0
2015-02-09,258,441,162,459,316,131,0,209,504,249,124,288
2015-02-09,86,30,18,219,460,304,77,380,116,523,63,152
2015-02-09,335,321,0,205,183,181,305,597,195,426,372,150
2015-02-09,92,554,376,253,70,0,0,89,619,456,653,354
2015-02-09,0,906,0,0,180,176,104,201,411,637,198,0
2015-02-09,204,0,657,144,0,289,258,273,176,237,440,469
2015-02-09,388,452,309,623,34,465,670,184,359,479,417,893
2015-02-09,0,360,0,256,655,0,0,0,137,271,63,383
2015-02-09,435,363,74,316,343,575,496,0,358,321,0,322
2015-02-10,483,515,434,364,89,181,129,508,702,623,0,428
2015-02-10,0,358,224,215,260,154,566,0,0,0,666,554
2015-02-10,675,401,539,182,446,553,595,0,106,217,327,17
2015-02-10,347,185,292,461,0,175,0,399,201,240,18,479
2015-02-10,241,78,444,57,356,215,213,59,0,350,0,292
2015-02-10,27,191,295,536,853,51,227,480,527,51,88,356
2015-02-10,0,52,288,124,521,4,397,106,0,361,374,0
2015-02-10,0,201,129,107,252,661,578,416,152,0,210,178
2015-02-10,166,222,342,131,369,338,0,476,354,90,398,291
2015-02-11,0,53,110,31,0,549,0,0,47,480,422,684
2015-02-11,0,80,0,324,0,161,127,98,206,543,270,72
2015-02-12,158,13,397,558,648,138,148,0,137,508,457,313
2015-02-12,0,119,442,151,573,90,6,0,0,475,260,0
2015-02-12,364,224,315,281,23,567,431,65,0,224,347,399
2015-02-12,584,318,368,0,218,247,0,338,372,138,569,0
2015-02-12,648,778,0,180,80,182,417,0,622,204,375,0
2015-02-12,233,586,644,0,0,773,192,484,658,165,474,224
2015-02-13,180,197,0,142,205,383,385,0,0,0,0,845
2015-02-13,401,0,367,0,487,399,46,168,12,258,0,251
2015-02-13,422,679,59,0,559,361,624,283,244,275,286,0
2015-02-13,668,109,436,639,0,181,486,0,119,505,370,136
2015-02-13,174,264,151,534,0,338,414,0,68,214,493,0
2015-02-13,0,574,206,220,697,691,112,132,615,506,280,294
2015-02-13,155,0,284,26,295,0,133,224,423,389,0,314
2015-02-13,446,0,558,433,564,514,93,510,63,422,414,0
2015-02-13,531,376,130,378,549,508,373,290,281,53,151,33
2015-02-13,186,6,0,46,286,0,135,236,281,148,685,10
2015-02-14,466,53,226,493,157,481,313,109,117,188,279,227
2015-02-14,34,359,442,1,0,236,184,292,431,245,12,495
2015-02-14,317,398,671,0,274,0,916,398,482,239,187,211
2015-02-14,289,78,318,524,217,830,162,660,211,0,339,697
2015-02-14,80,264,257,0,0,386,87,337,0,118,208,385
2015-02-14,75,286,0,466,565,279,301,61,60,1014,119,500
2015-02-14,0,0,403,0,291,487,651,580,0,425,192,237
2015-02-14,691,0,419,84,223,0,506,689,263,59,0,255
2015-02-14,255,0,257,294,267,393,390,479,269,164,259,218
2015-02-15,97,252,319,0,0,483,0,214,0,240,193,195
2015-02-15,0,18,604,508,244,238,0,0,0,356,319,0
2015-02-15,0,0,446,292,152,204,377,147,0,16,302,0
2015-02-15,572,334,482,298,113,559,166,466,471,0,131,6
2015-02-16,0,13,298,290,428,283,340,0,552,93,305,138
2015-02-16,231,0,107,414,118,240,0,483,111,544,572,0
2015-02-16,47,769,464,0,94,7,138,120,548,247,505,0
2015-02-16,158,14,167,0,347,653,0,317,174,703,6,128
2015-02-17,276,0,738,59,99,140,213,0,0,231,373,476
2015-02-17,316,291,0,296,419,0,426,202,385,690,375,0
2015-02-17,203,24,154,41,348,3,0,821,260,508,199,171
2015-02-17,268,413,344,147,363,650,304,602,149,409,377,268
2015-02-17,329,0,227,573,316,478,532,52,26,0,143,542
2015-02-18,548,119,162,216,395,0,379,96,606,0,0,312
2015-02-18,635,477,394,296,0,0,671,100,367,602,460,521
2015-02-18,0,0,269,230,690,346,55,501,76,35,17,98
2015-02-18,508,80,107,82,22,347,651,133,280,0,110,421
2015-02-18,94,0,40,356,609,0,568,198,112,200,429,633
2015-02-18,196,668,0,258,0,271,437,237,0,345,133,272
2015-02-18,139,658,534,122,239,122,287,155,191,711,128,293
2015-02-19,558,71,779,352,182,523,0,144,484,24,234,859
2015-02-19,463,468,61,0,387,99,0,0,198,218,0,329
2015-02-19,503,0,573,317,218,48,0,41,163,0,113,0
2015-02-19,516,0,121,243,491,0,343,29,108,359,469,360
2015-02-19,509,23,453,234,411,0,0,134,116,84,270,946
2015-02-19,306,0,187,131,571,270,0,301,0,498,200,84
2015-02-20,329,351,400,425,584,356,128,235,22,105,0,5
2015-02-20,58,571,246,0,228,0,550,0,294,5,334,0
2015-02-20,125,41,132,847,0,0,172,400,598,539,153,503
2015-02-20,267,0,181,263,437,136,520,511,241,0,155,0
2015-02-20,322,0,758,414,487,0,272,96,0,469,383,512
2015-02-20,0,0,0,460,509,230,313,194,140,461,379,522
2015-02-20,146,798,0,608,325,0,816,0,626,291,557,246
2015-02-20,522,0,177,106,80,87,1012,64,541,353,647,466
2015-02-20,271,0,188,365,0,221,163,708,844,311,158,635
2015-02-20,557,0,0,349,272,54,234,567,223,360,191,348
2015-02-20,360,0,190,300,96,203,294,301,129,1,0,433
2015-02-20,0,505,204,0,0,165,245,30,442,131,0,0
2015-02-20,0,355,0,601,513,303,0,87,0,478,0,0
2015-02-20,289,0,405,186,415,383,0,313,167,983,430,331
2015-02-20,94,0,0,323,0,54,368,0,171,55,185,318
2015-02-21,409,202,123,314,86,791,375,380,0,508,212,588
2015-02-21,430,148,253,0,244,220,458,310,66,246,0,244
2015-02-21,0,225,915,467,0,0,24,383,76,264,134,0
2015-02-21,544,43,448,0,281,470,333,333,157,183,131,717
2015-02-21,388,264,114,0,257,291,18,49,230,33,507,0
2015-02-21,0,0,512,388,0,64,383,333,162,106,301,0
2015-02-21,244,767,390,154,185,79,0,100,0,0,0,440
2015-02-21,0,12,0,227,637,294,0,172,367,454,199,9
2015-02-21,0,0,272,183,0,230,164,259,62,878,146,146
2015-02-22,0,164,378,460,386,1,705,345,0,339,675,284
2015-02-22,761,214,228,344,67,198,438,316,131,261,16,0
2015-02-22,479,214,0,187,45,0,207,250,0,326,229,557
2015-02-22,0,0,561,307,387,106,465,146,459,192,432,0
2015-02-22,233,639,250,312,175,440,449,210,654,118,0,117
2015-02-22,180,212,523,521,344,384,0,288,427,428,61,125
2015-02-22,232,92,364,351,166,204,533,0,130,102,0,783
2015-02-22,634,432,0,92,0,216,139,195,185,338,356,399
2015-02-22,104,450,94,418,131,467,130,20,976,319,0,375
2015-02-22,471,198,643,668,943,200,0,29,0,381,82,385
2015-02-23,0,217,425,103,329,271,312,287,218,137,210,229
2015-02-23,267,289,0,413,283,155,51,186,616,293,230,394
2015-02-23,178,77,632,364,0,75,235,251,525,0,550,566
2015-02-23,429,363,758,179,206,408,333,0,0,585,117,607
2015-02-23,393,406,342,0,378,169,201,557,465,50,0,248
2015-02-23,0,0,237,70,354,307,0,687,326,256,114,524
2015-02-23,2,198,185,624,0,360,178,0,293,357,241,436
2015-02-24,615,297,306,157,0,371,389,0,393,280,48,81
2015-02-24,225,425,150,420,419,62,507,894,328,90,330,289
2015-02-24,331,772,242,766,349,18,251,239,462,262,254,389
2015-02-24,558,106,103,72,217,504,432,0,134,237,220,45
2015-02-24,0,714,33,623,282,230,271,18,279,631,281,438
2015-02-25,472,441,558,49,81,273,381,419,113,412,262,367
2015-02-25,489,0,0,95,347,402,469,118,577,368,213,94
2015-02-25,478,406,408,724,0,192,585,58,787,400,252,339
2015-02-25,0,0,0,593,748,573,54,434,307,407,406,459
2015-02-25,493,243,555,95,0,0,220,701,0,734,565,194
2015-02-25,0,307,200,544,353,184,827,643,0,174,299,0
2015-02-25,301,133,103,30,19,0,226,221,0,221,0,371
2015-02-25,519,23,103,142,252,87,307,492,423,19,216,587
2015-02-25,225,432,289,107,405,311,471,0,0,341,0,0
2015-02-26,637,482,220,313,361,239,0,205,439,31,541,333
2015-02-26,0,254,213,478,343,0,117,195,55,593,305,347
2015-02-26,150,235,400,95,636,421,18,86,283,0,371,208
2015-02-26,450,731,421,0,298,423,513,46,182,0,0,128
2015-02-26,260,381,0,476,0,0,63,231,94,574,57,36
2015-02-26,39,429,0,488,544,173,0,732,100,0,0,463
2015-02-26,265,101,262,193,533,0,267,634,431,382,244,159
2015-02-26,203,227,52,1,368,368,203,2,131,223,254,218
2015-02-27,294,0,496,0,401,83,346,428,19,103,0,355
2015-02-27,653,505,632,62,186,400,572,429,0,109,239,118
2015-02-27,220,510,705,145,345,272,192,512,0,561,477,0
2015-02-27,651,496,253,260,0,86,125,136,71,1,48,257
2015-02-27,113,29,245,130,17,172,318,428,587,335,117,0
2015-02-27,278,0,91,515,736,322,200,119,566,123,124,234
2015-02-27,206,202,331,0,295,129,324,0,385,0,163,332
2015-02-27,172,0,0,0,386,0,265,149,560,392,264,370
2015-02-27,426,150,188,207,285,561,0,374,370,244,247,91
2015-02-27,368,419,332,484,496,366,121,205,0,178,461,0
2015-02-27,155,259,246,451,477,571,0,35,97,190,389,198
2015-02-27,47,72,395,573,398,0,950,200,413,517,279,0
2015-02-27,136,582,328,0,557,289,323,376,196,137,11,0
2015-02-27,0,241,237,349,292,0,328,322,136,182,0,628
2015-02-28,0,216,244,105,251,0,560,588,736,205,222,508
2015-02-28,753,165,273,568,63,0,144,321,148,85,454,357
2015-02-28,29,424,518,577,129,463,155,0,0,367,0,370
2015-02-28,0,0,304,403,241,343,314,205,258,216,202,526
2015-02-28,66,292,520,124,156,223,183,0,108,0,8,0
2015-02-28,0,0,812,286,260,427,736,283,387,162,342,0
