"date","A","B","C","D","E","F","G","H","I","J","K","L","M"
2015-03-01,615,553,454,640,198,833,484,658,613,413,368,234,0
2015-03-01,569,292,1035,479,324,473,502,801,452,550,93,597,296
2015-03-01,326,719,356,806,1120,124,138,306,590,656,471,318,472
2015-03-01,865,299,658,243,550,0,492,509,472,1037,620,496,970
2015-03-01,0,559,382,725,825,66,311,213,763,718,490,549,291
2015-03-01,512,337,626,514,232,320,751,517,862,0,641,497,234
2015-03-01,111,849,73,402,300,168,203,402,12,556,372,334,724
2015-03-01,287,430,382,703,784,536,427,297,787,174,598,669,539
2015-03-01,637,540,660,348,872,49,563,27,457,906,59,972,980
2015-03-01,27,526,304,429,670,579,140,480,218,238,470,448,486
2015-03-01,255,0,575,625,428,598,464,140,651,368,180,401,342
2015-03-01,297,87,647,561,463,817,0,630,930,332,557,501,752
2015-03-01,859,749,453,275,359,492,521,685,268,313,114,308,91
2015-03-01,50,872,519,213,387,606,646,781,358,90,537,260,674
2015-03-01,866,298,0,74,484,194,269,490,492,467,0,397,356
2015-03-01,146,566,277,520,600,169,610,625,484,595,557,453,328
2015-03-01,1075,534,471,826,429,577,753,592,451,481,396,323,404
2015-03-02,498,485,365,421,525,184,448,347,135,433,430,511,815
2015-03-02,146,519,532,200,569,726,722,183,440,482,236,860,777
2015-03-02,692,300,826,85,411,713,353,601,1127,566,243,459,451
2015-03-02,0,296,524,305,156,669,0,597,137,522,191,314,560
2015-03-02,458,136,231,294,361,237,498,404,723,35,604,277,397
2015-03-02,808,673,708,341,755,481,60,728,405,592,335,102,190
2015-03-02,487,1155,0,572,596,735,724,868,455,268,363,0,180
2015-03-02,963,387,0,903,476,451,764,568,414,128,498,281,451
2015-03-02,451,247,394,468,218,297,666,780,667,524,301,324,565
2015-03-03,486,539,795,406,570,616,659,6,888,292,586,433,588
2015-03-03,186,908,109,812,463,1087,320,872,486,679,104,39,161
2015-03-03,593,609,245,806,607,481,497,558,152,0,706,374,895
2015-03-03,644,310,320,577,773,422,0,498,575,349,249,355,980
2015-03-03,445,546,362,541,436,328,525,189,356,379,485,371,273
2015-03-03,598,549,504,157,579,572,706,361,664,377,259,488,409
2015-03-03,364,470,829,282,694,376,396,631,444,448,361,655,281
2015-03-03,898,218,419,422,305,836,401,746,504,456,364,583,153
2015-03-03,278,518,620,479,656,376,191,208,96,286,328,791,835
2015-03-03,936,245,327,401,483,690,188,292,329,680,807,426,452
2015-03-03,354,710,435,484,0,669,543,510,141,225,816,532,676
2015-03-03,309,490,540,714,632,630,556,319,850,848,1275,341,497
2015-03-03,592,625,250,160,417,561,677,161,39,516,516,166,690
2015-03-04,578,676,515,469,425,590,817,731,659,492,201,619,642
2015-03-04,0,405,449,577,837,335,352,195,476,520,248,87,552
2015-03-04,138,413,372,619,907,330,341,349,326,151,318,459,746
2015-03-04,367,991,67,694,82,359,399,405,614,40,574,298,249
2015-03-04,392,584,905,212,664,473,237,1070,187,196,178,382,609
2015-03-04,405,284,156,87,567,938,602,102,259,166,329,413,321
2015-03-04,658,99,348,587,210,526,384,326,947,287,486,445,598
2015-03-04,683,374,539,865,451,461,212,581,399,248,317,87,528
2015-03-04,310,0,77,614,331,0,330,817,241,708,308,432,326
2015-03-04,675,0,201,532,622,247,650,497,123,505,664,446,661
2015-03-04,748,118,621,532,615,249,225,681,506,401,263,551,215
2015-03-04,746,459,0,784,238,647,488,690,315,385,0,339,571
2015-03-04,458,0,423,439,313,217,612,531,367,336,521,15,596
2015-03-04,417,497,452,509,139,470,602,502,245,264,485,632,654
2015-03-04,269,536,495,344,504,691,683,482,303,794,509,309,546
2015-03-04,232,547,600,152,622,349,748,444,684,0,659,778,164
2015-03-04,359,810,584,377,377,242,212,1273,370,990,172,780,198
2015-03-04,530,549,478,566,658,393,890,303,772,718,492,631,637
2015-03-04,400,463,377,711,347,602,99,717,228,701,95,672,756
2015-03-05,418,74,847,460,641,748,538,672,201,515,287,396,0
2015-03-05,427,546,34,146,564,386,129,208,657,505,200,749,672
2015-03-05,703,278,488,360,667,413,368,647,627,392,567,448,194
2015-03-05,425,596,685,493,169,404,716,501,579,660,455,464,884
2015-03-05,58,233,603,648,337,253,174,843,407,360,348,403,661
2015-03-05,856,520,672,378,760,242,668,461,255,564,365,540,87
2015-03-05,321,335,110,619,143,518,282,277,436,96,273,635,649
2015-03-05,633,182,435,781,155,431,383,622,14,305,53,0,350
2015-03-05,308,631,202,670,501,280,379,870,498,175,352,756,509
2015-03-05,583,262,682,700,817,573,335,358,581,777,913,71,435
2015-03-05,809,1032,191,606,466,678,42,323,130,344,0,651,242
2015-03-05,483,246,555,704,808,344,429,0,422,324,331,1030,496
