"date","B","C","D","E","G","H","I","J","K","L","N","O"
2015-04-01,747,452,193,650,0,309,293,383,258,202,98,909
2015-04-01,397,526,383,451,263,584,0,190,163,385,584,57
2015-04-01,565,760,194,233,433,297,347,504,247,149,314,722
2015-04-01,432,190,334,361,277,666,395,171,277,321,0,656
2015-04-01,694,234,148,238,550,402,0,420,766,108,427,723
2015-04-01,63,509,263,446,545,446,43,991,318,288,370,44
2015-04-01,358,109,346,523,875,0,627,463,268,191,263,21
2015-04-01,715,436,377,641,316,438,252,307,231,441,427,791
2015-04-01,421,398,204,262,1177,525,284,100,0,304,558,272
2015-04-01,398,914,656,255,52,857,329,231,677,372,387,50
2015-04-02,0,178,395,42,562,412,0,113,518,430,475,437
2015-04-02,445,149,582,212,505,0,529,297,395,613,93,996
2015-04-02,322,242,415,473,448,348,430,0,561,552,211,506
2015-04-02,218,599,396,39,1003,86,18,409,715,0,236,466
2015-04-02,249,794,0,284,231,186,467,205,547,376,554,605
2015-04-02,363,122,632,0,630,200,24,594,631,147,319,274
2015-04-02,553,86,407,532,492,413,388,0,0,689,184,294
2015-04-02,17,287,309,157,314,229,143,280,500,374,369,362
2015-04-02,402,3,381,345,565,346,113,429,553,835,33,603
2015-04-02,611,815,59,296,978,1103,541,204,202,526,0,438
2015-04-02,380,742,440,477,294,725,64,307,329,358,371,381
2015-04-02,472,144,416,240,794,957,470,577,856,347,400,102
2015-04-02,467,602,684,649,258,321,0,437,224,329,303,363
2015-04-02,497,279,589,463,346,380,0,745,978,115,39,0
2015-04-02,149,463,685,0,525,232,484,0,709,372,418,459
2015-04-02,572,856,553,322,154,409,239,618,301,538,402,587
2015-04-02,82,473,669,575,832,782,2,371,195,302,1005,241
2015-04-02,460,136,521,762,462,559,256,498,672,933,211,873
2015-04-03,391,513,499,761,488,389,528,622,558,0,526,534
2015-04-03,823,283,579,907,616,434,574,399,416,300,355,117
2015-04-03,176,422,207,514,323,178,0,48,881,277,243,450
2015-04-03,789,640,520,393,369,620,503,127,309,126,788,713
2015-04-03,565,164,560,722,371,266,260,612,444,133,106,425
2015-04-03,257,672,170,471,14,293,586,97,586,55,649,300
2015-04-03,843,213,791,289,17,592,504,303,724,38,566,251
2015-04-03,467,4,381,516,383,541,679,580,544,0,591,437
2015-04-03,219,223,418,112,105,186,422,468,229,358,561,860
2015-04-03,581,663,902,305,501,688,394,496,121,612,173,361
2015-04-03,441,278,558,381,571,178,590,314,223,21,361,625
2015-04-04,369,396,604,392,208,495,378,571,34,763,344,641
2015-04-04,559,903,166,312,619,226,477,526,179,359,436,658
2015-04-04,437,110,195,386,237,152,687,506,227,214,536,264
2015-04-04,313,574,303,573,301,380,275,478,0,330,0,308
2015-04-04,0,131,89,0,224,931,164,263,659,355,291,290
2015-04-04,407,417,1156,828,466,98,253,309,311,273,234,452
2015-04-04,638,180,514,437,377,184,194,421,433,533,403,459
2015-04-04,521,320,249,40,538,443,451,238,0,502,833,379
2015-04-04,559,671,341,567,202,291,562,620,585,1009,532,337
2015-04-05,620,179,285,553,710,180,601,701,215,626,431,212
2015-04-05,457,143,417,570,148,734,0,288,694,464,354,647
2015-04-05,198,319,452,82,413,373,294,645,360,679,224,203
2015-04-05,234,0,218,1330,364,126,660,588,405,316,341,3
2015-04-05,332,568,21,728,233,575,0,266,209,691,211,457
2015-04-05,174,340,245,0,311,711,805,297,549,305,507,410
2015-04-05,432,165,658,404,358,533,0,699,193,507,72,679
2015-04-05,129,463,339,90,493,51,541,349,270,477,146,516
2015-04-05,354,405,274,319,342,417,571,251,425,744,0,189
2015-04-05,510,256,533,475,667,364,0,236,197,356,274,0
2015-04-05,405,195,358,544,182,259,262,550,945,551,163,530
2015-04-05,521,84,609,303,179,308,533,585,969,316,491,313
2015-04-05,613,158,806,551,22,0,705,477,411,94,430,228
2015-04-05,398,447,127,124,133,945,795,182,479,591,0,238
2015-04-05,645,528,1094,335,671,262,508,240,1190,789,0,661
2015-04-06,414,478,2,389,212,313,337,328,382,659,573,258
2015-04-06,58,788,244,934,545,625,639,548,482,967,371,414
2015-04-06,383,646,493,132,412,492,705,307,115,409,653,455
2015-04-06,329,682,549,602,18,492,714,504,632,243,416,683
2015-04-06,424,188,146,796,255,783,325,958,200,286,552,697
2015-04-06,252,455,323,117,514,833,480,826,653,655,744,633
2015-04-06,339,567,200,354,190,406,317,277,104,121,675,584
2015-04-06,819,618,171,87,386,450,279,342,748,318,556,393
2015-04-06,523,182,450,243,536,394,268,901,249,224,995,165
2015-04-06,137,471,0,0,573,394,0,254,788,650,298,306
2015-04-06,71,334,447,409,390,365,449,177,714,690,607,348
2015-04-06,472,192,0,600,395,159,228,456,0,94,39,455
2015-04-06,204,125,336,121,162,311,687,628,440,437,447,836
2015-04-07,114,191,348,110,578,309,716,207,391,867,624,424
2015-04-07,0,788,351,201,454,358,584,0,522,522,33,902
2015-04-07,638,50,0,225,859,419,467,497,464,348,129,684
2015-04-07,434,217,156,516,373,31,452,446,279,570,178,0
