"date","B","C","E","F","H","I","J","K","L","M","O"
2015-05-01,821,478,0,471,364,441,510,352,640,329,616
2015-05-01,80,634,338,120,391,375,912,587,423,377,262
2015-05-01,637,518,330,430,710,722,282,219,275,421,811
2015-05-01,346,463,636,303,658,672,515,300,171,535,625
2015-05-01,224,701,504,746,701,719,374,569,236,359,577
2015-05-01,236,359,348,669,368,537,652,343,893,443,311
2015-05-01,723,810,241,401,304,155,814,287,693,0,122
2015-05-01,947,194,603,807,667,462,92,571,453,222,621
2015-05-01,382,212,245,688,519,257,635,560,971,646,820
2015-05-01,0,300,482,483,483,0,271,657,472,826,0
2015-05-01,970,193,336,718,468,745,441,471,65,894,290
2015-05-01,208,276,762,371,851,729,693,834,406,702,216
2015-05-01,470,1213,269,199,182,66,252,591,0,531,877
2015-05-01,639,694,71,274,526,38,359,701,411,581,173
2015-05-01,527,507,229,696,482,529,551,416,687,1029,644
2015-05-01,566,799,262,486,635,654,665,768,266,244,315
2015-05-02,446,902,16,1042,316,842,928,605,191,452,141
2015-05-02,568,692,454,505,303,882,446,634,658,283,464
2015-05-02,0,291,502,743,826,0,102,459,413,548,461
2015-05-02,398,636,498,508,372,407,477,841,111,195,286
2015-05-02,962,475,591,540,412,534,382,541,289,206,265
2015-05-02,530,900,346,675,1159,766,285,257,771,683,618
2015-05-02,545,947,503,584,382,784,427,340,716,231,235
2015-05-02,521,60,580,96,440,247,575,537,778,518,449
2015-05-02,803,554,379,618,404,655,584,652,385,316,325
2015-05-02,0,447,695,492,661,345,917,1007,661,276,328
2015-05-02,557,509,471,249,772,630,333,644,587,355,223
2015-05-02,550,279,118,351,606,717,563,78,834,223,457
2015-05-02,589,322,318,239,702,700,717,625,546,791,504
2015-05-02,828,501,254,493,382,72,652,486,518,394,554
2015-05-02,1045,74,541,745,399,338,427,522,302,784,398
2015-05-02,1102,977,385,673,447,477,288,404,280,671,214
2015-05-02,585,595,656,435,301,574,380,452,408,696,194
2015-05-02,41,295,110,227,732,311,760,137,460,906,517
2015-05-02,475,806,336,181,753,598,499,644,649,849,647
2015-05-03,659,446,444,135,813,314,291,560,671,680,781
2015-05-03,549,793,716,545,620,102,945,498,428,506,377
2015-05-03,1009,362,494,333,342,370,1002,701,888,682,403
2015-05-03,732,900,954,403,574,542,580,460,231,74,527
2015-05-03,115,296,201,284,672,328,394,189,522,323,502
2015-05-03,684,488,0,296,485,282,267,392,435,300,321
2015-05-03,705,535,480,726,845,523,377,555,742,621,459
2015-05-03,915,706,445,649,9,347,521,938,355,112,360
2015-05-03,494,443,863,645,225,176,839,624,394,740,82
2015-05-03,0,466,492,524,646,293,368,692,661,434,848
2015-05-03,393,0,686,318,338,831,836,515,298,559,722
2015-05-03,393,455,500,614,637,608,313,426,185,466,571
2015-05-03,519,507,775,213,518,317,171,653,178,308,340
2015-05-03,349,384,525,92,263,628,583,70,639,263,433
2015-05-03,643,873,376,385,554,615,101,604,414,0,678
2015-05-04,349,893,249,540,515,195,746,1029,636,356,662
2015-05-04,279,676,70,973,148,653,190,665,462,446,998
2015-05-04,683,735,178,478,346,502,651,714,594,558,556
2015-05-04,489,351,399,515,639,553,400,524,371,354,527
2015-05-04,294,519,286,532,860,385,354,625,207,739,289
2015-05-04,51,232,648,46,838,843,695,400,377,400,1002
2015-05-04,0,718,788,661,591,494,451,454,283,240,461
2015-05-04,753,497,657,366,697,545,371,356,636,125,623
2015-05-04,1115,701,411,536,479,875,802,508,441,477,767
2015-05-04,411,102,571,0,457,670,788,0,695,589,566
2015-05-04,251,387,259,889,502,939,473,423,437,551,383
2015-05-04,393,237,771,616,290,638,205,480,1034,994,310
2015-05-04,273,614,306,78,485,632,1158,775,330,500,561
2015-05-04,527,456,202,280,701,666,105,1031,503,586,779
2015-05-04,941,840,0,722,497,749,848,249,837,600,471
2015-05-04,621,233,318,288,512,302,376,677,355,387,504
2015-05-05,221,399,78,422,159,572,503,45,495,885,319
2015-05-05,0,1139,153,790,708,156,626,1050,216,229,504
2015-05-05,149,653,678,562,643,491,602,420,874,842,1112
2015-05-05,0,840,618,302,572,443,244,315,476,441,412
2015-05-05,825,435,713,490,408,291,461,537,675,253,281
2015-05-05,390,406,647,560,522,323,549,688,251,885,610
2015-05-05,392,841,125,414,456,583,545,226,485,307,272
2015-05-05,700,221,701,586,202,0,889,282,674,452,476
2015-05-05,641,509,182,914,586,1009,695,500,391,431,601
2015-05-05,524,456,132,241,676,431,621,410,737,100,451
2015-05-05,543,92,898,416,675,842,1158,522,782,693,936
2015-05-06,344,417,669,642,756,529,1244,528,646,634,769
2015-05-06,419,425,648,388,504,385,150,544,18,739,573
2015-05-06,399,525,364,431,86,700,272,0,582,216,325
2015-05-06,253,408,557,690,376,809,471,679,156,246,650
2015-05-06,738,448,752,262,148,239,790,505,352,835,660
2015-05-06,666,327,571,387,533,797,740,403,571,726,443
2015-05-06,740,402,382,431,159,255,736,488,300,651,566
2015-05-06,747,782,555,118,650,714,719,415,405,104,345
2015-05-06,186,0,915,939,571,827,422,174,705,802,727
2015-05-06,762,661,267,363,588,501,66,433,665,866,0
2015-05-06,492,830,546,462,657,420,467,643,832,704,488
2015-05-06,360,883,561,673,748,1005,563,566,49,742,891
2015-05-06,363,400,348,606,703,704,343,533,506,401,794
2015-05-06,1106,710,580,499,585,283,331,54,469,672,528
2015-05-06,769,397,400,580,739,640,98,714,250,403,532
2015-05-06,330,355,782,478,407,553,920,695,440,808,709
2015-05-06,101,856,346,635,561,205,757,938,193,688,1020
2015-05-07,607,816,441,67,1018,661,323,587,708,484,667
2015-05-07,488,411,561,169,679,138,496,321,560,639,224
2015-05-07,522,435,633,530,866,560,516,302,177,330,669
2015-05-07,524,608,341,0,0,847,457,680,811,815,700
2015-05-07,717,484,817,0,518,698,635,552,652,641,520
2015-05-07,430,427,626,603,102,750,768,448,316,633,1003
2015-05-07,397,445,81,134,314,527,0,432,646,658,610
2015-05-07,583,253,343,237,309,573,714,241,471,156,260
2015-05-07,745,108,391,755,285,872,538,530,789,638,351
2015-05-07,727,323,383,767,534,233,339,43,520,342,851
2015-05-07,1087,384,603,691,540,280,365,593,940,196,507
2015-05-07,788,529,524,0,599,141,476,162,520,689,483
2015-05-07,641,172,592,536,553,628,172,702,675,892,466
2015-05-07,836,263,777,765,635,466,319,221,271,636,535
2015-05-07,432,795,595,266,464,461,770,728,829,894,770
2015-05-07,54,672,429,556,696,653,0,564,223,635,447
2015-05-07,485,149,422,602,878,196,611,275,15,616,653
2015-05-07,897,543,561,190,584,331,333,284,320,476,1205
2015-05-07,0,437,893,485,1096,478,602,471,466,943,306
2015-05-08,659,945,669,842,482,248,562,563,479,558,507
2015-05-08,725,442,172,321,536,124,428,9,0,410,516
2015-05-08,443,524,292,0,508,929,442,637,842,643,475
2015-05-08,352,843,439,698,633,486,750,867,548,102,530
2015-05-08,551,254,292,606,245,548,401,794,612,654,0
2015-05-08,663,474,803,279,381,636,699,305,305,461,672
2015-05-08,627,575,728,523,113,411,774,692,924,109,271
2015-05-08,406,623,311,810,243,436,687,235,669,616,582
2015-05-08,348,518,601,718,916,631,381,0,416,248,699
2015-05-08,608,340,302,538,402,635,350,766,258,996,134
2015-05-08,942,369,226,0,650,730,466,694,581,677,692
2015-05-08,66,286,395,567,115,592,531,647,874,587,297
2015-05-08,592,279,402,518,730,869,385,485,594,808,323
2015-05-09,206,493,193,415,276,763,660,782,307,0,845
2015-05-09,577,522,345,163,245,369,521,330,562,60,532
2015-05-09,541,915,614,53,371,285,261,200,962,169,529
2015-05-09,711,694,264,563,463,591,590,645,821,116,663
2015-05-09,621,511,469,733,628,363,425,704,495,171,484
2015-05-09,457,171,862,544,428,546,422,680,598,24,304
2015-05-09,752,294,567,364,470,86,0,707,269,262,670
2015-05-09,334,598,45,127,523,528,108,698,526,728,546
2015-05-09,100,7,249,874,630,246,217,671,831,793,522
2015-05-09,704,177,452,389,669,264,447,445,804,536,239
2015-05-09,393,579,785,923,367,249,454,388,349,784,276
2015-05-09,565,683,576,782,498,797,594,825,533,591,617
2015-05-09,721,484,467,306,713,376,0,434,225,363,660
2015-05-09,335,215,317,252,683,832,760,705,563,471,632
2015-05-09,303,269,231,599,501,328,353,466,463,361,700
2015-05-09,148,588,108,99,0,653,992,455,432,770,444
2015-05-09,0,329,425,413,564,742,655,990,228,263,892
2015-05-09,272,721,461,325,234,805,892,385,936,649,332
2015-05-09,749,617,638,132,0,83,744,645,821,494,596
2015-05-10,703,455,677,494,542,263,626,485,245,398,762
2015-05-10,354,527,209,575,375,0,326,550,552,703,320
2015-05-10,795,571,607,927,670,192,962,653,504,881,52
2015-05-10,520,416,384,512,156,1015,294,493,667,881,623
2015-05-10,784,767,852,526,973,472,0,774,620,482,384
2015-05-10,805,665,603,746,359,311,571,989,658,585,152
2015-05-10,328,910,456,703,453,703,892,780,357,264,679
2015-05-10,373,3,276,288,350,436,80,608,331,0,466
2015-05-10,995,605,612,563,556,698,697,651,507,531,354
2015-05-10,163,409,987,547,878,624,661,496,457,808,639
2015-05-10,370,427,0,258,576,83,434,450,725,529,1034
2015-05-10,464,340,927,726,473,515,1,231,817,255,569
2015-05-10,619,138,660,370,223,442,547,447,542,95,759
2015-05-10,530,66,485,241,682,927,664,168,638,362,586
2015-05-10,487,378,469,0,104,297,254,337,303,702,476
2015-05-10,528,751,564,918,836,240,366,568,759,801,628
2015-05-10,310,485,697,538,688,583,39,102,621,603,848
2015-05-11,695,813,364,382,631,429,470,775,937,611,441
2015-05-11,0,859,86,245,437,803,419,370,38,766,651
2015-05-11,710,704,623,727,522,400,246,310,614,697,210
2015-05-11,280,373,135,754,241,570,806,606,273,581,688
2015-05-11,699,337,223,470,234,58,1009,384,453,494,303
2015-05-11,241,477,573,453,412,405,244,273,731,283,816
2015-05-11,753,395,927,336,417,571,388,592,414,508,918
2015-05-11,689,0,432,550,727,918,692,735,664,587,360
2015-05-11,415,359,74,503,357,653,940,317,790,515,492
2015-05-11,396,775,742,667,0,474,568,615,480,388,337
2015-05-11,583,568,54,93,255,641,42,453,446,768,406
2015-05-11,223,358,555,1135,772,728,562,397,772,471,628
2015-05-11,512,401,168,425,496,373,768,616,733,515,636
2015-05-11,982,422,222,546,534,238,364,328,913,505,807
2015-05-11,350,532,3,0,753,554,290,471,817,741,497
2015-05-11,468,379,346,543,155,537,491,108,608,481,651
2015-05-11,26,293,762,352,132,900,93,450,260,423,788
2015-05-11,400,968,35,776,238,0,628,610,968,699,187
2015-05-11,301,512,547,617,653,512,671,571,0,191,643
2015-05-12,429,418,857,450,519,720,715,405,546,469,502
2015-05-12,888,220,722,729,714,252,473,422,604,589,658
2015-05-12,387,660,549,374,591,475,128,961,364,312,261
2015-05-12,853,416,558,545,343,658,530,383,670,274,487
2015-05-12,557,648,152,638,603,793,239,441,513,680,501
2015-05-12,493,457,755,852,527,777,47,373,203,907,877
2015-05-12,125,266,336,431,857,345,0,446,286,318,412
2015-05-12,684,108,580,83,400,985,266,561,807,661,542
2015-05-12,593,601,265,0,14,363,796,318,656,523,591
2015-05-12,598,851,547,430,67,551,362,927,0,481,765
2015-05-12,769,344,306,265,222,581,138,462,564,637,551
2015-05-12,1013,305,556,973,652,414,370,584,331,367,404
2015-05-12,725,578,833,503,250,642,926,261,502,275,512
2015-05-12,806,595,264,725,376,978,645,573,805,913,308
2015-05-13,651,684,556,922,806,379,401,500,408,332,278
2015-05-13,313,470,772,494,754,393,468,377,634,446,552
2015-05-13,258,1002,487,362,577,391,289,570,367,532,255
2015-05-13,602,412,162,637,416,644,210,465,738,460,796
2015-05-13,494,0,534,492,327,353,266,191,493,362,674
2015-05-13,403,393,553,535,0,284,439,346,359,411,519
2015-05-13,687,805,647,984,372,634,348,337,415,915,0
2015-05-13,641,497,707,145,298,775,239,595,618,125,340
2015-05-13,440,639,326,369,439,431,390,574,621,794,209
2015-05-13,387,327,894,386,1042,587,438,581,0,980,172
2015-05-13,500,590,287,921,321,410,579,261,516,773,594
2015-05-13,337,346,0,272,1189,894,436,135,546,454,693
2015-05-13,657,837,476,920,267,378,654,199,681,646,493
2015-05-13,406,349,785,701,450,578,424,897,401,391,0
2015-05-13,243,360,221,469,650,262,706,542,380,658,533
2015-05-13,109,605,393,323,401,321,383,306,766,275,314
2015-05-13,483,564,929,518,639,484,257,431,521,516,201
2015-05-13,309,420,101,739,481,270,694,843,419,486,482
2015-05-13,336,793,193,0,405,258,765,614,443,879,869
2015-05-14,459,305,938,556,438,725,578,144,833,354,518
2015-05-14,143,404,509,607,144,390,277,399,420,145,246
2015-05-14,364,380,806,547,308,628,280,207,168,582,535
2015-05-14,645,552,676,285,497,604,160,567,570,352,468
2015-05-14,532,895,815,365,786,568,553,677,654,518,457
2015-05-14,395,490,183,306,583,566,811,481,174,497,357
2015-05-14,812,564,820,664,437,426,423,193,438,763,850
2015-05-14,592,625,376,1133,480,728,679,415,603,657,439
2015-05-14,1019,438,294,337,922,895,655,431,343,483,613
2015-05-14,691,505,26,797,264,166,140,616,0,613,606
2015-05-14,700,913,744,596,600,654,447,379,248,670,331
2015-05-14,393,515,598,423,475,55,342,649,510,635,894
2015-05-14,647,482,0,1055,644,1202,454,619,772,307,573
2015-05-14,287,547,341,0,1042,266,410,622,221,717,342
2015-05-14,935,350,764,498,718,1135,278,240,330,343,423
2015-05-14,525,563,447,255,842,355,259,436,525,544,621
2015-05-14,551,388,287,199,653,843,605,705,504,423,258
2015-05-15,361,661,179,655,311,572,377,518,105,1197,392
2015-05-15,541,484,804,107,281,976,700,327,395,353,470
2015-05-15,451,616,567,573,542,725,519,25,651,651,157
2015-05-15,63,611,484,564,203,450,368,229,573,698,670
2015-05-15,455,514,0,584,773,424,357,548,153,879,462
2015-05-15,726,0,378,180,644,819,396,382,349,839,13
2015-05-15,794,0,353,733,561,365,530,971,227,21,770
2015-05-15,133,602,471,388,1143,461,892,893,541,641,822
2015-05-15,455,877,842,449,425,661,718,243,886,939,821
2015-05-15,535,661,319,444,1068,458,296,611,470,415,350
2015-05-15,214,1082,618,726,807,376,522,723,736,617,273
2015-05-15,526,268,271,549,616,595,277,423,376,257,604
2015-05-15,283,665,224,0,522,1117,1032,514,360,626,355
2015-05-15,410,502,748,469,199,708,538,195,405,423,722
2015-05-15,95,202,1027,348,14,557,427,265,408,268,594
2015-05-15,366,646,627,313,457,364,143,741,541,617,277
