"date","B","C","F","G"
2015-07-01,428,689,729,158
2015-07-01,441,422,607,23
2015-07-01,720,402,295,272
2015-07-01,210,438,545,626
2015-07-01,153,76,0,639
2015-07-01,546,80,716,223
2015-07-01,0,377,1016,0
2015-07-01,291,43,546,247
2015-07-01,484,507,385,224
2015-07-01,270,594,864,77
2015-07-01,407,616,141,652
2015-07-01,419,466,251,246
2015-07-01,353,408,469,686
2015-07-01,557,491,446,344
2015-07-01,351,60,351,655
2015-07-01,1115,343,277,111
2015-07-01,308,795,761,303
2015-07-02,487,617,456,249
2015-07-02,677,305,241,687
2015-07-02,255,656,227,538
2015-07-02,74,640,0,759
2015-07-02,490,909,175,204
2015-07-02,783,218,273,481
2015-07-02,219,274,610,777
2015-07-02,35,549,139,458
2015-07-02,451,701,407,175
2015-07-02,138,77,668,657
2015-07-02,756,73,43,187
2015-07-02,239,606,427,629
2015-07-02,189,320,361,168
2015-07-02,176,361,526,335
2015-07-02,0,716,641,362
2015-07-02,409,825,327,0
2015-07-02,282,164,528,378
2015-07-02,447,441,211,390
2015-07-03,798,602,471,93
2015-07-03,195,564,469,796
2015-07-03,444,279,429,923
2015-07-03,0,645,464,378
2015-07-03,396,176,555,34
2015-07-03,517,581,618,115
2015-07-03,237,173,629,240
2015-07-03,277,0,741,482
2015-07-03,363,823,367,450
2015-07-04,35,1069,159,433
2015-07-04,219,198,0,381
2015-07-04,607,589,311,247
2015-07-04,198,464,692,378
2015-07-04,309,205,190,1082
2015-07-04,875,437,334,710
2015-07-04,405,95,249,326
2015-07-04,0,30,364,181
2015-07-04,908,350,0,440
2015-07-04,514,700,801,447
2015-07-04,308,900,499,386
2015-07-04,515,96,125,348
2015-07-04,430,216,0,290
2015-07-04,217,490,79,347
2015-07-04,333,45,1047,195
2015-07-04,335,183,215,101
2015-07-05,549,531,598,104
2015-07-05,50,499,444,756
2015-07-05,377,838,190,428
2015-07-05,417,735,48,63
2015-07-05,198,176,184,931
2015-07-05,130,85,486,240
2015-07-05,671,166,762,107
2015-07-05,656,278,69,523
2015-07-05,259,266,676,349
2015-07-05,507,482,171,493
2015-07-05,738,650,742,334
2015-07-06,419,95,569,669
2015-07-06,418,468,342,0
2015-07-06,713,109,418,597
2015-07-06,431,964,57,403
2015-07-06,353,0,163,600
2015-07-06,454,539,887,322
2015-07-06,458,131,558,118
2015-07-06,240,164,483,261
2015-07-06,707,664,472,987
2015-07-06,263,384,446,373
2015-07-06,322,534,380,624
2015-07-06,360,39,559,581
2015-07-06,652,469,499,783
2015-07-06,251,367,50,371
2015-07-06,853,591,914,117
2015-07-06,552,143,633,167
2015-07-06,655,376,0,709
2015-07-06,489,585,276,423
2015-07-06,583,484,163,179
2015-07-07,176,538,405,124
2015-07-07,575,339,348,57
2015-07-07,358,556,247,266
2015-07-07,483,473,425,616
2015-07-07,417,810,0,144
2015-07-07,238,581,616,378
2015-07-07,0,393,227,508
2015-07-07,343,233,744,469
2015-07-07,2,889,61,467
2015-07-08,496,0,543,474
2015-07-08,309,17,539,112
2015-07-08,295,578,729,639
2015-07-08,395,318,381,480
2015-07-08,151,510,174,356
2015-07-08,242,153,1122,614
2015-07-08,792,334,685,290
2015-07-08,107,598,799,660
2015-07-08,185,248,0,77
2015-07-08,453,605,281,699
2015-07-08,834,769,157,296
2015-07-08,853,0,297,395
2015-07-08,445,228,440,26
2015-07-08,347,551,797,346
2015-07-09,267,503,408,548
2015-07-09,388,154,181,204
2015-07-09,475,595,176,702
2015-07-09,0,461,193,150
2015-07-09,512,91,417,567
2015-07-09,3,92,258,73
2015-07-09,183,1111,171,104
2015-07-09,631,315,855,545
2015-07-09,267,678,537,350
2015-07-09,0,336,294,441
2015-07-09,747,612,783,736
2015-07-09,334,448,551,654
2015-07-10,0,150,60,700
2015-07-10,0,516,345,114
2015-07-10,201,252,717,277
2015-07-10,558,485,603,363
2015-07-10,163,263,303,752
2015-07-10,259,469,204,176
2015-07-10,681,673,312,483
2015-07-10,552,514,445,324
2015-07-10,577,182,198,229
2015-07-10,379,247,517,591
2015-07-10,1067,613,495,164
2015-07-10,247,0,4,446
2015-07-10,636,833,356,0
2015-07-11,577,392,642,495
2015-07-11,0,125,520,243
2015-07-11,433,330,419,563
2015-07-11,172,558,520,619
2015-07-11,896,481,617,646
2015-07-11,637,839,660,506
2015-07-11,349,339,694,255
2015-07-11,284,0,187,0
2015-07-11,396,334,311,450
2015-07-11,429,569,225,367
2015-07-11,500,318,241,0
2015-07-11,828,69,15,523
2015-07-11,198,359,698,546
2015-07-11,745,529,0,154
2015-07-11,236,240,249,53
2015-07-12,416,354,103,0
2015-07-12,28,332,571,23
2015-07-12,655,366,280,683
2015-07-12,493,305,167,550
2015-07-12,435,453,273,325
2015-07-12,386,421,194,166
2015-07-12,547,264,582,161
2015-07-12,79,461,330,339
2015-07-12,359,382,569,0
2015-07-12,262,455,544,722
2015-07-12,691,384,663,225
2015-07-12,407,496,165,297
2015-07-12,570,295,491,297
2015-07-12,243,393,439,471
2015-07-13,98,742,506,411
2015-07-13,578,394,515,252
2015-07-13,283,522,132,1009
2015-07-13,313,427,426,667
2015-07-13,463,793,0,196
2015-07-13,749,233,332,251
2015-07-13,237,707,375,234
2015-07-13,299,256,22,681
2015-07-13,0,464,261,520
2015-07-13,728,674,213,265
2015-07-13,273,115,299,486
2015-07-13,641,371,697,600
2015-07-13,488,156,20,195
2015-07-13,257,501,706,179
2015-07-13,830,22,584,585
2015-07-13,0,598,255,277
2015-07-13,868,362,644,521
2015-07-13,660,48,195,859
2015-07-13,663,419,687,738
2015-07-14,193,353,461,386
2015-07-14,302,332,294,593
2015-07-14,231,119,474,579
2015-07-14,624,435,533,196
