"date","A","B","C","D","E","F","I","J","L","M","N","O"
2015-08-01,528,456,64,229,226,0,227,194,375,500,480,468
2015-08-01,27,0,604,376,282,324,0,0,125,363,440,339
2015-08-01,0,559,580,486,165,415,307,276,394,124,292,240
2015-08-01,61,388,174,455,113,512,469,369,163,43,137,308
2015-08-01,801,0,207,425,58,231,281,573,569,577,375,312
2015-08-01,95,64,562,450,157,147,0,223,563,405,118,327
2015-08-01,520,211,304,399,697,530,456,250,0,603,0,0
2015-08-02,0,252,227,667,429,574,0,156,234,306,118,151
2015-08-02,0,302,0,489,449,155,119,188,307,468,95,0
2015-08-02,141,548,142,44,499,293,182,544,0,516,463,298
2015-08-02,0,192,182,405,621,600,300,253,429,347,109,286
2015-08-02,295,308,259,231,395,477,0,546,491,0,588,481
2015-08-02,226,140,17,375,274,107,357,176,304,277,479,604
2015-08-02,0,561,63,560,339,170,391,188,319,259,33,131
2015-08-02,348,270,276,106,722,256,181,286,379,368,492,579
2015-08-02,251,333,107,269,578,361,199,109,0,470,597,136
2015-08-02,298,250,119,252,212,338,329,437,512,598,113,210
2015-08-02,477,342,0,301,0,0,0,425,285,0,0,258
2015-08-03,761,289,467,192,203,379,223,184,568,0,482,283
2015-08-03,0,539,644,183,386,428,478,0,0,0,191,393
2015-08-03,415,303,616,43,0,227,266,437,691,0,3,177
2015-08-03,147,169,166,174,585,0,272,100,114,562,0,118
2015-08-03,95,221,628,59,862,0,224,266,397,443,343,581
2015-08-03,57,977,260,341,165,194,378,58,0,0,443,213
2015-08-03,531,76,247,331,215,600,182,322,559,412,5,552
2015-08-03,17,602,319,6,219,168,83,515,0,531,0,770
2015-08-03,87,620,153,462,0,0,0,0,0,191,374,112
2015-08-04,142,290,294,398,397,274,63,542,458,306,194,0
2015-08-04,0,0,0,40,159,602,8,262,296,108,266,176
2015-08-04,743,195,76,122,648,356,166,448,572,664,159,230
2015-08-04,298,291,218,0,352,242,0,281,0,619,249,335
2015-08-04,662,280,243,337,231,158,140,712,78,609,258,0
2015-08-04,206,0,717,458,340,145,457,722,4,551,49,511
2015-08-04,309,55,912,0,480,0,541,0,0,0,0,174
2015-08-04,417,523,86,373,472,547,0,307,0,205,0,245
2015-08-04,501,367,0,114,359,788,267,264,251,338,0,318
2015-08-04,0,254,64,225,231,782,713,106,418,0,80,225
2015-08-05,81,297,507,0,231,51,474,103,445,678,172,76
2015-08-05,0,116,595,0,223,0,725,0,343,221,341,856
2015-08-05,276,388,48,478,351,180,423,240,762,354,395,0
2015-08-05,0,0,234,184,231,691,431,204,132,259,829,479
2015-08-05,61,156,368,0,165,737,201,99,224,42,178,193
2015-08-05,745,405,0,686,227,570,459,74,889,0,488,466
2015-08-05,220,235,279,325,381,0,341,445,807,0,148,0
2015-08-06,544,528,176,175,0,24,246,198,300,312,0,387
2015-08-06,4,285,71,255,0,171,0,325,346,273,129,330
2015-08-06,65,244,321,0,272,193,0,364,437,372,63,261
2015-08-06,303,128,7,818,73,373,210,477,194,387,360,26
2015-08-06,128,0,254,408,336,139,0,1020,599,0,0,38
2015-08-06,580,839,661,465,205,0,350,814,182,283,263,389
2015-08-07,422,667,0,549,297,469,128,362,326,281,77,64
