"date","A","C","E","F","G","H","K","L","M","N","O"
2015-09-01,524,574,443,396,150,527,480,184,155,707,453
2015-09-01,741,616,296,502,525,702,611,321,296,731,460
2015-09-01,265,481,311,835,554,733,183,618,496,90,330
2015-09-01,880,772,656,134,413,42,292,342,0,406,889
2015-09-01,162,160,520,0,86,580,3,287,662,402,300
2015-09-01,379,509,526,561,94,534,228,419,550,536,767
2015-09-01,243,321,449,433,385,472,48,312,543,266,298
2015-09-01,184,407,345,76,661,492,336,194,655,646,155
2015-09-01,366,415,639,676,207,263,228,476,69,632,352
2015-09-01,146,628,244,377,379,222,699,219,422,289,473
2015-09-01,379,581,751,831,295,494,316,465,298,603,556
2015-09-01,349,517,482,265,364,90,284,114,427,256,541
2015-09-01,434,192,279,800,709,565,485,207,497,439,432
2015-09-02,578,1118,156,0,204,252,203,595,441,147,5
2015-09-02,0,501,982,67,497,0,708,398,175,424,678
2015-09-02,600,193,727,414,0,893,78,0,631,285,156
2015-09-02,524,624,198,442,771,643,514,208,335,223,514
2015-09-02,244,1164,330,554,481,0,574,166,436,321,1133
2015-09-02,502,684,676,426,392,341,156,0,567,576,632
2015-09-02,656,841,329,760,694,854,296,0,665,769,334
2015-09-02,55,251,556,265,911,343,560,205,114,517,156
2015-09-02,626,438,75,381,440,881,527,228,289,451,392
2015-09-02,368,27,195,265,537,582,679,218,478,431,691
2015-09-02,700,533,302,488,823,541,372,462,251,171,172
2015-09-02,582,330,269,256,555,343,754,271,284,336,199
2015-09-02,498,599,178,506,556,516,253,472,434,314,429
2015-09-02,853,590,471,280,361,536,385,168,878,0,609
2015-09-02,25,195,475,520,675,296,594,726,746,773,619
2015-09-02,703,483,135,318,200,396,428,752,359,735,560
2015-09-02,364,308,420,416,568,606,523,178,345,516,111
2015-09-02,817,0,406,338,618,655,457,579,238,589,201
2015-09-02,700,254,216,194,717,366,431,438,395,688,424
2015-09-02,165,309,399,792,723,479,749,206,558,528,593
2015-09-02,520,339,579,937,256,225,171,65,456,136,111
2015-09-02,475,551,243,476,501,411,0,661,177,842,354
2015-09-03,491,240,88,501,358,554,180,277,347,292,325
2015-09-03,824,436,552,708,1049,311,371,76,0,647,568
2015-09-03,388,391,425,326,401,202,438,513,547,599,604
2015-09-03,720,391,162,199,809,428,695,615,1011,0,476
2015-09-03,557,194,758,452,416,258,217,484,1017,361,382
2015-09-03,274,641,431,749,378,639,447,356,83,1117,175
2015-09-03,665,431,673,582,323,296,409,477,440,438,160
2015-09-03,518,680,208,1055,790,275,306,356,410,390,397
2015-09-03,727,74,311,344,175,208,532,298,460,402,247
2015-09-03,148,223,579,307,433,421,611,874,0,252,328
2015-09-03,31,535,595,756,431,154,481,820,459,72,523
2015-09-03,413,129,19,665,421,683,508,695,286,693,521
2015-09-03,475,423,323,351,684,598,333,453,1125,688,418
2015-09-03,538,733,564,350,304,442,480,561,591,436,488
2015-09-04,868,63,385,665,389,627,377,453,497,602,737
2015-09-04,722,637,287,370,731,382,222,450,489,771,581
2015-09-04,1108,514,240,474,594,282,201,74,344,473,474
2015-09-04,401,383,589,553,392,747,668,561,622,734,507
2015-09-04,62,365,505,358,888,461,412,466,155,744,522
2015-09-04,551,152,346,523,0,816,752,264,524,312,169
2015-09-04,465,231,611,472,326,509,488,656,205,716,428
2015-09-04,272,265,129,506,433,430,489,254,477,598,264
2015-09-04,100,287,134,491,292,161,362,627,511,326,336
2015-09-04,737,730,124,47,818,240,285,254,508,475,518
2015-09-05,612,79,637,681,0,623,218,457,454,0,526
2015-09-05,392,0,286,449,369,693,451,543,452,290,237
2015-09-05,245,641,722,362,171,648,387,680,339,477,0
2015-09-05,182,442,606,349,345,440,456,676,798,712,375
2015-09-05,722,371,538,768,251,445,621,246,306,163,649
2015-09-05,51,690,343,735,268,247,507,361,535,449,552
2015-09-05,553,329,289,744,622,341,589,651,463,336,314
2015-09-05,440,830,604,840,416,335,811,243,486,596,352
2015-09-05,580,0,308,417,143,48,309,0,363,382,404
2015-09-05,526,248,372,202,422,433,341,280,706,104,206
2015-09-05,644,334,358,654,213,62,0,578,674,21,555
2015-09-05,688,116,481,516,934,520,699,416,433,593,684
2015-09-05,41,405,751,501,455,269,351,477,822,225,444
2015-09-05,59,263,680,593,306,524,340,0,527,276,514
2015-09-05,652,818,909,0,154,413,134,571,352,399,578
2015-09-05,473,749,430,711,750,515,663,495,426,396,0
2015-09-05,673,865,291,711,451,534,458,261,450,370,484
2015-09-06,756,232,554,560,176,298,695,356,450,786,828
2015-09-06,691,624,302,108,946,299,396,147,870,653,451
2015-09-06,712,113,300,388,141,762,574,524,406,378,117
2015-09-06,443,582,564,589,297,388,281,355,800,446,423
2015-09-06,648,368,409,494,947,822,328,614,772,261,592
2015-09-06,198,205,220,137,658,509,432,651,951,429,489
2015-09-06,0,160,947,536,452,1031,818,390,309,438,479
2015-09-06,77,185,340,543,525,347,298,530,620,666,810
2015-09-06,365,564,739,405,408,1004,309,726,584,497,345
2015-09-06,271,861,72,0,421,699,834,411,321,706,871
2015-09-07,525,277,441,1065,435,530,683,445,435,184,565
2015-09-07,413,359,373,173,477,279,0,532,27,368,469
2015-09-07,531,328,206,383,690,770,382,767,600,0,509
2015-09-07,618,18,644,762,739,750,0,233,455,610,182
2015-09-07,831,216,411,307,60,728,568,152,0,756,247
2015-09-07,0,486,336,353,498,76,616,379,479,204,836
2015-09-07,601,176,51,411,274,450,82,132,305,450,430
2015-09-07,238,643,36,421,593,403,422,217,436,759,85
2015-09-07,0,320,277,499,463,822,463,302,436,427,740
2015-09-07,321,745,151,178,323,602,587,305,647,575,584
2015-09-07,697,631,505,402,126,294,707,734,893,952,352
2015-09-07,867,513,713,907,342,495,481,552,807,523,0
2015-09-07,534,738,3,235,636,712,445,264,700,335,247
2015-09-07,265,267,511,64,559,479,609,361,475,428,286
2015-09-07,712,101,241,663,702,701,350,294,702,367,79
2015-09-07,470,593,907,864,543,149,524,623,113,328,567
2015-09-08,687,417,231,117,86,676,477,501,251,322,443
2015-09-08,365,249,281,540,215,534,381,244,0,705,457
2015-09-08,399,264,0,491,255,0,386,598,662,248,375
2015-09-08,334,487,196,0,236,370,60,596,668,957,405
2015-09-08,918,0,367,386,751,239,450,654,236,607,520
2015-09-08,173,314,393,715,436,92,445,496,836,359,681
2015-09-08,356,878,413,263,617,722,635,343,775,926,255
2015-09-08,416,222,344,70,821,634,315,668,517,442,255
2015-09-08,0,300,483,774,834,247,555,732,765,296,251
2015-09-08,265,253,251,464,576,425,376,322,880,427,861
2015-09-08,739,564,290,657,338,543,430,684,890,449,565
2015-09-08,40,634,369,359,469,807,874,728,521,384,495
2015-09-08,795,262,631,278,265,220,615,710,983,484,544
2015-09-08,190,243,481,655,36,360,413,384,250,825,439
2015-09-08,83,255,679,540,621,59,3,370,247,282,491
2015-09-08,512,691,828,679,498,455,344,242,449,396,281
2015-09-09,786,808,471,323,512,86,228,623,310,741,342
2015-09-09,595,211,468,300,259,467,223,144,601,515,0
2015-09-09,394,328,114,490,760,59,550,698,377,65,651
2015-09-09,154,0,321,561,811,825,460,621,392,736,191
2015-09-09,555,140,675,355,268,613,638,567,524,763,928
2015-09-09,395,512,962,162,181,259,688,933,444,361,263
2015-09-09,371,520,506,343,689,469,614,134,531,578,369
2015-09-09,702,266,372,327,432,517,224,0,432,968,859
2015-09-09,215,574,403,566,771,387,999,300,362,322,203
2015-09-09,784,168,359,261,499,523,308,124,942,255,290
2015-09-09,346,120,618,109,507,479,121,152,496,341,72
2015-09-09,435,740,562,366,479,425,654,290,413,311,0
2015-09-09,326,558,299,555,168,271,580,401,32,488,94
2015-09-09,594,250,323,516,759,545,0,902,419,175,279
2015-09-09,415,588,601,172,538,423,429,356,98,763,775
2015-09-09,472,255,662,282,792,353,748,280,216,566,683
2015-09-09,579,261,543,545,316,675,854,617,26,372,490
2015-09-09,525,626,955,0,292,15,612,531,799,624,523
2015-09-09,157,483,393,371,307,689,246,266,603,21,198
2015-09-10,452,631,434,419,326,368,354,237,505,593,283
2015-09-10,434,542,460,0,981,317,308,364,356,146,456
2015-09-10,614,418,971,420,427,837,662,0,42,189,639
2015-09-10,700,254,761,544,688,264,466,463,248,862,531
2015-09-10,330,550,259,101,31,317,692,313,272,502,138
2015-09-10,303,450,704,506,780,650,764,311,486,751,337
2015-09-10,312,372,683,771,449,324,471,195,848,279,45
2015-09-10,341,119,57,314,444,607,286,667,619,637,121
2015-09-10,530,354,374,859,327,7,329,497,0,236,407
2015-09-10,636,306,124,587,820,318,389,38,776,319,599
2015-09-10,456,565,515,280,160,688,513,603,460,343,514
2015-09-10,574,630,1007,220,325,907,0,1188,272,488,502
2015-09-11,348,70,381,0,85,337,267,427,294,552,636
2015-09-11,287,189,0,452,435,0,247,343,170,638,231
2015-09-11,237,268,293,475,194,887,468,0,603,612,812
2015-09-11,380,319,246,931,606,453,306,460,581,682,628
2015-09-11,43,909,485,363,129,348,0,986,507,495,151
2015-09-11,696,431,334,96,340,348,436,863,206,560,394
2015-09-11,592,324,410,507,479,384,502,289,769,623,491
2015-09-11,253,611,250,663,227,683,496,81,664,443,0
2015-09-11,717,723,394,745,352,232,935,301,298,225,467
2015-09-11,453,803,380,645,688,954,330,265,523,567,663
2015-09-11,165,285,133,298,480,750,693,459,443,875,583
2015-09-11,421,0,253,70,134,6,572,532,308,409,223
2015-09-11,732,319,544,181,177,613,420,295,117,538,387
2015-09-12,271,456,206,462,828,125,427,542,698,501,181
2015-09-12,674,575,471,327,469,66,619,451,355,299,265
2015-09-12,981,0,409,53,470,681,22,213,318,0,152
2015-09-12,683,94,708,947,785,341,0,315,363,70,426
2015-09-12,330,413,735,274,297,657,88,258,617,1017,364
2015-09-12,277,0,280,591,136,1015,709,391,280,343,282
2015-09-12,202,633,581,279,446,637,586,392,341,282,669
2015-09-12,0,25,372,424,613,618,731,374,529,892,550
2015-09-12,288,442,199,415,387,0,673,727,52,644,126
2015-09-12,270,196,584,186,548,310,440,278,216,599,591
2015-09-12,587,496,511,463,351,442,316,335,669,152,353
2015-09-12,166,827,433,547,362,343,558,639,205,960,257
2015-09-12,159,674,58,779,633,168,322,183,648,180,376
2015-09-13,608,953,140,147,134,103,215,512,281,590,347
2015-09-13,379,773,256,421,969,664,259,0,679,527,0
2015-09-13,156,964,626,198,669,427,76,132,47,189,478
2015-09-13,576,512,512,487,393,748,372,388,374,0,339
2015-09-13,727,350,317,293,658,569,225,323,543,565,940
2015-09-13,401,235,239,564,597,0,535,623,83,263,730
2015-09-13,348,607,683,427,794,582,0,0,639,185,876
2015-09-13,335,363,484,298,273,414,293,0,349,370,259
2015-09-13,289,636,192,0,625,659,494,562,579,67,281
2015-09-13,490,491,372,798,452,535,419,197,353,748,738
2015-09-13,406,554,951,334,468,1025,432,180,551,266,343
2015-09-13,478,346,412,0,810,266,418,524,832,140,507
2015-09-14,390,307,440,725,0,718,443,734,273,562,119
