"date","B","C","E","F","H","I","O"
2015-10-03,390,97,0,0,0,567,328
2015-10-04,5,0,0,0,63,0,244
2015-10-04,40,0,448,0,192,45,0
2015-10-04,264,0,0,0,283,64,519
2015-10-05,44,0,0,0,0,0,77
2015-10-05,0,0,0,0,66,161,60
2015-10-05,87,0,57,0,215,0,447
2015-10-05,82,0,104,0,222,0,87
2015-10-05,0,0,503,11,151,0,0
2015-10-05,0,0,572,0,420,355,0
2015-10-06,0,0,0,153,0,322,226
2015-10-06,0,16,0,592,0,641,0
2015-10-07,0,126,312,0,494,111,0
2015-10-07,39,394,260,0,76,558,264
2015-10-07,117,375,0,0,0,40,268
2015-10-07,0,346,323,0,0,305,300
2015-10-07,111,0,0,82,214,193,34
2015-10-08,0,170,0,0,265,0,182
2015-10-08,39,375,116,0,0,0,292
2015-10-08,16,169,0,0,22,0,249
2015-10-08,169,0,0,0,112,0,217
2015-10-09,32,148,368,35,0,468,182
2015-10-09,0,414,0,0,176,349,18
2015-10-10,236,0,0,368,102,0,393
2015-10-11,251,92,108,205,196,80,209
2015-10-11,128,123,16,566,0,0,234
2015-10-13,536,84,268,0,28,0,290
2015-10-14,263,21,479,274,0,95,0
2015-10-15,0,0,281,0,0,0,0
2015-10-15,109,200,0,86,76,0,0
2015-10-15,168,72,43,221,279,0,265
2015-10-16,353,0,639,274,0,0,0
2015-10-16,33,0,372,147,0,0,314
2015-10-16,0,0,56,16,0,173,289
2015-10-16,333,302,202,193,220,54,64
2015-10-16,0,668,0,87,0,0,140
2015-10-17,249,110,246,0,165,0,109
2015-10-17,0,0,358,0,0,0,434
2015-10-17,141,0,4,48,0,0,278
2015-10-19,26,73,0,0,0,0,365
2015-10-20,0,71,143,443,142,0,36
2015-10-20,377,0,0,0,41,0,180
2015-10-21,256,46,416,0,0,44,0
2015-10-22,135,52,0,0,201,0,297
2015-10-23,277,0,149,416,397,0,31
2015-10-23,50,0,0,0,0,0,0
2015-10-25,0,90,0,0,190,39,278
2015-10-26,525,0,112,283,280,0,95
2015-10-27,0,0,212,0,405,0,0
2015-10-29,0,87,0,137,0,0,0
2015-10-29,0,329,0,58,239,657,199
2015-10-30,15,215,273,171,0,234,0
2015-10-30,0,0,0,0,213,0,0
2015-10-30,0,0,0,157,154,679,106
2015-10-30,0,595,600,329,434,0,232
2015-10-31,134,0,78,0,0,10,0
