"date","A","B","C","E","F","G","I","M","N","O"
2015-11-01,354,0,0,115,0,277,283,266,671,205
2015-11-01,0,569,632,213,21,466,287,222,181,795
2015-11-01,216,461,212,0,283,310,219,780,283,374
2015-11-01,311,476,181,950,481,99,93,291,58,44
2015-11-01,459,0,230,311,286,633,199,18,324,255
2015-11-01,127,287,499,340,527,93,182,891,29,252
2015-11-01,0,136,507,317,312,0,151,183,498,633
2015-11-01,502,464,284,286,343,136,369,0,91,275
2015-11-01,278,0,0,261,0,140,208,248,250,250
2015-11-01,359,289,570,80,169,469,0,0,868,140
2015-11-01,281,229,12,123,595,319,844,675,281,228
2015-11-01,520,0,0,163,446,328,0,391,200,319
2015-11-01,300,103,355,23,305,0,235,517,34,387
2015-11-01,482,26,381,0,300,192,751,130,490,312
2015-11-01,410,279,0,0,240,349,478,0,364,271
2015-11-01,463,0,63,121,460,82,0,305,197,415
2015-11-01,51,399,470,591,300,0,182,184,590,290
2015-11-01,572,214,195,413,0,265,839,278,0,213
2015-11-02,0,631,0,119,0,210,730,131,43,607
2015-11-02,453,114,249,524,100,839,0,73,504,99
2015-11-02,125,574,14,308,0,503,0,554,193,53
2015-11-02,765,289,128,162,86,166,323,386,463,25
2015-11-02,270,229,669,283,0,109,430,0,345,228
2015-11-02,234,770,251,347,156,694,205,518,181,0
2015-11-02,311,226,214,306,196,522,73,660,542,485
2015-11-02,970,530,612,0,352,545,583,61,405,494
2015-11-02,350,240,88,288,122,351,375,241,423,775
2015-11-03,121,493,302,734,580,72,375,534,497,0
2015-11-03,0,344,522,20,134,186,478,531,326,97
2015-11-03,0,430,6,146,391,195,228,101,382,230
2015-11-03,257,267,0,822,824,608,938,31,0,444
2015-11-03,128,106,104,70,0,258,828,410,757,375
2015-11-03,89,654,454,622,236,462,475,557,313,593
2015-11-03,0,161,440,0,325,40,119,81,633,0
2015-11-03,433,148,759,368,540,166,424,347,349,341
2015-11-03,249,440,75,482,83,490,42,355,143,0
2015-11-03,303,0,542,277,308,708,319,33,0,0
2015-11-04,727,110,418,0,545,388,303,215,389,347
2015-11-04,38,294,0,0,530,294,346,264,528,569
2015-11-04,221,605,713,192,0,187,316,648,41,290
2015-11-04,840,216,319,596,593,101,714,572,46,166
