"date","A","B","C","D","E","F","H","I","J","K","M","N","O"
2015-12-01,307,0,296,360,286,465,331,59,52,165,669,334,0
2015-12-01,277,0,539,370,64,0,218,0,645,294,695,172,37
2015-12-01,108,192,490,347,440,47,505,307,346,123,578,0,233
2015-12-01,430,305,673,426,0,27,0,0,714,604,69,427,500
2015-12-01,223,0,162,11,364,403,0,541,0,58,524,0,80
2015-12-01,0,121,181,160,509,624,700,220,0,288,247,562,202
2015-12-02,529,98,395,280,0,0,230,303,723,415,709,0,247
2015-12-02,209,0,124,360,0,262,0,390,622,0,39,0,261
2015-12-02,172,25,0,450,191,0,501,0,0,412,0,391,311
2015-12-02,0,154,356,276,280,449,475,0,52,309,428,217,514
2015-12-02,108,234,109,225,579,136,256,155,0,599,672,748,413
2015-12-02,434,126,205,0,625,259,404,181,245,315,417,510,206
2015-12-02,490,0,281,606,466,211,0,212,106,571,354,229,121
2015-12-03,525,984,765,17,0,287,319,96,184,0,0,118,86
2015-12-03,355,0,106,524,462,679,356,518,346,233,418,0,668
2015-12-03,0,329,285,8,186,152,146,0,168,31,215,315,554
2015-12-03,124,504,341,80,137,590,104,321,148,468,796,169,815
2015-12-03,214,0,84,0,478,0,466,468,336,371,211,104,0
2015-12-04,0,783,500,95,202,361,436,86,267,0,431,58,0
2015-12-04,528,102,286,242,573,141,94,25,275,0,102,562,282
2015-12-04,384,368,500,0,441,126,0,0,476,31,214,69,21
2015-12-04,82,379,700,12,330,93,280,312,49,600,376,744,98
2015-12-04,245,228,148,234,371,440,287,260,621,78,181,261,174
2015-12-05,116,0,264,807,359,114,550,0,353,0,510,0,444
2015-12-05,379,149,113,0,109,232,0,38,200,0,0,218,683
2015-12-05,149,335,0,307,293,181,553,373,130,269,198,420,80
2015-12-05,443,170,353,145,381,626,136,319,769,340,509,361,0
2015-12-05,462,392,521,0,0,0,201,75,537,3,296,341,217
2015-12-05,309,723,119,366,386,0,466,402,57,0,367,572,281
2015-12-05,886,412,133,542,70,516,110,0,374,437,383,177,169
2015-12-05,539,94,96,669,695,331,422,326,251,186,98,269,97
2015-12-05,166,351,514,58,173,441,520,172,38,342,330,279,717
2015-12-06,206,0,402,574,107,177,181,426,138,544,0,75,100
2015-12-06,25,169,495,350,626,485,0,459,662,95,259,125,43
2015-12-06,348,0,175,369,185,604,0,76,239,744,0,324,418
2015-12-06,402,129,210,0,539,188,728,485,753,401,594,0,494
2015-12-06,419,212,423,275,0,520,367,204,267,247,61,223,518
2015-12-06,368,200,793,0,169,300,0,0,250,0,287,414,0
2015-12-06,281,0,140,713,34,376,437,0,385,599,28,420,304
2015-12-07,219,534,28,304,316,163,211,126,333,0,0,0,0
