"date","M"
2016-01-01,0
2016-01-01,154
2016-01-01,495
2016-01-01,205
2016-01-02,143
2016-01-02,0
2016-01-02,775
2016-01-02,0
2016-01-02,329
2016-01-02,0
2016-01-03,152
2016-01-03,0
2016-01-03,30
2016-01-03,208
2016-01-03,342
2016-01-03,274
2016-01-04,301
2016-01-04,230
2016-01-04,163
2016-01-04,323
2016-01-04,596
2016-01-04,307
2016-01-04,80
2016-01-04,315
2016-01-04,0
2016-01-05,96
2016-01-05,147
2016-01-05,0
2016-01-05,9
2016-01-05,70
2016-01-05,574
2016-01-06,383
2016-01-06,399
2016-01-06,0
2016-01-06,698
2016-01-06,362
2016-01-07,353
2016-01-07,165
2016-01-07,44
2016-01-07,294
2016-01-07,0
2016-01-07,680
2016-01-08,296
2016-01-08,0
2016-01-08,509
2016-01-08,424
2016-01-08,0
2016-01-08,225
2016-01-08,296
2016-01-08,0
2016-01-09,0
2016-01-09,0
2016-01-09,0
2016-01-09,0
2016-01-09,636
2016-01-09,674
2016-01-09,0
2016-01-09,928
2016-01-10,0
2016-01-10,0
2016-01-10,9
2016-01-10,256
2016-01-10,0
2016-01-10,276
2016-01-11,0
2016-01-11,90
2016-01-11,64
2016-01-11,688
2016-01-11,295
2016-01-12,120
2016-01-12,93
2016-01-12,600
2016-01-12,470
2016-01-12,595
2016-01-12,29
2016-01-12,488
2016-01-12,175
2016-01-12,0
2016-01-13,215
2016-01-13,253
2016-01-13,227
2016-01-13,670
2016-01-13,376
2016-01-13,0
2016-01-13,171
2016-01-13,250
2016-01-14,0
2016-01-14,416
2016-01-15,6
2016-01-15,205
2016-01-15,196
2016-01-15,0
2016-01-15,511
2016-01-16,0
2016-01-16,0
2016-01-16,771
2016-01-16,146
2016-01-16,159
2016-01-16,427
2016-01-16,298
2016-01-16,186
2016-01-17,0
2016-01-17,0
2016-01-17,219
2016-01-17,141
2016-01-17,323
2016-01-17,92
2016-01-17,0
2016-01-17,326
2016-01-17,0
2016-01-18,557
2016-01-18,345
2016-01-18,485
2016-01-18,166
2016-01-18,144
2016-01-18,252
2016-01-18,283
2016-01-18,0
2016-01-18,369
2016-01-19,298
2016-01-19,0
2016-01-19,352
2016-01-19,359
2016-01-20,18
2016-01-20,299
2016-01-21,0
2016-01-21,24
2016-01-21,504
2016-01-21,0
2016-01-21,631
2016-01-21,453
2016-01-21,547
2016-01-21,207
2016-01-21,391
2016-01-22,445
2016-01-22,254
2016-01-22,576
2016-01-22,0
2016-01-22,10
2016-01-22,79
2016-01-22,655
2016-01-23,30
2016-01-23,100
2016-01-23,311
2016-01-23,343
2016-01-23,41
2016-01-24,143
2016-01-24,0
2016-01-24,325
2016-01-24,260
2016-01-24,0
2016-01-25,707
2016-01-25,253
2016-01-25,113
2016-01-25,176
2016-01-25,155
2016-01-25,305
2016-01-26,283
2016-01-26,46
2016-01-27,242
2016-01-27,0
2016-01-27,180
2016-01-27,137
2016-01-27,233
2016-01-27,0
2016-01-27,292
2016-01-27,168
2016-01-27,0
2016-01-27,225
2016-01-27,0
2016-01-27,0
2016-01-27,239
2016-01-28,373
2016-01-28,0
2016-01-28,0
2016-01-28,175
2016-01-28,137
2016-01-28,197
2016-01-28,280
2016-01-28,330
2016-01-28,0
2016-01-29,121
2016-01-29,331
2016-01-29,321
2016-01-29,5
2016-01-29,142
2016-01-29,539
2016-01-30,389
2016-01-30,0
2016-01-30,355
2016-01-30,0
2016-01-31,0
2016-01-31,236
2016-01-31,0
2016-01-31,186
2016-01-31,388
2016-01-31,241
