"date","A","B","C","E","G","I","J","N","O"
2016-02-01,688,0,734,820,237,744,354,49,385
2016-02-01,665,259,319,60,610,549,348,526,0
2016-02-01,667,109,269,397,469,164,0,31,191
2016-02-01,592,0,373,279,685,67,472,318,424
2016-02-01,0,455,351,515,272,193,214,274,654
2016-02-01,272,464,843,289,453,0,637,0,208
2016-02-01,517,378,240,354,517,402,276,409,307
2016-02-01,836,765,7,310,0,348,371,328,0
2016-02-01,769,60,424,438,285,373,748,661,0
2016-02-01,780,161,845,196,455,340,957,355,142
2016-02-01,487,501,446,234,395,210,564,433,423
2016-02-01,832,158,229,259,440,185,30,0,217
2016-02-01,49,308,173,343,142,75,0,346,418
2016-02-02,241,433,366,526,165,658,177,358,516
2016-02-02,19,487,603,0,793,42,595,0,534
2016-02-02,20,223,494,489,341,1152,368,778,894
2016-02-02,516,160,0,428,286,292,379,448,487
2016-02-02,371,220,430,375,277,551,478,199,417
2016-02-02,539,296,164,579,64,217,436,415,82
2016-02-02,362,416,456,0,650,490,377,786,0
2016-02-02,239,13,368,327,264,515,632,570,380
2016-02-02,572,730,460,642,479,0,756,73,399
2016-02-03,480,215,434,529,0,0,631,0,613
2016-02-03,88,227,468,277,530,345,511,662,306
2016-02-03,0,143,143,736,252,456,774,265,307
2016-02-03,342,371,675,191,356,115,0,498,394
2016-02-03,235,301,327,413,615,525,231,0,411
2016-02-03,174,322,531,587,624,814,887,681,279
2016-02-03,182,543,580,598,789,298,553,288,0
2016-02-03,640,405,707,42,543,27,822,177,522
2016-02-04,0,449,495,606,322,301,864,224,465
2016-02-04,213,237,466,354,0,422,535,295,222
2016-02-04,314,194,454,294,489,431,267,230,284
2016-02-04,682,431,667,140,0,540,365,181,514
2016-02-04,131,324,316,165,400,312,433,226,449
2016-02-04,253,560,546,421,341,678,329,389,518
2016-02-04,452,456,429,374,418,261,0,639,457
2016-02-04,295,204,0,370,232,121,449,379,587
2016-02-04,89,686,270,337,460,578,536,672,508
2016-02-04,513,462,94,431,679,266,0,130,0
2016-02-04,387,379,393,319,83,405,302,0,118
2016-02-05,179,834,676,541,0,508,370,197,520
2016-02-05,475,386,382,230,529,443,624,692,615
2016-02-05,522,353,550,858,83,742,681,658,372
2016-02-05,360,627,552,475,541,0,677,969,342
2016-02-05,697,460,31,0,534,314,611,0,365
2016-02-05,602,0,225,419,304,283,315,455,600
2016-02-05,369,620,217,493,680,627,400,549,266
2016-02-05,698,834,368,459,931,457,0,25,0
2016-02-05,366,366,500,511,166,620,396,388,0
2016-02-06,593,0,17,245,520,104,390,144,560
2016-02-06,371,656,385,140,22,135,0,600,212
2016-02-06,113,492,657,291,404,375,960,773,400
2016-02-06,526,754,653,321,461,285,672,0,0
2016-02-06,303,291,319,386,275,115,479,311,441
2016-02-06,830,340,258,582,136,98,529,251,371
2016-02-06,303,556,279,219,217,471,133,169,641
2016-02-06,551,0,224,800,788,497,113,12,298
2016-02-06,289,0,608,0,483,159,808,370,0
2016-02-07,476,346,181,400,443,434,640,726,30
2016-02-07,453,858,435,415,167,583,334,69,396
2016-02-07,620,0,293,387,499,617,85,0,0
2016-02-07,292,676,241,79,188,462,369,413,614
2016-02-07,243,345,658,19,327,148,162,310,354
2016-02-07,168,747,460,136,485,579,319,199,0
2016-02-07,350,203,477,265,352,365,308,553,148
2016-02-07,252,732,0,791,863,368,556,948,94
2016-02-07,361,647,500,317,6,364,383,440,122
2016-02-07,383,227,465,537,328,499,0,125,314
2016-02-07,356,318,362,556,283,493,150,308,620
2016-02-07,659,355,297,47,0,603,200,292,212
2016-02-08,131,487,362,804,384,339,304,365,372
2016-02-08,277,247,84,785,178,289,288,163,249
2016-02-08,334,373,538,76,0,646,32,440,97
2016-02-08,325,478,514,267,0,367,911,211,137
2016-02-08,0,5,465,565,144,0,38,561,749
2016-02-08,808,356,604,365,680,221,64,549,755
2016-02-08,228,311,229,767,607,655,120,505,733
2016-02-08,396,147,564,204,63,354,295,446,146
2016-02-08,438,0,666,257,569,546,1251,0,0
2016-02-08,336,0,0,145,228,697,133,64,189
2016-02-08,0,445,503,461,45,464,0,74,636
2016-02-08,101,197,302,162,167,487,568,0,83
2016-02-08,340,722,266,589,348,642,360,607,379
2016-02-08,467,1054,796,641,522,434,805,815,646
2016-02-09,128,429,62,0,352,457,692,466,436
2016-02-09,245,90,944,167,221,240,487,503,255
2016-02-09,0,709,354,552,463,589,712,466,701
2016-02-09,735,316,513,149,9,156,0,172,384
2016-02-09,394,448,197,504,0,567,396,680,462
2016-02-09,855,488,856,37,103,277,0,626,591
2016-02-09,423,304,629,408,675,259,464,394,499
2016-02-09,546,327,585,498,198,120,494,611,402
2016-02-09,671,303,862,244,322,253,152,294,346
2016-02-10,187,384,350,475,263,627,380,716,393
2016-02-10,0,376,613,115,186,488,406,194,752
2016-02-10,555,439,698,0,0,257,85,275,448
2016-02-10,176,387,166,313,85,514,568,497,464
2016-02-10,403,764,528,596,408,438,234,164,593
2016-02-10,829,253,396,103,273,631,464,64,557
2016-02-10,524,430,280,0,612,409,460,607,420
2016-02-10,409,249,756,505,371,391,528,462,0
2016-02-10,701,285,343,151,462,400,546,234,498
2016-02-10,468,0,520,358,255,438,629,792,658
2016-02-10,293,471,407,296,358,702,606,349,286
2016-02-11,319,432,171,360,356,674,580,669,70
2016-02-11,178,583,197,670,0,193,651,637,181
2016-02-11,159,900,98,626,390,702,310,334,593
2016-02-11,9,166,398,408,151,92,736,842,0
2016-02-11,146,214,205,22,192,239,409,482,525
2016-02-11,116,221,602,570,634,641,536,511,436
2016-02-11,321,560,562,585,483,726,226,553,561
2016-02-11,610,11,588,340,152,229,210,291,152
2016-02-11,0,125,538,578,519,442,0,609,0
2016-02-11,610,204,283,791,703,426,316,321,243
2016-02-11,402,625,609,451,718,326,260,474,516
2016-02-11,0,304,229,176,0,95,616,487,447
2016-02-11,277,0,462,611,260,444,330,816,218
2016-02-11,633,742,434,292,537,531,707,671,98
2016-02-12,499,498,111,382,193,548,196,391,512
2016-02-12,250,186,521,954,559,207,551,415,490
2016-02-12,167,575,636,0,228,222,303,0,0
2016-02-12,889,727,457,352,358,559,507,554,489
2016-02-12,316,247,476,428,427,120,726,249,381
2016-02-12,404,360,490,342,386,339,352,184,419
2016-02-12,846,0,706,15,174,256,267,261,493
2016-02-12,357,0,362,342,301,502,0,543,215
2016-02-12,498,116,456,165,349,254,334,75,40
2016-02-12,0,54,418,779,255,367,790,501,449
2016-02-13,762,87,314,596,699,242,545,253,0
2016-02-13,369,175,283,393,558,454,380,226,563
2016-02-13,516,882,0,419,455,378,41,274,379
2016-02-13,192,129,96,615,400,412,380,0,192
2016-02-13,108,383,648,641,0,542,489,39,262
2016-02-13,505,0,325,48,536,604,737,165,638
2016-02-13,459,694,334,284,406,565,0,0,150
2016-02-13,250,135,825,486,194,63,237,327,539
2016-02-13,402,254,560,0,814,672,447,418,868
2016-02-13,816,95,862,0,147,616,353,148,281
2016-02-13,349,99,214,151,307,555,385,25,579
2016-02-13,228,262,183,165,257,0,299,347,0
2016-02-13,263,419,7,585,0,296,114,488,115
2016-02-13,325,415,611,298,0,658,74,627,0
2016-02-13,379,96,751,583,613,516,391,25,358
2016-02-13,276,82,342,143,131,393,289,445,376
2016-02-13,0,666,366,0,581,326,34,429,2
2016-02-14,482,58,578,322,560,576,260,337,679
2016-02-14,150,0,479,124,516,392,406,654,500
2016-02-14,528,200,399,44,559,343,691,300,225
2016-02-14,263,563,483,709,259,407,692,542,590
2016-02-14,327,463,406,68,40,0,430,6,0
2016-02-14,624,582,474,315,504,185,500,396,59
2016-02-14,277,305,519,391,410,180,347,198,228
2016-02-14,584,373,460,456,533,229,393,571,193
2016-02-14,848,34,416,199,901,395,578,496,432
2016-02-14,276,458,259,0,541,145,0,577,501
2016-02-14,90,435,493,327,177,225,0,92,471
2016-02-14,426,0,528,358,338,868,606,393,715
2016-02-15,304,71,495,577,354,703,75,529,150
2016-02-15,348,151,254,236,481,199,27,886,480
2016-02-15,659,352,292,0,497,951,389,289,339
2016-02-15,552,12,553,115,98,747,133,0,201
2016-02-15,441,90,262,444,327,608,184,261,0
2016-02-15,467,877,328,337,253,281,639,386,538
2016-02-15,501,373,282,774,723,206,125,347,260
