"date","A","B","C","D","E","F","G","I","J","K","L","M","N","O"
2016-03-01,144,129,236,198,218,272,235,0,286,75,0,86,280,382
2016-03-02,69,0,172,219,289,0,0,40,233,48,0,96,0,0
2016-03-03,0,208,0,0,105,0,38,544,0,28,0,501,0,0
2016-03-03,0,13,106,114,150,0,260,0,166,0,0,15,0,0
2016-03-04,25,0,209,70,0,0,118,6,0,50,0,355,0,169
2016-03-09,176,0,0,150,224,0,0,406,0,148,225,0,513,88
2016-03-13,219,94,0,392,0,130,29,63,375,7,0,451,0,241
2016-03-13,0,0,0,0,63,0,0,68,314,72,285,0,0,0
2016-03-16,243,0,16,130,106,0,124,0,157,225,646,0,225,0
2016-03-16,86,80,0,0,225,0,120,157,0,0,214,167,133,0
2016-03-17,0,0,78,0,0,91,223,17,129,0,0,26,0,52
2016-03-18,308,64,0,0,51,0,0,0,90,303,0,53,0,297
2016-03-20,0,299,240,255,307,196,0,361,203,147,47,0,0,0
2016-03-22,113,0,471,451,528,256,0,175,14,0,0,305,366,1
2016-03-23,39,438,16,228,350,0,0,139,222,304,44,0,242,115
2016-03-24,171,386,0,0,114,0,0,0,0,0,0,203,0,0
2016-03-25,80,0,0,0,0,148,325,0,66,155,232,0,320,312
2016-03-25,0,138,350,0,23,0,0,0,0,0,334,33,0,0
2016-03-26,328,320,0,106,0,0,74,29,170,26,0,0,0,0
2016-03-27,0,84,302,42,0,0,0,0,0,61,24,0,101,146
2016-03-27,255,444,209,76,283,146,103,5,77,0,0,248,0,0
2016-03-27,7,486,119,21,279,467,0,264,316,0,310,0,164,0
2016-03-29,0,0,0,135,0,0,108,263,155,340,223,294,180,187
2016-03-30,98,0,0,74,200,293,87,247,202,312,0,0,416,0
2016-03-31,434,732,155,0,353,32,379,0,336,0,391,271,154,0
2016-03-31,17,0,187,0,0,172,170,190,462,0,0,274,0,70
