"date","K"
2016-04-01,0
2016-04-01,51
2016-04-01,0
2016-04-01,531
2016-04-01,553
2016-04-01,182
2016-04-01,372
2016-04-01,0
2016-04-01,423
2016-04-02,475
2016-04-03,51
2016-04-03,55
2016-04-03,321
2016-04-03,366
2016-04-04,118
2016-04-05,258
2016-04-05,86
2016-04-05,0
2016-04-05,98
2016-04-05,192
2016-04-06,0
2016-04-07,0
2016-04-07,282
2016-04-07,164
2016-04-07,561
2016-04-07,422
2016-04-07,151
2016-04-07,393
2016-04-07,0
2016-04-08,6
2016-04-08,130
2016-04-08,0
2016-04-08,64
2016-04-08,64
2016-04-08,327
2016-04-08,299
2016-04-08,308
2016-04-09,157
2016-04-09,427
2016-04-09,242
2016-04-09,536
2016-04-09,257
2016-04-09,0
2016-04-09,109
2016-04-09,314
2016-04-10,125
2016-04-10,307
2016-04-10,151
2016-04-10,0
2016-04-10,533
2016-04-10,143
2016-04-10,79
2016-04-11,534
2016-04-11,425
2016-04-11,494
2016-04-11,430
2016-04-11,286
2016-04-11,0
2016-04-11,328
2016-04-11,538
2016-04-12,0
2016-04-12,0
2016-04-12,92
2016-04-12,0
2016-04-12,0
2016-04-13,100
2016-04-13,240
2016-04-13,203
2016-04-13,624
2016-04-13,0
2016-04-13,109
2016-04-14,97
2016-04-14,0
2016-04-14,0
2016-04-14,279
2016-04-14,0
2016-04-14,0
2016-04-14,0
2016-04-15,769
2016-04-15,6
2016-04-15,913
2016-04-15,0
2016-04-15,43
2016-04-15,44
2016-04-15,0
2016-04-16,0
2016-04-16,0
2016-04-16,589
2016-04-16,223
2016-04-16,86
2016-04-16,0
2016-04-17,65
2016-04-17,756
2016-04-17,143
2016-04-17,352
2016-04-17,27
2016-04-17,144
2016-04-17,277
2016-04-17,17
2016-04-18,180
2016-04-18,74
2016-04-18,189
2016-04-19,183
2016-04-19,0
2016-04-19,0
2016-04-19,449
2016-04-20,0
2016-04-20,180
2016-04-20,280
2016-04-20,403
2016-04-20,152
2016-04-20,407
2016-04-21,495
2016-04-21,684
2016-04-21,337
2016-04-21,0
2016-04-21,116
2016-04-21,313
2016-04-21,111
2016-04-21,62
2016-04-22,39
2016-04-22,0
2016-04-22,205
2016-04-22,125
2016-04-22,132
2016-04-23,363
2016-04-23,569
2016-04-23,0
2016-04-23,66
2016-04-24,584
2016-04-24,0
2016-04-24,0
2016-04-24,416
2016-04-24,0
2016-04-24,63
2016-04-24,518
2016-04-25,135
2016-04-25,294
2016-04-25,330
2016-04-25,404
2016-04-25,0
2016-04-25,310
2016-04-26,0
2016-04-26,0
2016-04-26,358
2016-04-27,187
2016-04-27,309
2016-04-27,0
2016-04-27,0
2016-04-28,350
2016-04-28,110
2016-04-28,98
2016-04-28,50
2016-04-28,143
2016-04-29,0
2016-04-29,819
2016-04-29,103
2016-04-29,0
2016-04-29,575
2016-04-29,0
2016-04-29,271
2016-04-29,0
2016-04-30,440
2016-04-30,0
2016-04-30,0
2016-04-30,15
2016-04-30,302
2016-04-30,723
