"date","A","D","E","G","H","J","K","L","O"
2016-05-01,351,121,195,50,0,243,443,725,569
2016-05-01,400,498,455,421,520,320,411,356,422
2016-05-01,646,49,164,317,541,430,1137,98,589
2016-05-01,22,267,450,586,229,398,464,520,0
2016-05-01,104,0,120,0,498,477,157,266,0
2016-05-01,295,540,697,307,319,49,215,0,75
2016-05-01,257,204,335,326,375,0,365,490,182
2016-05-01,143,119,267,490,680,416,178,194,335
2016-05-01,514,475,412,16,370,264,655,349,358
2016-05-02,154,267,91,0,33,201,389,394,204
2016-05-02,205,362,472,416,288,0,326,265,851
2016-05-02,0,182,183,365,548,43,0,603,399
2016-05-02,653,72,90,18,0,0,418,354,372
2016-05-02,335,450,504,0,340,557,570,247,174
2016-05-02,148,0,0,130,499,122,115,745,364
2016-05-02,126,623,323,202,68,0,104,366,225
2016-05-03,349,445,479,269,358,966,233,99,152
2016-05-03,306,49,402,252,136,641,286,677,0
2016-05-03,384,293,258,561,563,550,398,509,300
2016-05-03,228,577,168,389,262,0,692,73,570
2016-05-03,0,28,229,208,500,0,582,152,608
2016-05-03,160,199,0,189,394,203,279,32,517
2016-05-03,95,87,473,26,168,86,0,281,518
2016-05-03,460,194,111,735,235,748,169,100,191
2016-05-03,371,506,15,212,117,9,213,339,498
2016-05-04,283,132,510,0,325,0,118,168,175
2016-05-04,333,236,238,450,117,708,254,128,786
2016-05-04,0,547,151,209,253,313,152,367,0
2016-05-04,515,626,269,342,238,154,138,445,351
2016-05-04,445,52,342,62,262,13,341,619,401
2016-05-04,205,113,145,324,677,143,332,527,178
2016-05-04,698,0,0,0,498,596,0,0,261
2016-05-04,482,223,414,303,358,758,241,45,160
2016-05-04,424,418,135,369,116,261,497,228,58
2016-05-04,295,419,388,88,174,1,0,608,413
2016-05-04,399,543,71,340,445,577,0,442,679
2016-05-05,59,0,0,207,633,347,307,0,670
2016-05-05,0,390,740,133,0,230,134,570,381
2016-05-05,268,396,388,252,150,296,285,923,190
2016-05-05,147,0,328,291,599,827,292,445,396
2016-05-05,822,687,192,594,0,21,614,182,408
2016-05-05,356,454,435,155,63,487,173,162,0
2016-05-05,209,745,122,322,358,169,678,203,244
2016-05-05,106,407,157,295,0,413,490,0,101
2016-05-05,402,266,0,140,12,527,203,533,303
2016-05-06,276,794,516,794,565,0,312,248,43
2016-05-06,399,147,208,324,602,673,173,390,682
2016-05-06,710,444,609,0,93,0,696,107,0
2016-05-06,716,102,649,673,245,461,564,459,31
2016-05-06,141,408,249,71,453,435,462,0,0
2016-05-06,550,476,482,0,0,389,461,778,470
2016-05-06,0,454,760,270,99,588,428,131,304
2016-05-07,500,100,636,480,556,328,523,251,322
2016-05-07,392,366,166,582,0,529,29,264,269
2016-05-07,386,347,84,453,555,31,436,717,8
2016-05-07,517,0,531,0,528,588,503,61,440
2016-05-07,166,466,254,156,410,282,303,393,366
2016-05-07,887,255,378,557,347,0,127,509,205
2016-05-07,38,408,0,0,202,271,333,26,262
2016-05-07,473,291,0,408,555,0,13,416,261
2016-05-08,295,138,382,0,362,246,958,194,104
2016-05-08,132,439,317,7,0,0,786,490,561
2016-05-08,154,580,91,0,332,264,454,332,563
2016-05-08,438,253,259,305,40,298,362,363,361
2016-05-08,358,419,340,226,145,747,637,0,784
2016-05-08,563,7,226,991,407,108,276,422,0
2016-05-08,683,0,782,627,654,610,95,513,533
2016-05-08,0,404,543,544,0,197,247,26,0
2016-05-08,500,123,38,523,81,173,673,230,565
2016-05-08,0,839,393,0,226,288,116,143,32
2016-05-09,384,185,484,235,513,0,334,604,494
2016-05-09,340,576,375,487,32,331,499,242,83
2016-05-09,0,309,0,192,449,176,348,614,46
2016-05-09,338,234,0,440,577,126,207,222,0
2016-05-09,778,643,224,549,496,0,31,301,172
2016-05-09,55,354,0,22,63,412,273,130,0
2016-05-09,106,845,485,0,919,207,0,354,822
2016-05-09,506,246,0,0,333,331,60,268,48
2016-05-09,304,732,19,705,280,129,268,483,0
2016-05-09,431,615,413,86,0,182,656,705,0
2016-05-10,142,0,599,585,668,47,387,58,588
2016-05-10,517,177,0,417,339,362,458,273,197
2016-05-10,0,416,0,313,319,550,156,252,200
2016-05-10,23,49,86,201,125,0,315,392,172
2016-05-10,115,0,511,219,36,425,365,173,726
2016-05-10,131,473,458,0,467,0,357,686,33
2016-05-10,138,227,45,38,485,634,168,452,425
2016-05-11,162,802,299,0,0,483,585,421,0
2016-05-11,279,366,420,0,237,147,588,113,249
2016-05-11,322,555,828,461,458,321,408,349,283
2016-05-11,97,366,522,311,443,663,373,539,393
2016-05-11,269,0,225,0,0,346,673,70,333
2016-05-11,299,152,488,0,814,258,348,0,253
2016-05-11,352,0,324,206,560,434,146,0,404
2016-05-11,321,309,800,145,0,479,237,119,384
2016-05-11,323,112,342,410,244,392,201,841,144
2016-05-12,210,374,220,95,888,446,445,68,0
2016-05-12,271,764,316,501,139,594,0,409,115
2016-05-12,471,308,810,560,451,520,530,0,881
2016-05-12,152,235,172,144,207,57,282,374,0
2016-05-12,0,400,555,130,239,113,626,452,297
2016-05-12,318,142,0,0,59,446,84,0,0
2016-05-12,367,0,194,105,323,183,281,561,588
2016-05-12,191,316,815,371,212,425,292,48,107
2016-05-13,440,715,235,447,91,69,585,353,0
2016-05-13,0,300,361,255,604,240,695,550,318
2016-05-13,62,0,203,720,567,352,616,55,436
2016-05-13,473,109,442,596,221,495,191,435,322
2016-05-13,708,493,366,0,336,385,397,264,634
2016-05-13,324,603,404,910,208,111,204,213,355
2016-05-13,341,416,323,298,408,287,833,159,303
2016-05-13,160,271,112,475,66,196,0,64,136
2016-05-13,0,648,437,609,448,60,425,347,0
