"date","A","C","E","F","H","I","K","L","M","N","O"
2016-06-01,594,189,33,248,373,750,128,268,403,123,420
2016-06-01,225,69,209,653,593,383,394,807,0,293,515
2016-06-01,466,473,240,327,0,261,365,496,224,224,545
2016-06-01,419,0,133,454,18,327,0,208,446,403,166
2016-06-01,597,696,402,161,678,398,309,208,191,345,0
2016-06-01,296,698,624,396,0,0,603,96,382,0,621
2016-06-01,485,140,326,651,0,318,139,442,656,200,451
2016-06-01,245,447,557,386,328,378,204,0,402,710,910
2016-06-02,154,215,610,0,243,157,262,631,719,381,202
2016-06-02,449,270,92,510,437,453,260,342,6,143,166
2016-06-02,593,0,657,24,0,234,288,434,316,350,162
2016-06-02,495,739,347,424,681,0,371,0,571,294,153
2016-06-02,86,1123,322,613,143,256,0,313,295,146,470
2016-06-02,304,386,353,509,397,265,245,375,328,319,386
2016-06-02,204,147,0,0,181,361,142,887,325,0,1
2016-06-02,298,555,505,259,453,295,0,287,372,257,216
2016-06-03,413,258,239,383,467,294,343,0,458,729,418
2016-06-03,0,202,563,423,633,520,154,224,81,447,393
2016-06-03,591,737,605,120,152,0,717,587,0,230,26
2016-06-03,32,156,656,126,391,0,556,443,564,175,0
2016-06-03,0,378,565,417,0,398,172,0,553,0,462
2016-06-03,486,523,354,408,163,281,291,193,430,410,0
2016-06-03,397,821,719,387,460,633,0,280,922,249,45
2016-06-03,582,219,0,33,160,158,395,0,0,764,220
2016-06-04,387,370,348,516,216,292,634,355,427,670,167
2016-06-04,210,332,0,11,400,367,354,481,0,463,269
2016-06-04,672,597,553,0,233,654,225,7,442,0,550
2016-06-04,319,0,180,232,420,0,551,296,454,0,258
2016-06-04,92,738,547,330,9,86,0,827,761,284,563
2016-06-04,163,326,32,758,691,887,45,280,390,0,326
2016-06-04,404,564,314,246,219,331,0,375,501,0,0
2016-06-04,0,490,66,157,290,110,0,399,198,389,573
2016-06-04,390,1138,337,368,0,205,135,575,0,168,309
2016-06-04,339,439,0,236,283,207,843,510,495,609,386
2016-06-04,0,435,281,251,245,146,0,183,23,177,254
2016-06-04,0,542,0,293,189,648,603,13,240,764,0
2016-06-05,229,579,132,0,457,95,376,741,456,0,65
2016-06-05,371,476,0,521,273,729,222,0,0,543,164
2016-06-05,129,731,261,415,0,426,147,138,229,482,209
2016-06-05,360,354,140,85,622,715,421,0,454,590,0
2016-06-05,671,250,394,281,199,158,470,10,465,314,347
2016-06-05,599,403,313,0,432,791,0,132,376,16,541
2016-06-05,221,643,410,586,228,318,87,273,665,379,177
