"date","B","C","D","F","G","H","I","J","K","L","O"
2016-07-01,161,6,38,0,0,0,237,437,0,0,251
2016-07-01,0,0,0,0,222,195,491,0,0,346,0
2016-07-01,0,176,264,86,210,393,0,314,373,176,484
2016-07-01,0,0,0,275,264,0,323,435,0,0,0
2016-07-01,70,0,204,63,0,0,0,0,4,354,639
2016-07-01,213,701,377,0,26,14,245,147,0,0,0
2016-07-02,0,474,130,0,0,108,0,0,249,84,107
2016-07-03,521,148,394,435,37,54,393,0,291,294,0
2016-07-03,200,0,0,72,0,0,402,432,0,0,0
2016-07-03,224,44,354,176,207,377,48,0,0,0,0
2016-07-04,0,98,181,136,476,83,315,271,306,0,0
2016-07-04,121,0,0,281,316,119,71,0,53,0,133
2016-07-04,185,318,114,319,0,56,0,233,0,0,155
2016-07-04,385,370,0,135,228,0,54,0,495,0,615
2016-07-05,0,0,0,76,278,158,83,0,385,33,0
2016-07-05,16,14,0,280,42,12,0,83,305,164,162
2016-07-05,98,0,219,28,0,64,217,516,503,0,0
2016-07-05,48,0,202,411,296,381,19,0,267,180,0
2016-07-06,281,387,153,47,254,315,239,264,344,0,79
2016-07-06,0,74,133,0,0,0,0,0,513,40,0
2016-07-06,0,137,0,0,0,346,0,38,190,0,6
2016-07-06,443,612,0,0,217,0,0,56,0,0,0
2016-07-06,502,237,39,303,0,224,110,0,0,226,252
2016-07-06,49,0,0,307,19,353,0,595,401,351,533
2016-07-07,360,0,0,0,336,495,124,96,12,0,77
2016-07-07,93,337,1,127,74,352,0,140,0,0,84
2016-07-08,0,441,0,10,228,223,577,0,260,0,301
2016-07-08,0,0,161,80,122,263,0,116,255,0,299
2016-07-08,373,360,400,221,0,262,217,0,628,615,0
2016-07-08,13,0,0,0,0,300,383,3,291,0,282
2016-07-08,250,0,8,291,198,449,672,0,232,261,404
2016-07-09,0,348,0,325,224,0,231,424,0,0,281
2016-07-09,558,371,170,0,398,438,130,561,18,192,282
2016-07-09,0,720,43,577,271,503,0,447,0,527,46
2016-07-10,0,204,138,0,88,149,0,0,0,0,96
2016-07-10,421,44,0,0,174,426,121,162,0,392,59
2016-07-10,278,0,431,65,332,0,147,431,468,169,657
2016-07-10,0,0,0,0,81,0,148,0,101,0,329
2016-07-10,18,54,554,323,0,0,251,91,354,0,154
2016-07-11,143,0,0,198,3,0,340,186,128,0,856
2016-07-11,0,718,212,58,595,84,0,82,718,740,0
2016-07-11,0,0,110,0,152,388,519,0,569,0,123
2016-07-12,112,18,0,0,0,151,428,217,21,0,0
2016-07-12,186,375,102,219,0,556,0,229,0,475,44
2016-07-12,477,324,0,29,0,0,171,0,226,0,467
2016-07-12,333,0,584,67,417,159,0,498,362,501,0
2016-07-12,0,450,471,233,584,58,0,0,0,219,322
2016-07-13,48,0,314,57,3,200,117,408,0,80,0
2016-07-13,0,0,157,385,81,174,441,214,99,0,303
2016-07-14,543,379,23,267,77,0,133,0,0,0,19
2016-07-14,0,400,0,318,84,445,0,0,729,0,201
2016-07-14,206,181,54,0,222,245,61,0,0,313,504
2016-07-14,331,90,235,0,161,0,128,439,0,78,329
2016-07-14,161,294,0,311,119,372,176,289,103,0,185
2016-07-14,389,149,304,0,319,201,568,78,0,511,126
2016-07-14,0,0,0,0,257,523,630,0,62,451,0
2016-07-14,543,598,0,386,15,429,180,71,16,227,61
2016-07-15,175,0,56,217,0,75,31,0,66,46,201
2016-07-15,20,0,47,0,286,546,416,0,459,165,0
2016-07-15,197,17,0,352,42,211,245,463,48,425,25
2016-07-15,0,194,0,395,318,10,158,228,0,303,158
2016-07-15,0,610,255,207,491,277,251,299,359,389,0
2016-07-16,75,10,292,46,0,79,0,22,182,397,71
2016-07-16,435,305,0,0,0,0,0,626,23,66,51
2016-07-16,406,370,253,213,301,0,0,166,433,0,295
2016-07-16,0,290,155,0,0,227,387,0,0,368,0
2016-07-17,0,0,682,0,268,331,310,0,0,18,56
2016-07-17,0,146,189,380,0,114,14,143,0,0,0
2016-07-17,37,88,228,0,0,625,0,0,0,121,15
2016-07-17,114,115,226,0,0,54,213,0,532,0,0
2016-07-17,296,98,0,152,244,100,35,387,0,284,569
2016-07-17,190,0,97,17,225,199,653,401,208,330,0
2016-07-17,254,0,293,12,48,138,0,250,169,0,73
2016-07-17,0,38,0,107,105,0,0,188,7,503,97
2016-07-18,157,712,651,321,0,0,0,0,0,64,4
2016-07-18,58,140,0,184,678,119,0,324,0,449,314
2016-07-18,181,257,111,36,363,217,258,0,588,86,284
2016-07-19,295,154,469,0,128,21,0,329,319,280,0
2016-07-19,29,42,187,308,596,152,44,451,0,0,273
2016-07-19,46,60,0,957,0,24,56,140,62,0,0
2016-07-19,269,176,208,306,116,341,408,186,301,737,407
2016-07-20,277,320,15,497,222,146,522,490,75,0,178
2016-07-21,0,0,470,40,95,0,0,215,70,0,65
2016-07-21,0,572,0,96,419,0,310,565,20,0,0
2016-07-21,105,0,276,260,0,0,0,0,0,0,437
2016-07-21,0,0,234,0,349,185,406,0,244,234,309
2016-07-22,0,0,458,231,356,56,232,0,0,0,242
2016-07-22,0,111,404,9,0,0,101,0,0,278,210
2016-07-22,67,0,332,0,234,0,0,0,443,181,0
2016-07-22,56,152,0,70,271,305,303,36,334,0,36
2016-07-22,0,0,297,120,164,0,285,323,407,122,0
2016-07-22,0,0,0,4,444,73,637,0,0,0,0
2016-07-23,0,429,0,176,147,293,0,32,133,348,138
2016-07-23,302,647,233,346,418,0,279,559,0,0,58
2016-07-23,0,8,234,143,99,0,88,196,25,25,426
2016-07-23,0,178,191,30,0,340,354,374,492,166,0
2016-07-24,479,379,488,293,0,283,348,343,60,0,314
2016-07-24,670,102,0,0,201,457,0,0,0,251,497
2016-07-25,167,319,481,0,0,78,0,0,0,205,0
2016-07-26,471,189,138,379,0,0,0,289,400,0,0
2016-07-26,7,228,157,210,0,98,382,160,344,0,338
2016-07-27,174,0,0,29,82,526,0,0,279,32,89
2016-07-28,268,4,0,29,197,259,0,235,299,445,450
2016-07-28,12,122,97,81,440,158,0,251,18,545,310
2016-07-28,244,179,0,197,298,217,0,265,0,0,257
2016-07-28,146,228,752,0,400,0,285,266,0,0,0
2016-07-28,230,202,212,84,110,0,9,24,0,646,0
2016-07-28,229,572,0,0,172,368,55,223,262,189,206
2016-07-28,0,52,382,334,185,0,558,0,59,0,303
2016-07-29,574,76,0,0,278,522,312,570,0,0,443
2016-07-30,0,507,323,576,479,0,174,401,584,0,175
2016-07-30,424,161,165,541,191,273,0,699,0,351,0
2016-07-31,0,0,0,0,2,6,381,206,0,164,152
2016-07-31,0,0,218,382,90,243,606,201,0,100,106
2016-07-31,0,0,114,243,111,0,210,0,37,408,368
2016-07-31,0,80,0,358,263,0,0,334,0,234,0
2016-07-31,42,442,237,60,176,0,142,0,4,281,203
2016-07-31,104,216,0,0,145,330,8,198,0,40,0
2016-07-31,414,72,91,635,72,56,0,97,28,281,0
