"date","A","E","H","M","O"
2016-08-01,516,449,388,407,732
2016-08-01,513,242,383,816,726
2016-08-01,530,445,0,197,453
2016-08-01,293,513,662,272,171
2016-08-01,498,160,548,604,287
2016-08-01,486,444,560,347,260
2016-08-01,373,469,293,459,831
2016-08-01,397,774,277,824,261
2016-08-01,585,282,352,345,473
2016-08-01,735,457,713,321,604
2016-08-01,599,464,898,494,237
2016-08-01,309,396,566,588,580
2016-08-01,289,0,617,120,262
2016-08-01,804,572,666,191,595
2016-08-01,220,45,687,191,726
2016-08-01,609,674,253,408,408
2016-08-01,765,538,708,541,484
2016-08-01,963,717,612,669,159
2016-08-01,995,163,516,617,264
2016-08-01,953,604,274,0,0
2016-08-01,234,866,261,747,730
2016-08-01,350,564,627,291,698
2016-08-01,764,571,203,0,177
2016-08-01,808,600,379,146,246
2016-08-02,430,124,315,338,0
2016-08-02,193,337,627,984,20
2016-08-02,427,385,375,461,489
2016-08-02,311,51,569,201,315
2016-08-02,558,518,307,656,296
2016-08-02,734,753,334,614,659
2016-08-02,468,91,321,0,0
2016-08-02,692,238,458,556,223
2016-08-02,726,598,284,547,0
2016-08-02,558,453,85,99,75
2016-08-02,622,247,433,348,770
2016-08-02,233,490,171,866,572
2016-08-02,384,386,536,651,371
2016-08-02,443,794,560,891,897
2016-08-02,192,392,132,382,507
2016-08-03,695,374,593,309,385
2016-08-03,255,562,340,58,579
2016-08-03,551,523,676,176,282
2016-08-03,354,199,230,645,202
2016-08-03,15,491,455,479,643
2016-08-03,329,607,283,0,546
2016-08-03,89,408,285,188,93
2016-08-03,614,470,337,268,290
2016-08-03,425,594,428,124,5
2016-08-03,393,476,571,43,301
2016-08-03,296,623,542,786,304
2016-08-03,826,408,504,130,327
2016-08-04,0,482,0,152,419
2016-08-04,335,280,481,709,686
2016-08-04,356,901,0,683,503
2016-08-04,7,428,468,351,784
2016-08-04,95,844,770,634,563
2016-08-04,408,102,167,721,540
2016-08-04,139,369,380,664,728
2016-08-04,192,668,590,335,0
2016-08-04,575,495,302,250,186
2016-08-04,565,443,787,548,319
2016-08-04,522,518,248,603,335
2016-08-04,462,527,249,307,433
2016-08-04,317,634,399,721,359
2016-08-04,576,544,629,608,835
2016-08-04,371,164,1151,343,255
2016-08-04,602,282,620,467,817
2016-08-05,512,335,25,223,294
2016-08-05,631,376,419,310,393
2016-08-05,0,765,454,904,513
2016-08-05,97,509,250,785,441
2016-08-05,551,442,672,91,404
2016-08-05,195,873,375,0,684
2016-08-05,359,556,323,445,538
2016-08-05,722,187,444,521,644
2016-08-05,633,177,574,881,240
2016-08-06,134,505,579,3,702
2016-08-06,87,580,434,115,315
2016-08-06,98,915,938,504,358
2016-08-06,273,498,1239,195,640
2016-08-06,258,437,153,385,470
2016-08-06,835,334,685,508,364
2016-08-06,314,682,916,525,531
2016-08-06,223,501,566,427,873
2016-08-06,300,240,191,0,107
2016-08-06,706,390,832,467,401
2016-08-07,306,653,305,485,159
2016-08-07,40,949,405,452,176
2016-08-07,637,284,335,74,542
2016-08-07,542,743,309,893,533
2016-08-07,563,275,508,304,555
2016-08-07,365,0,539,0,774
2016-08-07,756,409,354,219,656
2016-08-07,81,741,887,498,487
2016-08-07,612,406,246,765,916
2016-08-07,311,875,616,1053,50
2016-08-07,147,311,388,536,328
2016-08-07,581,709,357,691,662
2016-08-07,550,953,783,235,891
2016-08-07,837,355,110,323,49
2016-08-07,645,767,789,273,355
2016-08-07,482,418,235,0,588
2016-08-07,0,196,309,757,718
2016-08-07,189,921,727,307,302
2016-08-07,102,227,413,340,573
2016-08-07,520,372,475,847,155
2016-08-07,669,1028,818,377,706
2016-08-07,642,394,444,127,737
2016-08-08,563,267,351,541,671
2016-08-08,593,454,549,356,335
2016-08-08,557,522,176,0,0
2016-08-08,536,245,242,144,74
2016-08-08,721,589,549,604,338
2016-08-08,580,690,554,491,390
2016-08-08,39,438,996,490,934
2016-08-08,158,192,686,350,191
2016-08-08,133,721,484,934,394
2016-08-08,325,670,0,576,224
2016-08-08,163,0,383,817,452
2016-08-08,604,633,735,145,375
2016-08-08,642,841,0,353,470
2016-08-08,375,696,637,723,205
2016-08-09,497,659,380,418,586
2016-08-09,471,767,287,842,329
2016-08-09,445,554,455,561,239
2016-08-09,319,985,409,163,714
2016-08-09,197,329,258,708,782
2016-08-09,184,253,292,0,122
2016-08-09,816,0,431,469,502
2016-08-09,424,287,571,871,420
2016-08-09,399,1,547,435,791
2016-08-09,184,652,212,396,556
2016-08-09,767,530,218,436,561
2016-08-09,6,619,783,342,225
2016-08-09,119,416,570,778,333
2016-08-10,833,557,275,362,151
2016-08-10,258,872,843,815,203
2016-08-10,406,610,598,482,194
2016-08-10,567,270,160,295,448
2016-08-10,288,536,399,295,767
2016-08-10,174,680,654,296,429
2016-08-11,301,494,238,308,65
2016-08-11,491,640,358,315,609
2016-08-11,425,95,265,800,343
2016-08-11,302,371,556,338,963
2016-08-11,957,366,478,553,367
2016-08-11,617,615,578,336,475
2016-08-11,191,370,83,690,451
2016-08-11,212,584,538,46,60
2016-08-11,389,646,633,372,670
2016-08-11,766,439,619,158,451
2016-08-11,471,115,187,160,781
2016-08-11,442,52,370,670,81
2016-08-11,737,784,738,536,887
2016-08-11,545,915,439,434,595
2016-08-12,561,936,249,0,200
2016-08-12,140,261,860,923,533
2016-08-12,106,772,603,365,521
2016-08-12,509,250,313,719,650
2016-08-12,178,289,739,373,605
2016-08-12,443,535,316,0,515
2016-08-12,796,387,940,658,442
2016-08-12,485,277,357,395,538
2016-08-12,267,150,568,222,673
2016-08-12,530,518,0,854,139
2016-08-12,413,439,403,598,731
2016-08-12,628,448,588,883,127
2016-08-12,214,605,819,511,770
2016-08-13,415,725,0,588,686
2016-08-13,347,162,630,673,800
2016-08-13,577,589,183,301,675
2016-08-13,528,706,415,902,82
2016-08-13,774,415,690,270,148
2016-08-13,881,1113,484,347,366
2016-08-13,475,420,644,665,578
2016-08-13,0,828,522,590,579
2016-08-13,850,1055,545,379,382
2016-08-13,665,670,582,514,631
2016-08-13,268,554,548,389,770
2016-08-13,217,84,438,298,605
2016-08-13,274,874,666,220,215
2016-08-13,406,435,484,503,286
2016-08-13,340,348,455,823,519
2016-08-13,587,348,626,149,313
2016-08-13,568,471,184,729,256
2016-08-13,113,577,379,120,335
2016-08-14,179,636,20,72,15
2016-08-14,24,864,614,721,367
2016-08-14,54,86,313,506,609
2016-08-14,508,640,346,375,744
2016-08-14,297,803,637,837,0
2016-08-14,667,616,330,650,338
2016-08-14,561,771,741,975,369
2016-08-14,470,423,92,566,826
2016-08-14,127,122,413,375,514
2016-08-14,432,343,666,950,168
2016-08-14,376,247,23,267,407
2016-08-14,748,310,558,563,631
2016-08-14,409,808,360,296,236
2016-08-14,0,727,92,413,261
2016-08-14,296,760,765,537,0
2016-08-14,182,380,634,607,86
2016-08-15,105,280,663,347,244
2016-08-15,280,702,471,378,657
2016-08-15,353,349,585,518,470
2016-08-15,367,846,551,613,901
2016-08-15,428,864,567,465,602
2016-08-15,460,659,360,346,916
2016-08-15,619,459,146,400,151
2016-08-15,234,597,663,685,290
2016-08-15,373,540,941,643,336
2016-08-15,715,446,737,837,577
2016-08-15,761,418,556,369,589
2016-08-15,212,35,527,473,1043
2016-08-16,949,462,603,731,571
2016-08-16,622,52,532,649,449
2016-08-16,279,456,229,347,279
2016-08-16,199,377,516,408,147
2016-08-16,464,653,311,320,114
2016-08-16,562,355,901,319,447
2016-08-16,899,547,312,576,0
2016-08-16,352,307,296,417,479
2016-08-16,354,397,655,14,510
2016-08-16,656,723,353,0,451
2016-08-16,598,417,199,474,166
2016-08-16,3,196,533,116,181
2016-08-17,510,198,649,32,425
2016-08-17,526,571,0,13,473
2016-08-17,251,360,216,248,461
2016-08-17,336,434,582,645,530
2016-08-17,646,11,556,557,632
2016-08-17,361,588,528,474,552
2016-08-17,918,650,41,573,406
2016-08-17,654,160,0,690,107
2016-08-17,650,523,244,737,764
2016-08-17,699,843,670,301,405
2016-08-17,756,27,931,256,801
2016-08-17,291,664,734,465,297
2016-08-17,178,649,102,913,360
2016-08-17,524,927,499,526,0
2016-08-17,494,614,235,410,320
2016-08-18,0,1102,691,441,545
2016-08-18,363,69,432,613,415
2016-08-18,806,455,612,362,215
2016-08-18,342,947,388,577,350
2016-08-18,352,457,420,81,643
2016-08-18,213,26,423,479,780
2016-08-18,214,265,481,297,331
2016-08-18,562,246,893,115,380
2016-08-18,431,32,596,334,396
2016-08-18,0,76,311,201,0
2016-08-18,418,390,434,504,163
2016-08-18,73,478,735,0,52
2016-08-18,657,633,785,118,192
2016-08-18,148,789,147,0,21
2016-08-18,255,148,554,674,565
2016-08-18,291,820,423,405,708
2016-08-19,164,525,697,0,430
2016-08-19,287,488,663,248,363
2016-08-19,210,411,0,551,573
2016-08-19,0,81,801,378,482
2016-08-19,430,595,298,218,536
2016-08-19,714,585,401,397,815
2016-08-19,192,635,225,16,307
2016-08-19,220,271,377,395,620
2016-08-19,0,430,0,391,273
2016-08-19,673,432,395,219,325
2016-08-19,410,413,532,693,431
2016-08-19,266,344,337,692,707
2016-08-20,654,0,614,324,385
2016-08-20,264,731,199,455,472
2016-08-20,356,362,503,496,826
2016-08-20,55,325,536,223,400
2016-08-20,1020,338,426,447,971
2016-08-20,603,322,785,537,856
2016-08-20,274,373,452,705,660
2016-08-20,490,654,950,319,273
2016-08-20,78,583,223,615,355
2016-08-20,0,646,624,415,291
