"date","A","C","D","E","F","G","H","I","L"
2016-10-01,363,714,321,279,0,324,426,387,433
2016-10-01,316,544,337,347,800,334,456,569,270
2016-10-01,605,234,432,183,0,467,605,209,0
2016-10-01,353,215,340,471,443,280,509,350,116
2016-10-01,197,497,125,166,643,543,760,369,125
2016-10-01,529,253,417,369,178,633,490,342,274
2016-10-01,693,564,25,190,98,315,35,224,453
2016-10-01,450,502,529,754,557,185,161,657,55
2016-10-01,0,485,324,272,449,679,805,858,219
2016-10-01,61,315,372,282,662,489,590,220,102
2016-10-01,9,340,187,426,382,633,23,273,507
2016-10-01,111,665,170,0,332,0,257,165,93
2016-10-01,630,406,382,302,470,302,365,369,268
2016-10-01,59,217,553,306,0,0,451,152,438
2016-10-01,138,308,158,349,25,544,167,104,456
2016-10-01,104,360,334,0,26,528,636,731,0
2016-10-02,475,612,132,285,106,50,874,571,0
2016-10-02,723,656,303,195,343,150,850,306,250
2016-10-02,344,165,87,0,619,376,75,40,0
2016-10-02,313,0,361,206,195,205,81,778,429
2016-10-02,604,230,38,155,287,182,163,309,602
2016-10-02,247,344,0,552,0,366,233,541,0
2016-10-02,0,305,0,517,397,0,480,777,251
2016-10-02,383,0,222,855,153,557,307,358,518
2016-10-02,345,539,198,349,312,413,512,230,163
2016-10-03,176,454,157,421,451,65,776,237,858
2016-10-03,671,219,265,38,832,414,762,676,536
2016-10-03,0,84,38,90,645,513,155,268,959
2016-10-03,452,0,294,321,239,0,22,41,386
2016-10-03,415,508,289,569,501,0,295,0,626
2016-10-03,546,550,273,647,185,218,335,742,233
2016-10-03,37,402,450,488,676,457,0,287,199
2016-10-03,52,258,306,367,138,123,520,0,861
2016-10-03,462,154,473,499,130,152,610,494,208
2016-10-03,497,234,92,559,154,583,570,350,73
2016-10-03,128,487,352,485,208,90,118,177,323
2016-10-04,136,295,322,236,2,209,272,494,324
2016-10-04,201,23,0,619,459,558,282,93,824
2016-10-04,523,244,551,277,362,422,184,527,240
2016-10-04,1028,240,0,0,862,147,161,192,178
2016-10-04,534,530,45,285,561,0,259,175,265
2016-10-04,684,0,182,177,180,132,119,412,128
2016-10-04,557,538,633,359,136,404,831,352,85
2016-10-04,168,305,390,149,703,107,70,105,323
2016-10-04,463,258,132,337,594,0,333,259,332
2016-10-04,0,91,163,425,868,759,0,493,291
2016-10-04,222,118,367,0,423,10,4,572,1052
2016-10-04,303,266,864,32,544,281,324,136,305
2016-10-04,228,0,164,614,0,0,373,606,137
