"date","A","B","J","K"
2016-11-01,344,153,354,0
2016-11-01,559,373,528,739
2016-11-01,531,416,324,341
2016-11-01,441,296,0,27
2016-11-01,341,92,532,623
2016-11-01,554,827,745,342
2016-11-01,639,363,572,23
2016-11-01,175,0,150,635
2016-11-01,493,88,18,353
2016-11-01,331,671,425,9
2016-11-01,63,312,410,36
2016-11-01,448,354,575,461
2016-11-01,409,0,0,464
2016-11-01,108,549,526,255
2016-11-01,165,570,324,0
2016-11-02,0,394,237,167
2016-11-02,633,546,264,63
2016-11-02,70,654,94,328
2016-11-02,14,497,426,476
2016-11-02,858,268,953,329
2016-11-02,336,312,338,235
2016-11-02,165,225,107,309
2016-11-02,381,345,205,182
2016-11-02,17,408,679,362
2016-11-03,480,83,39,78
2016-11-03,261,654,378,328
2016-11-03,723,92,164,273
2016-11-03,57,923,221,0
2016-11-03,878,129,620,223
2016-11-03,155,128,134,0
2016-11-03,675,274,633,158
2016-11-03,276,453,276,699
2016-11-03,577,495,182,307
2016-11-03,296,22,443,288
2016-11-03,263,201,103,414
2016-11-03,41,450,474,30
2016-11-03,0,624,216,848
2016-11-03,566,114,375,0
2016-11-03,460,507,825,407
2016-11-04,123,365,571,587
2016-11-04,279,350,425,879
2016-11-04,0,186,115,418
2016-11-04,519,255,561,0
2016-11-04,857,412,0,206
2016-11-04,185,438,77,720
2016-11-04,610,217,617,817
2016-11-04,476,215,735,423
2016-11-04,576,161,282,471
2016-11-04,574,416,358,479
2016-11-04,220,435,643,0
2016-11-04,276,542,231,379
2016-11-04,668,458,218,80
2016-11-04,285,17,441,313
2016-11-04,292,143,766,479
2016-11-04,180,297,300,252
2016-11-04,764,455,317,423
2016-11-04,508,61,454,219
2016-11-04,282,125,284,187
2016-11-04,254,345,4,818
2016-11-04,397,0,778,662
2016-11-04,111,676,262,229
2016-11-05,303,203,161,170
2016-11-05,386,683,310,289
2016-11-05,181,42,521,586
2016-11-05,643,469,217,400
2016-11-05,640,675,565,234
2016-11-05,495,746,322,407
2016-11-05,513,432,613,259
2016-11-05,41,141,267,535
2016-11-05,25,358,0,413
2016-11-05,452,325,56,415
2016-11-05,446,92,569,530
2016-11-06,445,277,531,169
2016-11-06,256,342,300,422
2016-11-06,264,541,0,87
2016-11-06,157,81,137,0
2016-11-06,0,240,31,0
2016-11-06,215,0,228,272
2016-11-06,209,889,0,0
2016-11-06,629,259,322,778
2016-11-06,890,568,511,455
2016-11-06,683,0,552,345
2016-11-06,301,24,97,156
2016-11-06,147,154,216,613
2016-11-06,193,351,345,124
2016-11-06,353,214,51,493
2016-11-06,590,477,718,160
2016-11-07,528,615,546,421
2016-11-07,488,432,15,91
2016-11-07,0,571,935,326
2016-11-07,245,555,625,578
2016-11-07,597,670,565,375
2016-11-07,501,0,281,53
2016-11-07,82,396,277,295
2016-11-07,324,235,277,389
2016-11-07,241,679,0,176
2016-11-07,129,0,913,111
2016-11-07,193,0,142,385
2016-11-07,92,106,701,314
2016-11-07,384,609,49,237
2016-11-08,120,633,643,446
2016-11-08,363,575,647,498
2016-11-08,446,569,454,415
2016-11-08,0,361,772,267
2016-11-08,0,0,289,384
2016-11-08,341,278,95,444
2016-11-09,862,360,279,103
2016-11-09,622,194,182,191
2016-11-09,335,232,251,489
2016-11-09,171,270,360,229
2016-11-09,649,42,487,642
2016-11-09,157,0,316,115
2016-11-09,134,465,170,1109
2016-11-09,407,583,838,24
2016-11-09,328,315,233,474
2016-11-09,0,529,752,594
2016-11-10,574,186,73,766
2016-11-10,548,503,680,0
2016-11-10,336,229,331,0
2016-11-10,138,632,375,494
2016-11-10,135,508,162,484
2016-11-10,379,267,643,362
2016-11-10,225,631,308,33
2016-11-10,246,575,199,227
2016-11-10,738,110,624,94
2016-11-10,0,323,0,323
2016-11-11,344,384,0,282
2016-11-11,249,684,136,346
2016-11-11,607,287,0,44
2016-11-11,514,583,650,521
2016-11-11,283,345,209,209
2016-11-11,439,338,346,239
2016-11-11,680,261,151,542
2016-11-11,60,277,304,229
2016-11-11,15,246,303,665
2016-11-12,230,403,214,339
2016-11-12,1129,104,0,573
2016-11-12,135,701,519,484
2016-11-12,376,17,526,331
2016-11-12,247,149,203,297
2016-11-12,314,355,555,378
2016-11-12,246,540,807,185
2016-11-12,314,341,97,212
2016-11-12,113,413,340,412
2016-11-12,163,310,208,297
2016-11-12,337,348,683,487
2016-11-12,531,401,130,248
2016-11-12,687,401,109,437
2016-11-13,98,387,388,292
2016-11-13,592,678,0,323
2016-11-13,275,23,334,411
2016-11-13,11,744,798,597
2016-11-13,952,503,649,348
2016-11-13,42,543,144,395
2016-11-13,450,315,589,847
2016-11-13,396,377,513,391
2016-11-13,296,253,279,177
2016-11-14,620,425,370,0
2016-11-14,486,482,168,487
2016-11-14,296,490,365,0
2016-11-14,762,625,484,229
2016-11-14,789,0,250,407
2016-11-14,717,635,543,440
2016-11-14,240,36,142,334
2016-11-14,135,298,75,707
2016-11-14,406,678,193,163
2016-11-14,462,511,297,565
2016-11-14,211,103,308,211
2016-11-15,92,834,444,173
2016-11-15,0,455,309,265
2016-11-15,219,22,304,585
2016-11-15,346,216,523,604
2016-11-15,743,443,764,362
2016-11-15,0,512,327,100
2016-11-15,98,268,442,472
2016-11-15,428,216,598,569
2016-11-15,499,233,253,501
2016-11-16,268,276,536,602
2016-11-16,679,305,543,244
2016-11-16,41,344,385,491
2016-11-16,285,377,628,249
2016-11-16,489,277,384,114
2016-11-16,270,242,124,115
2016-11-16,162,125,349,44
2016-11-16,432,494,627,306
2016-11-16,146,1075,106,72
2016-11-16,234,196,30,822
2016-11-16,401,91,360,462
2016-11-16,74,1046,812,49
2016-11-16,523,300,189,0
2016-11-16,362,72,218,345
2016-11-17,471,417,625,140
2016-11-17,357,174,332,455
2016-11-17,259,105,336,163
2016-11-17,866,485,482,699
2016-11-17,477,661,519,628
2016-11-17,272,253,338,546
2016-11-17,768,461,291,590
2016-11-17,574,565,484,307
2016-11-17,510,453,104,0
2016-11-17,128,645,480,0
2016-11-17,0,532,391,304
2016-11-17,80,379,0,325
2016-11-17,103,323,423,0
2016-11-17,417,522,293,840
2016-11-17,0,198,588,85
2016-11-17,828,452,477,218
2016-11-17,297,481,297,402
2016-11-17,475,630,529,659
2016-11-18,464,406,52,303
2016-11-18,518,163,230,192
2016-11-18,341,620,535,545
2016-11-18,518,163,232,40
2016-11-18,388,702,761,267
2016-11-18,556,464,187,439
2016-11-18,492,440,664,0
2016-11-18,304,79,415,416
2016-11-18,543,121,520,542
2016-11-18,4,382,625,244
2016-11-18,424,94,676,615
2016-11-18,318,354,341,543
2016-11-18,273,0,224,857
2016-11-18,752,50,456,143
2016-11-18,283,338,457,448
2016-11-19,812,465,859,443
2016-11-19,39,176,945,0
2016-11-19,338,542,509,191
2016-11-19,389,882,563,633
2016-11-19,841,519,444,460
2016-11-19,137,791,491,435
2016-11-19,543,399,205,139
2016-11-19,628,315,623,170
2016-11-19,582,457,387,910
2016-11-19,345,461,499,488
2016-11-20,709,347,632,407
2016-11-20,414,133,238,556
2016-11-20,673,121,2,64
2016-11-20,0,303,287,403
2016-11-20,526,392,458,165
2016-11-20,500,295,37,400
2016-11-20,972,333,745,190
2016-11-21,643,746,0,441
2016-11-21,331,284,251,409
2016-11-21,203,0,294,155
2016-11-21,695,551,344,5
2016-11-21,759,243,0,267
2016-11-21,287,214,195,72
2016-11-21,594,47,0,350
2016-11-21,662,644,0,150
2016-11-21,441,9,255,471
2016-11-21,490,157,686,601
2016-11-21,10,0,518,279
2016-11-21,351,60,269,451
2016-11-22,398,250,0,402
2016-11-22,547,474,775,832
2016-11-22,533,174,506,318
2016-11-22,477,497,624,134
2016-11-22,718,501,381,0
2016-11-22,507,614,544,603
2016-11-22,121,299,339,0
2016-11-22,243,468,0,508
2016-11-22,84,774,705,403
2016-11-22,194,425,578,44
2016-11-22,261,168,0,258
2016-11-22,424,367,612,58
2016-11-23,755,1151,580,0
2016-11-23,406,279,589,178
2016-11-23,276,65,862,234
2016-11-23,696,165,274,338
2016-11-23,528,238,234,341
2016-11-23,822,519,122,476
2016-11-23,47,267,0,275
2016-11-23,312,195,646,437
2016-11-24,488,478,471,570
2016-11-24,346,442,522,660
2016-11-24,200,329,440,614
2016-11-24,154,340,484,159
2016-11-24,343,465,184,290
2016-11-24,331,0,95,445
2016-11-24,443,407,809,695
2016-11-24,150,352,336,826
2016-11-24,338,0,38,102
2016-11-24,854,693,604,225
2016-11-24,0,90,145,623
2016-11-25,163,216,55,0
2016-11-25,83,429,542,273
2016-11-25,790,723,0,863
2016-11-25,401,649,485,0
2016-11-25,183,455,273,67
2016-11-25,652,0,281,209
2016-11-25,524,228,297,50
2016-11-25,660,429,431,587
2016-11-25,353,593,582,198
2016-11-25,0,0,351,111
2016-11-25,314,571,552,542
