"date","B","D","E","M"
2016-12-01,156,0,93,166
2016-12-02,351,400,198,0
2016-12-02,0,0,278,430
2016-12-02,290,27,216,724
2016-12-02,84,221,216,19
2016-12-03,209,0,473,2
2016-12-03,187,270,123,124
2016-12-03,0,0,242,63
2016-12-03,0,0,396,8
2016-12-03,262,141,73,159
2016-12-03,333,90,253,0
2016-12-04,125,274,201,455
2016-12-04,205,68,0,499
2016-12-04,512,0,459,31
2016-12-04,0,72,469,70
2016-12-04,330,0,170,0
2016-12-05,0,0,221,0
2016-12-06,499,0,117,312
2016-12-07,13,306,82,0
2016-12-07,0,0,229,4
2016-12-07,934,346,350,71
2016-12-08,523,123,195,489
2016-12-08,0,214,34,264
2016-12-08,296,0,0,0
2016-12-09,45,192,0,561
2016-12-09,119,416,400,118
2016-12-09,72,17,331,272
2016-12-10,99,385,135,257
2016-12-10,0,159,0,0
2016-12-10,100,76,229,0
2016-12-11,0,0,0,0
2016-12-11,338,270,0,256
2016-12-12,14,450,0,416
2016-12-12,326,0,0,0
2016-12-12,0,234,0,0
2016-12-12,0,261,0,260
2016-12-12,90,178,152,0
2016-12-12,292,85,0,123
2016-12-13,396,42,0,0
2016-12-14,0,102,317,409
2016-12-14,0,0,122,0
2016-12-14,0,29,12,0
2016-12-16,0,0,182,107
2016-12-16,240,68,503,0
2016-12-16,483,41,0,153
2016-12-16,0,216,613,12
2016-12-16,335,104,547,0
2016-12-16,230,109,284,412
2016-12-16,0,183,28,0
2016-12-17,0,0,119,151
2016-12-17,42,157,411,445
2016-12-18,0,27,0,88
2016-12-18,162,0,382,0
2016-12-18,0,446,0,0
2016-12-18,0,0,605,0
2016-12-18,302,256,537,211
2016-12-18,0,283,0,0
2016-12-18,0,277,0,345
2016-12-18,0,0,82,240
2016-12-18,362,372,123,15
2016-12-19,69,100,135,207
2016-12-19,0,373,44,186
2016-12-19,0,223,372,422
2016-12-19,388,355,0,236
2016-12-20,0,305,102,0
2016-12-20,241,2,0,434
2016-12-21,0,0,0,0
2016-12-21,354,0,0,0
2016-12-21,0,0,0,158
2016-12-21,470,0,0,278
2016-12-22,0,410,251,149
2016-12-22,411,577,0,214
2016-12-22,97,206,0,268
2016-12-23,318,0,74,365
2016-12-23,0,152,374,235
2016-12-23,0,179,102,106
2016-12-24,94,0,77,30
2016-12-24,0,297,0,120
2016-12-24,0,0,0,415
2016-12-24,195,142,106,238
2016-12-25,270,566,234,0
2016-12-25,0,284,192,0
2016-12-25,383,249,247,0
2016-12-26,34,166,0,233
2016-12-26,0,349,0,0
2016-12-26,0,209,0,0
2016-12-26,0,140,0,187
2016-12-27,92,398,757,36
2016-12-27,8,0,191,283
2016-12-28,119,207,28,283
2016-12-28,287,172,0,321
2016-12-28,57,195,435,0
2016-12-29,222,512,106,0
2016-12-29,477,0,392,157
2016-12-29,252,85,314,193
2016-12-29,0,0,110,0
2016-12-30,121,0,264,112
2016-12-30,475,0,5,0
2016-12-30,165,0,0,24
2016-12-30,343,182,0,753
2016-12-30,0,429,559,105
2016-12-30,664,103,0,261
2016-12-31,162,0,526,279
2016-12-31,0,317,100,71
2016-12-31,0,222,0,0
2016-12-31,0,112,438,258
2016-12-31,0,311,0,272
2016-12-31,164,0,73,0
