"date","A","D","E","H","J","L","N"
2017-01-01,135,177,566,693,477,313,45
2017-01-01,331,376,408,470,492,456,345
2017-01-01,0,401,269,0,465,0,223
2017-01-01,355,717,356,58,273,247,188
2017-01-01,1093,451,373,221,149,1008,325
2017-01-01,500,611,613,0,598,582,1119
2017-01-01,367,361,284,380,953,271,923
2017-01-01,253,0,315,0,687,39,170
2017-01-01,158,454,349,420,0,618,502
2017-01-01,196,496,810,727,699,478,280
2017-01-01,345,80,683,680,507,166,183
2017-01-01,510,541,699,359,178,347,325
2017-01-01,0,857,143,823,355,228,291
2017-01-01,336,393,0,706,410,515,533
2017-01-01,586,592,106,825,577,293,419
2017-01-02,807,677,427,85,342,410,343
2017-01-02,503,250,491,889,419,405,481
2017-01-02,210,267,658,388,817,46,0
2017-01-02,510,484,0,375,36,139,517
2017-01-02,381,151,334,202,846,199,502
2017-01-02,606,855,541,767,647,592,775
2017-01-02,162,441,641,476,563,426,946
2017-01-02,473,429,567,455,589,584,226
2017-01-02,173,349,407,368,271,272,316
2017-01-02,173,702,285,332,183,496,260
2017-01-02,528,64,545,431,617,225,307
2017-01-02,510,520,342,0,354,0,66
2017-01-02,669,677,401,538,144,397,338
2017-01-02,482,211,598,796,681,32,390
2017-01-02,869,381,733,140,576,433,624
2017-01-02,413,391,487,728,253,717,319
2017-01-02,572,425,342,298,499,548,401
2017-01-02,58,260,588,213,721,811,458
2017-01-02,214,112,694,0,245,185,409
2017-01-02,679,379,71,206,595,474,425
2017-01-03,343,391,343,110,771,914,207
2017-01-03,456,708,570,393,88,581,546
2017-01-03,660,396,370,584,612,711,792
2017-01-03,1,373,527,709,0,358,498
2017-01-03,363,768,550,61,696,837,582
2017-01-03,171,331,35,483,390,500,298
2017-01-03,220,528,218,223,518,594,597
2017-01-03,399,768,0,159,0,771,0
2017-01-03,974,543,138,812,503,537,531
2017-01-03,223,468,310,588,636,121,532
2017-01-03,274,54,398,31,532,670,114
2017-01-03,495,387,475,402,375,398,891
2017-01-03,637,642,566,670,735,542,492
2017-01-03,727,529,243,515,713,703,221
2017-01-03,387,600,327,17,405,271,163
2017-01-03,327,28,462,93,831,267,270
2017-01-03,146,491,477,683,695,393,642
2017-01-04,617,612,1026,657,515,366,708
2017-01-04,358,268,214,794,577,157,126
2017-01-04,316,821,725,82,610,478,446
2017-01-04,312,711,384,349,397,543,85
2017-01-04,49,316,269,815,749,243,192
2017-01-04,309,681,602,677,915,480,153
2017-01-04,222,570,511,277,589,394,319
2017-01-04,693,470,266,639,65,124,490
2017-01-05,604,462,511,238,463,288,451
2017-01-05,700,428,486,249,683,481,200
2017-01-05,129,609,310,422,562,263,0
2017-01-05,250,909,727,138,167,594,164
2017-01-05,386,577,749,484,505,823,525
2017-01-05,0,163,309,1051,927,317,678
2017-01-05,688,148,62,0,99,373,401
2017-01-05,470,688,349,577,149,208,798
2017-01-05,683,121,149,790,493,194,504
2017-01-05,620,651,809,423,360,297,62
2017-01-05,0,481,593,496,701,267,535
2017-01-05,815,793,247,797,608,918,396
2017-01-05,45,156,0,629,543,0,548
2017-01-05,855,607,335,557,562,261,581
2017-01-05,590,213,564,278,460,296,190
2017-01-06,698,73,419,712,541,327,259
2017-01-06,233,621,759,181,75,718,741
2017-01-06,277,465,592,411,534,485,467
2017-01-06,478,515,399,595,638,218,762
2017-01-06,444,407,273,290,21,463,64
2017-01-06,383,492,200,621,421,410,1179
2017-01-06,584,252,572,188,347,152,151
2017-01-06,392,604,75,378,421,472,541
2017-01-06,54,76,298,465,472,511,406
2017-01-06,264,388,509,696,533,55,0
2017-01-06,258,0,627,243,335,352,580
2017-01-06,244,731,353,271,681,901,362
2017-01-07,308,846,330,526,290,533,659
2017-01-07,245,138,750,371,409,0,170
2017-01-07,734,762,501,487,499,593,33
2017-01-07,173,258,118,462,326,739,684
2017-01-07,468,287,410,69,479,201,40
2017-01-07,918,451,591,297,950,407,379
2017-01-07,135,422,312,299,267,214,472
2017-01-07,0,623,153,637,288,326,423
2017-01-07,270,426,229,470,686,380,131
2017-01-07,272,608,784,447,760,89,225
2017-01-07,749,397,192,571,229,168,696
2017-01-07,737,557,380,754,196,658,217
2017-01-07,383,143,319,409,422,460,543
2017-01-08,758,222,267,265,563,594,11
2017-01-08,229,432,446,741,578,666,167
2017-01-08,289,682,381,248,384,678,196
2017-01-08,207,236,109,288,1067,715,647
2017-01-08,399,0,774,462,681,322,185
2017-01-08,324,31,730,312,651,592,598
2017-01-08,724,462,705,461,214,475,447
2017-01-08,238,0,326,428,254,568,308
2017-01-08,263,422,340,689,902,633,281
2017-01-08,410,37,495,431,273,334,450
2017-01-08,0,0,697,890,776,491,636
2017-01-08,78,0,160,78,873,0,76
2017-01-08,322,538,69,91,607,589,567
2017-01-08,215,269,262,0,549,571,445
2017-01-09,371,561,781,0,631,190,71
2017-01-09,244,955,375,152,560,117,346
2017-01-09,424,319,339,120,255,313,168
2017-01-09,597,435,503,631,351,476,784
2017-01-09,0,345,372,915,281,491,378
2017-01-09,1098,197,423,611,156,242,465
2017-01-09,551,156,0,288,466,53,165
2017-01-09,79,441,373,32,691,450,812
2017-01-09,399,399,1048,571,277,794,268
2017-01-09,360,479,623,335,401,317,329
2017-01-10,805,431,339,696,294,0,24
2017-01-10,405,645,288,430,621,88,998
2017-01-10,829,605,167,328,353,108,159
2017-01-10,516,462,383,459,742,595,612
2017-01-10,619,21,44,68,258,538,477
2017-01-10,605,71,625,279,491,285,93
2017-01-10,265,494,0,73,341,1163,0
2017-01-10,180,323,293,330,630,766,517
2017-01-10,605,521,257,43,267,326,380
2017-01-10,318,119,0,100,876,408,631
2017-01-10,509,431,152,364,529,314,289
2017-01-11,422,80,329,335,47,141,635
2017-01-11,564,674,643,651,570,413,290
2017-01-11,582,563,187,503,841,166,243
2017-01-11,518,665,335,444,619,0,821
2017-01-11,0,652,223,428,346,539,96
2017-01-11,116,507,79,528,401,0,266
2017-01-11,448,527,95,144,812,668,714
2017-01-11,167,525,957,0,481,591,349
2017-01-11,738,554,553,317,474,498,371
2017-01-11,798,455,245,331,128,488,26
2017-01-12,286,197,743,557,558,666,269
