"date","A","B","C","F","G","L","M","O"
2017-03-01,80,356,420,944,570,331,713,28
2017-03-01,294,596,13,263,964,538,124,302
2017-03-01,692,450,780,496,532,282,484,613
2017-03-01,367,627,409,622,525,398,351,648
2017-03-01,443,278,273,374,48,664,962,577
2017-03-01,220,416,126,212,948,549,562,510
2017-03-01,322,295,493,721,357,404,543,567
2017-03-01,736,317,405,142,877,0,585,0
2017-03-01,970,950,408,530,461,737,165,1082
2017-03-01,405,669,189,523,159,602,325,842
2017-03-01,467,655,857,289,886,172,511,908
2017-03-01,267,528,545,0,863,122,514,0
2017-03-01,297,416,22,401,411,0,377,523
2017-03-01,803,458,79,561,74,623,765,449
2017-03-01,478,394,428,390,354,90,465,1012
2017-03-01,386,604,107,678,380,202,891,278
2017-03-01,366,522,643,703,367,639,845,554
2017-03-02,742,632,282,502,501,832,523,371
2017-03-02,786,272,309,730,833,217,398,405
2017-03-02,305,730,394,755,402,424,153,466
2017-03-02,91,413,906,611,329,335,702,622
2017-03-02,76,332,501,160,918,239,31,943
2017-03-02,584,576,144,166,0,203,336,50
2017-03-02,639,0,417,479,447,432,602,214
2017-03-02,305,416,790,615,379,635,390,413
2017-03-02,183,0,74,582,225,673,441,187
2017-03-02,793,600,684,404,23,837,527,713
2017-03-02,322,253,864,430,464,118,845,774
2017-03-02,200,431,428,170,383,570,462,177
2017-03-03,411,612,211,630,567,317,567,151
2017-03-03,157,909,314,498,493,288,695,576
2017-03-03,399,611,699,113,105,695,427,629
2017-03-03,371,377,535,186,254,576,421,619
2017-03-03,800,435,210,41,657,641,0,406
2017-03-03,382,331,0,62,565,725,0,454
2017-03-03,149,296,708,495,435,99,712,492
2017-03-03,612,104,821,415,161,108,902,531
2017-03-03,0,979,593,983,138,406,526,402
2017-03-03,541,407,315,514,473,368,268,837
2017-03-03,525,708,51,50,325,0,483,233
2017-03-03,292,190,306,7,677,369,0,114
2017-03-03,203,359,572,702,654,35,326,90
2017-03-03,355,529,713,623,529,525,239,634
2017-03-03,450,228,461,431,118,401,763,353
2017-03-03,242,175,395,440,138,0,766,600
2017-03-04,428,392,1082,277,706,454,558,606
2017-03-04,251,584,322,621,566,296,122,517
2017-03-04,537,544,162,685,513,913,383,249
2017-03-04,802,315,0,134,380,844,416,760
2017-03-04,60,338,0,0,79,520,776,384
2017-03-04,296,914,452,772,565,703,404,384
2017-03-04,356,772,739,738,47,308,159,411
2017-03-04,0,262,802,85,366,245,678,729
2017-03-04,832,874,220,383,480,0,680,581
2017-03-04,619,479,201,81,555,126,803,499
2017-03-04,0,456,878,584,367,359,599,0
2017-03-04,406,401,514,520,345,429,729,467
2017-03-04,616,693,167,386,502,654,345,398
2017-03-04,546,625,779,500,317,610,318,0
2017-03-04,9,520,0,300,274,311,547,494
2017-03-04,294,635,152,633,600,343,495,724
2017-03-04,115,621,556,608,496,591,433,952
2017-03-04,463,1067,378,0,488,376,632,733
2017-03-04,512,364,318,352,652,607,475,525
2017-03-04,158,0,571,184,585,187,156,403
2017-03-05,734,475,366,624,0,259,588,923
2017-03-05,503,326,518,395,667,768,753,584
2017-03-05,436,353,470,0,186,387,863,287
2017-03-05,364,20,371,503,358,407,341,678
2017-03-05,498,769,458,471,787,544,81,222
2017-03-05,753,318,65,382,341,0,777,197
2017-03-05,864,0,409,696,451,269,428,145
2017-03-05,519,636,249,368,386,415,269,777
2017-03-05,651,194,665,823,653,943,461,566
2017-03-05,363,686,340,0,0,283,19,326
2017-03-05,417,440,41,748,0,655,241,234
2017-03-05,44,569,746,437,136,174,336,619
2017-03-06,576,665,571,518,772,352,693,473
2017-03-06,972,545,215,464,211,371,749,409
2017-03-06,286,33,615,299,657,357,534,0
2017-03-06,314,322,294,341,322,234,711,479
2017-03-06,561,584,94,693,913,607,117,465
2017-03-06,535,265,324,116,369,784,644,57
2017-03-06,188,0,711,535,232,396,0,306
2017-03-06,638,334,901,437,534,500,485,292
2017-03-06,109,39,466,585,318,836,543,266
2017-03-06,462,343,263,264,543,394,741,329
2017-03-06,324,389,524,426,321,479,751,740
2017-03-06,485,458,180,494,159,396,594,426
2017-03-06,91,622,259,677,208,829,593,207
2017-03-06,57,449,682,822,0,273,92,818
2017-03-06,445,374,968,726,503,612,260,354
2017-03-07,399,271,527,215,570,599,436,256
2017-03-07,724,160,316,865,587,550,390,521
2017-03-07,527,962,427,786,816,333,584,104
2017-03-07,162,199,424,442,585,174,0,911
2017-03-07,115,388,13,232,506,800,0,259
2017-03-07,911,53,161,590,418,148,137,367
2017-03-07,0,262,785,597,533,403,834,630
2017-03-07,710,314,323,437,519,304,580,342
2017-03-07,655,844,751,137,565,531,112,337
2017-03-08,440,15,198,651,432,348,121,494
2017-03-08,413,314,756,351,377,514,333,81
2017-03-08,668,593,573,504,667,373,536,410
2017-03-08,383,780,852,586,541,240,445,400
2017-03-08,137,115,1045,322,488,194,175,47
2017-03-08,190,311,348,534,393,665,21,459
2017-03-08,184,156,719,431,431,828,784,373
2017-03-08,444,513,0,525,334,642,178,47
2017-03-08,341,450,486,0,857,871,583,120
2017-03-08,355,555,182,296,224,686,444,315
2017-03-08,651,506,233,365,140,801,347,744
2017-03-08,658,221,301,210,434,251,548,806
2017-03-08,659,74,542,286,810,549,418,41
2017-03-08,253,509,374,602,828,363,766,573
2017-03-08,294,823,525,87,471,517,587,700
2017-03-08,694,625,691,905,762,437,328,682
2017-03-08,633,0,81,388,534,0,1131,260
2017-03-08,249,369,591,306,274,566,250,948
2017-03-08,355,214,64,446,971,340,751,333
2017-03-09,88,617,577,438,291,710,71,868
2017-03-09,764,429,348,691,375,520,251,560
2017-03-09,327,669,842,366,234,434,633,347
2017-03-09,792,184,614,394,754,506,353,8
2017-03-09,441,848,801,0,713,88,143,612
2017-03-09,275,156,770,340,183,687,453,458
2017-03-09,698,393,0,412,578,304,519,428
2017-03-09,914,431,782,660,251,722,851,549
2017-03-09,509,299,482,0,809,931,1043,520
2017-03-09,143,0,346,170,585,351,456,626
2017-03-09,239,193,733,223,360,590,392,182
2017-03-09,483,738,260,105,206,20,297,602
2017-03-09,873,685,698,263,315,507,749,155
2017-03-09,615,781,397,479,12,685,663,199
2017-03-09,952,0,659,145,878,609,528,481
2017-03-09,517,0,290,282,993,243,829,393
2017-03-09,398,504,337,319,100,625,4,403
2017-03-10,288,167,507,620,822,841,632,81
2017-03-10,511,890,370,542,498,557,300,737
2017-03-10,342,708,283,0,490,521,244,228
2017-03-10,820,542,674,84,502,470,428,0
2017-03-10,215,560,318,447,41,194,587,647
2017-03-10,824,0,389,767,161,430,208,703
2017-03-10,273,445,449,541,543,224,339,183
