"date","F","I","N"
2017-04-01,246,282,76
2017-04-01,0,67,0
2017-04-01,347,200,0
2017-04-01,87,0,151
2017-04-01,0,313,444
2017-04-02,600,429,0
2017-04-02,59,64,350
2017-04-02,33,354,147
2017-04-03,190,294,0
2017-04-03,102,398,117
2017-04-03,66,0,0
2017-04-04,0,188,2
2017-04-04,409,303,459
2017-04-04,569,226,0
2017-04-04,378,387,14
2017-04-04,263,402,0
2017-04-04,0,311,153
2017-04-05,139,490,192
2017-04-05,50,0,75
2017-04-05,298,793,0
2017-04-05,72,0,170
2017-04-05,37,0,191
2017-04-05,0,0,182
2017-04-05,287,44,77
2017-04-06,0,247,0
2017-04-06,341,267,589
2017-04-07,116,58,0
2017-04-07,216,38,275
2017-04-07,188,494,166
2017-04-08,132,0,71
2017-04-08,0,0,89
2017-04-09,0,68,0
2017-04-09,0,0,27
2017-04-09,28,0,0
2017-04-09,46,33,99
2017-04-10,133,323,459
2017-04-10,0,0,171
2017-04-10,124,0,244
2017-04-10,243,0,0
2017-04-10,0,0,225
2017-04-11,26,263,65
2017-04-11,363,0,412
2017-04-11,0,0,0
2017-04-11,0,212,0
2017-04-11,235,282,251
2017-04-12,0,437,120
2017-04-12,295,134,0
2017-04-12,301,276,0
2017-04-12,0,877,249
2017-04-13,289,375,95
2017-04-13,20,431,716
2017-04-13,0,101,679
2017-04-14,0,204,149
2017-04-14,0,275,499
2017-04-14,114,0,0
2017-04-14,0,123,263
2017-04-14,75,161,0
2017-04-15,233,98,0
2017-04-15,448,303,449
2017-04-15,122,259,63
2017-04-15,469,65,510
2017-04-16,373,140,0
2017-04-17,0,75,91
2017-04-18,306,0,255
2017-04-19,55,189,388
2017-04-19,31,470,441
2017-04-19,298,159,0
2017-04-19,0,160,0
2017-04-20,0,0,242
2017-04-20,125,0,71
2017-04-20,0,0,410
2017-04-20,315,73,413
2017-04-21,299,153,59
2017-04-22,389,134,0
2017-04-23,400,0,363
2017-04-23,38,174,457
2017-04-23,306,0,0
2017-04-23,0,293,296
2017-04-24,362,138,144
2017-04-24,98,105,0
2017-04-24,562,309,246
2017-04-24,0,166,0
2017-04-24,0,0,520
2017-04-24,434,67,516
2017-04-24,0,394,0
2017-04-25,230,174,63
2017-04-25,0,25,37
2017-04-25,0,0,4
2017-04-26,176,577,0
2017-04-26,248,216,0
2017-04-26,271,334,0
2017-04-26,182,0,0
2017-04-27,438,162,318
2017-04-27,0,0,0
2017-04-27,409,223,610
2017-04-27,300,502,104
2017-04-27,0,0,0
2017-04-27,275,0,994
2017-04-28,0,0,0
2017-04-29,208,194,48
2017-04-29,0,340,0
2017-04-29,186,0,8
2017-04-29,263,279,193
2017-04-29,175,291,243
2017-04-30,491,524,565
2017-04-30,39,315,68
2017-04-30,44,175,73
2017-04-30,39,0,0
