"date","B","E","G","K","L","O"
2017-05-01,766,513,515,681,532,522
2017-05-01,723,442,918,331,238,583
2017-05-01,650,510,546,1000,731,384
2017-05-01,698,491,112,392,401,500
2017-05-01,732,608,399,452,718,1066
2017-05-01,109,262,496,401,817,599
2017-05-01,257,443,889,461,311,455
2017-05-01,456,545,584,275,596,493
2017-05-01,692,541,968,607,368,860
2017-05-01,486,607,336,771,450,428
2017-05-01,362,350,183,177,133,0
2017-05-01,712,1139,466,138,745,145
2017-05-01,713,654,251,537,836,473
2017-05-02,0,409,506,606,656,44
2017-05-02,502,341,513,577,601,257
2017-05-02,427,361,162,340,377,903
2017-05-02,743,594,678,862,537,530
2017-05-02,349,684,238,290,427,318
2017-05-02,332,608,331,121,462,958
2017-05-02,282,387,437,278,581,446
2017-05-02,322,528,57,800,523,280
2017-05-02,0,510,735,402,843,321
2017-05-02,782,761,458,220,60,550
2017-05-02,427,372,638,431,267,106
2017-05-02,1015,704,134,652,844,20
2017-05-02,379,218,558,696,270,296
2017-05-02,280,609,744,476,720,494
2017-05-03,404,712,1183,390,467,515
2017-05-03,808,329,413,462,176,612
2017-05-03,218,146,362,688,391,220
2017-05-03,426,564,352,435,438,211
2017-05-03,288,647,706,676,625,492
2017-05-03,900,20,704,893,378,129
2017-05-04,533,232,651,629,269,866
2017-05-04,146,635,463,580,446,797
2017-05-04,172,75,509,437,595,344
2017-05-04,495,704,758,428,497,380
2017-05-04,715,614,236,315,643,499
2017-05-04,479,625,406,289,400,315
2017-05-04,695,314,287,966,785,610
2017-05-04,611,0,563,659,484,399
2017-05-04,569,519,193,635,396,827
2017-05-04,652,164,392,947,547,255
2017-05-04,572,695,332,372,915,621
2017-05-04,552,543,306,478,664,286
2017-05-04,194,275,390,312,716,680
2017-05-05,366,217,302,575,394,585
2017-05-05,361,229,622,250,262,304
2017-05-05,237,284,477,440,439,417
2017-05-05,617,390,338,515,470,390
2017-05-05,294,212,504,994,345,417
2017-05-05,408,589,418,586,844,416
2017-05-05,704,705,370,53,14,345
2017-05-05,851,417,612,615,206,501
2017-05-05,644,609,0,550,734,562
2017-05-05,407,393,668,589,481,718
2017-05-05,272,1078,187,886,500,254
2017-05-05,414,300,448,324,451,146
2017-05-05,0,758,587,425,376,205
2017-05-05,538,250,861,538,326,615
2017-05-05,427,603,689,321,234,237
2017-05-05,925,84,47,764,613,480
2017-05-05,180,494,615,481,789,282
2017-05-06,196,584,265,279,0,665
2017-05-06,749,859,345,449,211,553
2017-05-06,534,107,507,496,410,626
2017-05-06,576,614,711,366,585,426
2017-05-06,466,326,621,0,632,0
2017-05-06,196,0,227,668,181,315
2017-05-06,568,573,495,249,516,235
2017-05-06,393,738,831,371,54,466
2017-05-06,517,175,0,304,577,325
2017-05-06,545,709,602,127,637,523
2017-05-06,643,507,266,274,275,543
2017-05-06,613,0,158,226,466,482
2017-05-06,455,317,0,394,1377,356
2017-05-06,588,4,860,6,579,359
2017-05-06,413,484,167,622,188,148
2017-05-06,604,228,337,411,462,401
2017-05-06,360,738,329,951,100,629
2017-05-06,660,828,615,461,580,17
2017-05-07,523,462,1060,285,507,458
2017-05-07,688,673,714,253,373,585
2017-05-07,93,0,456,565,520,778
2017-05-07,520,362,511,0,512,680
2017-05-07,645,224,385,532,283,640
2017-05-07,694,856,459,173,597,390
2017-05-07,173,506,98,233,833,400
2017-05-07,274,0,401,363,659,389
2017-05-07,666,386,822,300,638,578
2017-05-07,397,155,407,317,677,215
2017-05-07,321,397,428,0,625,429
2017-05-07,670,30,151,365,612,630
2017-05-07,236,633,1011,274,457,788
2017-05-08,455,319,97,310,902,629
2017-05-08,718,760,0,512,576,737
2017-05-08,382,871,744,301,761,659
2017-05-08,100,279,252,282,779,973
2017-05-08,747,321,663,519,472,498
2017-05-08,587,469,440,409,950,530
2017-05-08,121,425,242,503,704,531
2017-05-08,472,489,539,222,382,794
2017-05-08,398,519,703,687,889,487
2017-05-08,151,655,387,379,390,68
2017-05-08,384,0,517,96,578,750
2017-05-08,548,451,285,609,254,608
2017-05-08,545,1082,604,487,521,337
2017-05-08,108,726,508,369,1030,272
2017-05-08,75,872,336,365,627,0
2017-05-08,390,168,516,381,768,350
2017-05-08,547,195,635,102,0,250
2017-05-08,130,430,542,722,334,143
2017-05-08,336,339,153,544,278,402
2017-05-09,492,710,225,643,482,574
2017-05-09,0,356,434,417,442,549
2017-05-09,0,986,539,756,379,560
2017-05-09,466,714,344,592,407,701
2017-05-09,408,219,809,436,514,237
2017-05-09,580,429,524,302,0,539
2017-05-09,653,449,890,0,510,981
2017-05-09,276,651,317,711,592,395
2017-05-09,159,900,304,244,617,0
2017-05-09,681,289,573,344,223,849
2017-05-09,0,116,432,498,103,399
2017-05-10,422,219,621,655,688,280
2017-05-10,704,0,492,828,530,370
2017-05-10,511,379,370,387,337,0
2017-05-10,636,516,572,741,592,268
2017-05-10,143,894,314,250,489,0
2017-05-10,509,313,833,528,737,638
2017-05-10,890,577,907,521,745,192
2017-05-10,524,2,468,515,597,626
2017-05-10,253,726,285,510,225,740
2017-05-10,56,358,895,795,811,166
2017-05-10,358,328,280,711,657,318
2017-05-10,490,66,92,402,666,454
2017-05-10,501,291,244,707,524,524
2017-05-10,518,646,533,584,489,399
2017-05-10,468,789,758,158,754,647
2017-05-10,200,546,623,458,698,627
2017-05-11,559,274,772,156,453,573
