"date","A","C","F","G","H","I","J","L","M","N","O"
2017-06-01,0,711,569,55,0,172,0,434,6,68,195
2017-06-01,291,85,137,644,191,294,0,297,165,0,102
2017-06-01,0,528,0,189,348,0,76,221,254,254,9
2017-06-01,196,84,353,51,152,41,375,370,245,292,389
2017-06-01,366,117,360,428,0,666,0,46,210,0,0
2017-06-01,75,20,132,0,70,0,489,406,50,277,775
2017-06-01,80,0,0,324,108,379,62,103,0,660,517
2017-06-02,328,0,0,6,653,760,100,473,762,116,350
2017-06-02,38,140,405,9,0,402,96,62,0,102,347
2017-06-02,191,0,0,161,660,68,0,126,128,17,377
2017-06-02,0,725,0,328,19,62,0,0,96,309,90
2017-06-02,0,424,0,161,200,303,561,95,100,340,240
2017-06-03,0,322,454,0,0,553,0,182,31,0,47
2017-06-03,0,185,0,239,0,545,133,508,4,277,0
2017-06-03,563,0,0,168,0,122,292,326,58,218,0
2017-06-03,144,637,365,348,145,74,486,304,239,0,177
2017-06-03,13,447,0,318,529,574,389,223,55,221,459
2017-06-03,178,87,176,180,527,92,291,253,126,0,316
2017-06-03,537,296,0,248,255,145,0,0,173,0,0
2017-06-03,0,0,0,387,270,0,584,554,111,745,356
2017-06-03,82,0,339,308,26,0,664,70,200,8,167
2017-06-03,373,286,81,0,278,332,0,69,290,0,0
2017-06-04,489,360,275,37,122,300,0,515,285,0,303
2017-06-04,0,351,262,0,411,4,179,339,0,424,279
2017-06-04,527,279,274,0,0,180,225,198,111,247,479
2017-06-04,314,31,52,132,0,52,0,190,0,0,683
2017-06-04,523,0,0,188,74,31,153,0,33,0,84
2017-06-05,575,21,105,52,39,448,245,0,35,349,82
2017-06-05,442,197,203,417,0,489,317,515,0,230,132
2017-06-05,236,135,0,236,411,99,447,0,87,153,0
2017-06-05,344,351,0,82,0,173,1,252,0,427,0
2017-06-06,289,391,0,275,242,423,35,619,466,524,0
2017-06-06,0,37,164,0,25,366,123,0,151,594,0
2017-06-06,180,0,258,249,56,325,0,387,0,73,9
2017-06-07,316,0,186,0,173,120,320,555,384,0,0
2017-06-07,258,0,314,53,136,155,444,0,268,519,72
2017-06-07,81,149,354,0,0,329,0,45,0,0,66
2017-06-07,50,106,358,64,0,349,729,369,0,0,369
2017-06-07,83,119,390,355,0,123,172,135,560,106,0
2017-06-07,0,210,0,46,595,567,554,231,58,583,0
2017-06-07,579,318,0,372,303,495,70,424,175,0,351
2017-06-08,649,75,19,176,703,0,0,257,168,507,71
2017-06-08,0,0,0,249,26,0,189,137,38,0,139
2017-06-08,0,178,37,0,0,46,0,0,237,164,132
2017-06-08,400,21,166,0,69,0,103,0,0,0,443
2017-06-08,374,302,0,112,334,446,471,220,544,240,373
2017-06-09,524,0,0,411,0,356,500,246,0,564,247
2017-06-09,210,385,264,5,293,303,0,189,127,0,287
2017-06-09,96,0,143,404,281,309,58,0,0,0,85
2017-06-09,0,242,15,340,145,190,0,38,36,0,455
2017-06-09,0,304,379,0,536,0,0,676,0,43,0
2017-06-10,437,0,0,0,175,0,0,631,261,263,305
2017-06-10,90,620,18,506,498,238,427,56,316,64,254
2017-06-10,154,321,0,0,416,359,248,0,307,107,135
2017-06-10,157,66,0,0,0,43,136,52,205,251,166
2017-06-10,228,65,97,343,409,0,692,670,434,401,0
2017-06-10,637,0,0,352,187,0,0,297,0,0,163
2017-06-11,45,0,0,277,0,0,0,169,0,218,205
2017-06-11,0,0,0,85,169,430,54,0,127,80,406
2017-06-11,407,0,145,0,10,29,0,0,369,0,193
2017-06-11,123,593,0,88,31,0,722,282,70,235,19
2017-06-11,517,0,178,372,418,138,125,139,121,0,0
2017-06-11,0,0,68,483,182,257,304,224,95,0,319
2017-06-12,237,182,5,251,25,136,81,21,164,248,0
2017-06-12,166,0,111,336,234,0,180,0,415,0,0
2017-06-12,515,507,132,0,0,585,645,59,211,51,275
2017-06-12,427,213,531,423,115,238,106,413,377,0,0
2017-06-12,0,239,0,385,430,19,0,86,700,0,317
2017-06-13,369,233,0,114,217,493,286,460,520,150,54
2017-06-13,0,0,354,0,286,0,421,56,280,208,343
2017-06-13,26,342,342,75,31,278,0,250,93,451,0
2017-06-13,262,46,205,192,0,0,207,188,267,44,0
2017-06-13,405,0,0,0,0,190,274,100,20,1,0
2017-06-13,83,0,226,200,127,0,234,0,0,319,0
2017-06-14,245,0,357,331,14,303,65,443,301,70,304
2017-06-14,47,516,253,0,9,205,81,177,179,462,226
2017-06-14,0,137,664,547,558,635,449,294,79,426,75
2017-06-14,546,0,119,0,57,76,327,295,0,10,78
2017-06-15,0,393,226,86,225,226,184,110,161,161,0
2017-06-15,0,338,0,38,226,67,21,0,146,51,403
2017-06-15,38,0,539,391,46,217,0,467,155,196,193
2017-06-15,0,0,790,13,0,164,85,555,244,94,448
2017-06-15,233,16,179,511,119,0,0,382,370,229,116
2017-06-15,0,414,422,0,79,0,162,0,0,431,308
2017-06-16,0,0,0,0,306,20,85,480,368,444,374
2017-06-16,171,65,427,88,0,0,502,248,139,0,63
2017-06-17,0,291,391,198,0,43,110,0,213,282,325
2017-06-17,371,312,14,474,162,0,180,5,0,0,72
2017-06-17,92,198,403,69,0,558,494,6,20,0,753
2017-06-17,172,400,270,125,0,340,573,347,0,0,54
2017-06-17,350,0,353,126,174,271,294,170,105,422,0
2017-06-17,558,0,437,269,0,512,68,203,0,311,576
2017-06-17,431,172,0,534,0,266,164,362,160,419,339
2017-06-17,25,154,0,175,0,211,264,0,0,526,0
2017-06-18,0,0,385,355,490,137,0,11,801,63,140
2017-06-18,396,0,362,916,306,460,0,189,0,0,0
2017-06-18,193,0,390,0,61,140,0,0,79,0,0
2017-06-18,380,259,0,0,96,0,389,94,387,124,613
2017-06-18,643,422,820,0,281,765,256,0,323,274,0
2017-06-19,466,92,0,93,116,248,20,500,0,253,346
2017-06-19,480,164,0,0,0,403,34,332,1,144,291
2017-06-19,222,249,21,20,0,435,165,131,141,0,0
2017-06-19,522,0,524,127,283,5,609,421,445,302,0
2017-06-19,354,0,0,1,71,0,67,109,376,512,0
2017-06-19,0,445,137,251,18,523,370,0,0,582,440
2017-06-19,219,552,369,313,358,98,525,357,0,189,69
2017-06-19,52,68,0,607,296,164,690,10,0,113,164
2017-06-19,425,0,114,0,245,0,210,0,0,445,1
2017-06-20,527,73,286,0,145,0,140,0,276,0,472
2017-06-20,127,0,225,0,187,301,217,261,327,122,652
2017-06-20,154,177,279,12,799,299,0,210,143,577,0
2017-06-21,0,200,351,204,414,0,155,0,278,211,283
2017-06-21,0,0,303,0,260,350,436,338,0,599,462
2017-06-21,45,426,7,718,498,311,41,116,122,0,78
2017-06-21,0,310,105,88,0,423,345,307,6,99,155
2017-06-21,1,123,0,212,223,170,0,189,560,216,378
2017-06-21,139,362,290,438,247,193,530,815,64,306,0
2017-06-22,363,0,0,438,112,157,141,341,76,404,189
2017-06-22,393,171,362,34,266,370,194,206,103,301,104
2017-06-22,0,165,414,0,406,35,30,0,696,53,367
2017-06-22,0,103,659,105,0,0,111,188,386,0,207
2017-06-23,309,0,0,298,495,434,97,221,0,62,321
2017-06-23,260,211,308,42,381,80,199,416,0,183,156
2017-06-24,9,338,396,0,356,218,0,169,273,0,435
2017-06-24,0,175,351,7,535,112,27,0,438,0,124
2017-06-24,405,637,218,0,363,212,32,0,267,0,0
2017-06-24,374,368,761,0,0,34,105,0,268,550,665
2017-06-24,359,121,0,86,471,0,396,432,202,378,49
2017-06-25,95,61,458,707,0,633,75,265,301,134,251
2017-06-26,0,0,0,35,162,71,178,761,31,14,92
2017-06-26,241,207,482,340,473,677,41,292,0,435,672
2017-06-26,281,0,198,0,0,66,509,0,52,466,0
2017-06-27,10,716,0,63,143,17,110,0,0,502,193
2017-06-27,79,176,263,344,258,0,199,417,289,120,0
2017-06-27,0,206,42,0,259,688,261,0,0,186,145
2017-06-28,205,293,0,347,224,101,0,113,0,388,133
2017-06-28,0,27,0,207,0,260,573,398,211,28,304
2017-06-28,36,7,339,98,0,623,0,0,36,0,0
2017-06-28,0,216,134,102,220,332,34,0,0,12,0
2017-06-28,184,31,0,266,0,10,619,109,366,456,94
2017-06-28,383,0,158,23,66,0,367,824,309,0,0
2017-06-28,288,87,318,92,456,212,0,45,130,166,0
2017-06-29,58,273,110,0,0,145,0,0,0,0,304
2017-06-29,700,37,276,194,435,416,181,652,0,0,0
2017-06-29,308,0,316,423,27,45,59,0,261,533,44
2017-06-29,526,250,210,0,274,0,67,341,0,131,250
2017-06-29,0,0,0,265,105,295,0,0,61,635,330
2017-06-30,0,696,66,448,115,100,0,207,158,189,0
2017-06-30,96,26,0,0,0,171,412,327,359,0,0
2017-06-30,0,0,0,233,348,62,0,563,207,337,0
2017-06-30,472,189,643,389,227,199,0,0,85,389,460
2017-06-30,0,419,0,0,120,264,440,0,0,524,734
2017-06-30,323,146,0,0,25,115,0,2,828,179,511
2017-06-30,187,313,133,336,230,701,385,0,0,359,328
