"date","A","B","C","D","E","F","G","J","K","L","M","N","O"
2017-07-01,546,194,0,211,0,64,320,273,510,450,225,490,642
2017-07-01,798,579,0,51,258,32,329,490,1114,523,379,355,467
2017-07-01,638,240,683,599,162,233,321,560,440,382,159,353,0
2017-07-01,671,77,124,420,0,0,495,296,475,159,246,154,443
2017-07-02,314,258,0,0,415,134,552,283,467,0,227,423,115
2017-07-02,153,0,142,396,318,342,319,899,38,196,685,241,307
2017-07-02,490,574,75,0,62,174,0,258,96,290,135,358,113
2017-07-02,414,360,529,212,261,0,348,345,71,480,357,513,0
2017-07-02,0,645,265,0,109,0,719,216,165,342,0,494,418
2017-07-02,621,93,81,537,271,0,100,140,435,690,0,286,352
2017-07-02,376,565,0,244,157,92,175,549,554,512,0,343,170
2017-07-02,226,297,178,269,156,432,179,208,476,341,248,0,260
2017-07-02,0,0,84,43,163,410,365,1026,636,0,439,307,163
2017-07-03,259,253,390,270,312,611,625,278,82,307,386,186,0
2017-07-03,409,475,242,556,217,523,0,34,327,0,563,388,79
2017-07-03,0,33,430,408,288,335,734,3,569,725,813,301,0
2017-07-03,0,647,464,513,293,0,0,182,237,286,572,624,165
2017-07-03,112,30,528,170,509,133,247,285,277,338,362,223,0
2017-07-03,160,259,135,538,306,193,62,542,318,90,233,275,456
2017-07-03,3,299,492,354,682,134,370,41,203,98,28,27,3
2017-07-03,0,492,438,0,398,313,37,0,0,421,240,127,372
2017-07-03,648,97,226,713,283,490,0,193,307,608,290,0,668
2017-07-03,477,663,117,408,51,257,18,115,160,139,710,776,587
2017-07-03,12,482,554,0,29,159,0,331,1,532,679,414,0
2017-07-04,242,355,269,0,472,0,607,541,341,394,486,321,435
2017-07-04,60,627,467,146,197,0,0,12,269,99,547,426,265
2017-07-04,195,374,641,74,0,110,369,360,354,79,420,311,208
2017-07-04,0,309,102,460,26,401,261,74,56,0,93,0,676
2017-07-04,498,436,137,566,345,316,136,277,214,482,438,571,476
2017-07-04,869,581,0,657,722,15,950,0,733,12,0,546,238
2017-07-04,101,373,690,329,205,92,833,273,277,500,158,349,104
2017-07-04,727,34,0,163,534,0,727,755,394,301,417,0,264
2017-07-04,214,297,461,0,345,329,773,139,501,708,21,23,388
2017-07-05,390,454,413,379,0,256,0,0,0,278,250,388,0
2017-07-05,610,320,640,293,304,250,497,331,550,327,543,52,724
2017-07-05,623,601,0,745,150,660,254,125,813,224,115,27,424
2017-07-05,205,583,229,338,3,270,323,586,0,0,691,724,224
2017-07-05,645,284,619,0,303,77,563,354,413,509,260,383,359
2017-07-05,267,206,0,560,0,288,718,515,749,111,465,9,140
2017-07-05,0,169,0,148,121,341,375,283,43,192,143,0,456
2017-07-05,310,311,386,0,409,176,0,104,271,348,342,444,169
2017-07-05,738,0,0,601,157,156,388,286,571,198,106,308,859
2017-07-05,159,179,0,369,518,388,13,388,208,332,400,203,0
2017-07-05,294,314,141,619,112,176,384,17,277,0,569,135,79
2017-07-05,23,496,572,192,394,140,129,238,205,0,300,716,460
2017-07-05,173,330,632,549,42,0,100,581,706,247,362,0,262
2017-07-06,125,346,437,438,179,591,0,725,31,384,613,0,137
2017-07-06,599,243,486,602,230,328,612,341,0,248,807,508,473
2017-07-06,98,0,127,292,481,290,59,760,466,0,274,445,714
2017-07-06,369,264,18,881,271,281,294,506,758,370,4,95,131
2017-07-06,90,220,331,555,814,466,114,695,192,647,136,405,187
2017-07-06,131,349,343,346,0,668,393,605,276,264,262,165,293
2017-07-06,0,0,0,321,646,353,0,283,273,211,0,219,716
2017-07-06,308,410,124,771,0,244,0,664,183,408,226,351,0
2017-07-06,0,55,0,344,320,287,404,314,80,596,338,699,406
2017-07-07,242,118,514,438,0,244,836,266,588,307,244,44,158
2017-07-07,0,789,0,682,381,674,321,371,306,699,0,372,821
2017-07-07,158,102,445,350,245,150,254,555,468,534,0,167,482
2017-07-07,627,460,522,694,0,92,104,185,267,635,766,427,333
2017-07-07,0,311,502,0,0,312,349,331,418,368,255,363,93
2017-07-07,729,722,163,70,2,423,109,0,236,461,29,264,478
2017-07-07,614,545,236,39,812,324,313,625,43,246,341,84,529
2017-07-07,382,292,598,220,511,424,289,654,398,211,189,350,782
2017-07-07,304,0,45,121,359,194,119,368,310,729,463,437,163
2017-07-08,0,254,0,799,150,462,544,137,751,199,161,608,551
2017-07-08,312,0,185,771,252,37,495,21,257,345,733,421,191
2017-07-08,335,56,250,502,143,509,92,25,856,221,0,450,349
