"date","A","B","C","D","E","G","H","K","O"
2017-08-01,500,676,122,203,591,681,378,178,274
2017-08-01,355,563,441,709,82,713,397,317,479
2017-08-01,286,837,28,675,372,548,751,329,688
2017-08-01,604,513,414,382,431,628,91,569,573
2017-08-01,478,576,340,417,587,150,626,364,863
2017-08-01,102,409,178,41,614,112,564,551,369
2017-08-01,110,88,517,281,268,521,886,302,518
2017-08-01,458,408,388,648,618,411,392,573,485
2017-08-01,441,193,524,618,276,261,489,374,420
2017-08-01,359,593,414,536,403,482,144,811,683
2017-08-02,296,108,820,443,437,332,0,227,392
2017-08-02,384,257,231,188,677,460,965,18,0
2017-08-02,317,313,0,102,553,798,487,449,486
2017-08-02,151,398,575,361,129,315,445,365,340
2017-08-02,72,298,416,434,354,790,746,732,432
2017-08-02,415,311,303,459,582,500,93,179,351
2017-08-02,557,376,240,171,789,120,386,278,463
2017-08-02,142,774,369,786,413,57,266,927,902
2017-08-02,0,42,646,337,809,130,232,461,410
2017-08-02,397,671,731,386,112,847,143,162,309
2017-08-02,386,390,608,43,504,272,224,527,784
2017-08-03,642,638,501,427,190,923,207,258,653
2017-08-03,585,870,358,610,0,367,61,630,670
2017-08-03,382,499,68,263,169,831,633,704,464
2017-08-03,346,327,236,81,557,622,419,278,374
2017-08-03,219,266,690,740,328,416,420,151,560
2017-08-03,661,201,285,385,365,61,416,593,497
2017-08-03,1079,314,399,256,581,701,354,331,571
2017-08-03,418,447,84,283,300,407,672,0,525
2017-08-03,577,390,253,266,702,481,643,356,339
2017-08-03,390,369,484,111,541,231,855,741,574
2017-08-03,394,398,276,135,514,151,614,449,229
2017-08-03,594,333,694,60,219,0,139,503,476
2017-08-03,324,470,224,290,537,495,901,361,30
2017-08-04,169,601,437,338,793,536,849,591,600
2017-08-04,385,314,781,446,236,56,230,315,466
2017-08-04,526,488,773,452,447,768,234,285,36
2017-08-04,400,514,264,784,411,113,321,93,517
2017-08-04,167,137,480,118,480,341,327,192,611
2017-08-04,325,375,0,746,509,184,679,455,237
2017-08-04,910,112,861,348,33,800,911,484,211
2017-08-04,437,594,681,259,449,145,860,691,711
2017-08-04,373,776,835,49,333,270,343,664,595
2017-08-05,1042,361,637,599,0,706,398,568,677
2017-08-05,213,653,941,0,652,384,181,80,797
2017-08-05,723,128,601,664,587,603,614,366,555
2017-08-05,0,647,396,459,597,314,321,750,54
2017-08-05,908,597,573,408,485,525,513,707,658
2017-08-05,535,494,113,236,232,180,365,82,259
2017-08-05,589,311,208,300,457,678,0,626,459
2017-08-05,176,479,490,152,768,195,389,480,88
2017-08-05,662,293,894,394,551,819,411,393,622
2017-08-05,234,135,202,652,0,276,22,404,492
2017-08-05,214,418,115,572,860,640,618,230,38
2017-08-05,490,1042,49,386,471,928,616,746,701
2017-08-06,692,492,692,663,44,637,0,462,642
2017-08-06,26,179,410,913,539,675,32,611,291
2017-08-06,299,374,363,474,624,652,227,620,393
2017-08-06,284,444,109,470,436,800,454,497,410
2017-08-06,295,455,285,267,758,336,464,488,623
2017-08-06,587,471,345,333,110,449,247,931,354
2017-08-06,675,247,524,609,933,407,461,89,567
2017-08-06,306,51,432,307,0,181,35,412,439
2017-08-06,524,426,535,331,298,620,581,0,493
2017-08-07,211,52,235,626,452,176,641,320,93
2017-08-07,567,451,511,181,576,329,132,575,0
2017-08-07,447,579,524,17,167,596,259,167,249
2017-08-07,577,540,145,831,788,378,704,601,684
2017-08-07,0,382,276,227,525,257,349,569,157
2017-08-07,169,561,361,428,311,344,247,213,557
2017-08-07,242,327,702,434,210,578,166,441,0
2017-08-08,336,392,696,51,615,580,498,557,438
2017-08-08,310,341,130,476,232,296,304,313,60
2017-08-08,303,472,256,277,816,0,620,524,227
2017-08-08,320,545,328,424,328,303,548,362,472
2017-08-08,392,201,149,202,225,381,441,616,382
2017-08-08,0,406,652,0,513,240,0,358,487
2017-08-08,366,226,237,407,371,505,367,21,365
2017-08-08,433,180,290,685,435,193,602,345,358
2017-08-08,315,181,528,906,406,218,409,422,663
2017-08-08,818,108,0,658,496,668,410,796,795
2017-08-08,202,739,447,747,257,751,628,85,109
2017-08-08,825,352,213,479,876,324,108,312,340
2017-08-08,0,526,691,364,383,531,255,389,277
2017-08-09,403,724,183,587,21,321,275,0,304
2017-08-09,311,287,305,443,0,416,268,456,664
2017-08-09,144,481,291,710,0,20,781,56,243
2017-08-09,567,690,596,785,204,666,396,182,409
2017-08-09,935,278,541,191,171,744,851,621,356
2017-08-09,294,0,835,840,522,400,37,0,602
2017-08-09,632,598,0,323,246,150,550,0,472
2017-08-09,725,133,774,314,400,767,423,495,168
2017-08-09,256,4,305,0,125,455,329,184,316
2017-08-09,841,448,632,724,700,516,621,460,158
2017-08-09,365,295,416,226,660,165,601,170,615
2017-08-09,235,302,334,356,1026,113,0,64,519
2017-08-09,281,973,688,332,758,600,374,351,226
2017-08-09,449,247,332,665,817,321,387,10,512
2017-08-09,443,619,449,555,432,381,831,499,478
2017-08-09,0,185,135,0,37,460,307,572,472
2017-08-09,0,393,745,488,478,110,349,373,936
2017-08-10,590,113,740,638,449,372,382,497,247
2017-08-10,926,0,324,125,443,794,349,443,0
2017-08-10,0,311,372,397,786,532,123,486,0
2017-08-10,571,243,85,744,925,769,492,438,475
2017-08-10,291,717,455,340,657,273,514,111,187
2017-08-10,508,339,605,610,202,368,836,786,494
2017-08-10,416,988,332,216,389,64,123,377,290
2017-08-10,227,497,140,252,552,660,580,151,364
2017-08-10,555,207,477,161,326,0,575,493,179
2017-08-10,898,546,631,201,596,252,848,238,514
2017-08-11,1227,422,475,252,708,717,318,629,236
2017-08-11,589,740,619,674,222,0,129,533,513
2017-08-11,688,382,651,224,876,36,249,591,602
2017-08-11,57,240,653,131,400,425,694,425,340
2017-08-11,221,764,566,205,432,578,29,231,342
2017-08-11,694,176,482,647,207,0,734,313,192
2017-08-12,605,525,813,147,536,585,447,633,546
2017-08-12,605,350,743,0,482,0,169,436,1182
2017-08-12,267,444,453,442,654,297,393,402,577
2017-08-12,643,382,466,415,338,421,400,872,420
2017-08-12,199,390,22,804,368,94,522,482,198
2017-08-12,242,0,586,132,403,196,301,667,904
2017-08-12,239,313,617,950,261,0,874,334,337
2017-08-12,365,398,766,50,389,188,353,215,393
2017-08-12,503,477,597,0,360,212,493,532,495
2017-08-12,334,543,333,449,359,192,693,512,315
2017-08-12,514,263,647,253,193,96,471,0,435
2017-08-12,564,397,592,291,447,0,293,373,420
2017-08-12,402,509,593,121,379,177,0,547,844
2017-08-12,491,0,451,412,675,136,482,587,350
2017-08-12,0,749,835,65,324,468,309,351,330
2017-08-12,238,181,346,769,384,936,444,372,539
2017-08-12,22,325,260,173,120,765,204,400,819
2017-08-12,110,479,204,287,162,348,90,367,648
2017-08-12,375,288,76,394,285,345,505,99,596
2017-08-13,872,599,522,274,321,544,480,808,240
2017-08-13,165,630,545,603,431,411,244,0,576
2017-08-13,85,396,281,682,432,808,0,761,337
2017-08-13,1153,150,303,281,184,452,461,559,567
2017-08-13,899,778,296,733,491,575,471,417,285
2017-08-13,424,272,623,749,606,422,185,673,325
2017-08-13,0,519,657,798,11,0,314,289,634
2017-08-13,456,251,140,361,0,530,479,684,186
2017-08-13,417,680,224,284,970,210,50,411,226
2017-08-13,664,167,641,0,375,336,435,701,326
2017-08-13,822,395,512,40,259,199,520,706,483
2017-08-14,657,395,461,749,358,359,174,568,99
2017-08-14,604,353,401,560,763,524,236,897,277
2017-08-14,509,338,402,490,397,452,0,458,709
2017-08-14,524,924,435,885,717,731,774,210,424
2017-08-14,87,368,172,706,77,231,862,321,107
2017-08-14,583,863,0,731,633,652,211,784,212
2017-08-14,304,297,135,0,668,293,87,172,170
2017-08-14,231,302,70,177,235,196,686,290,455
2017-08-14,335,320,241,534,197,602,402,399,571
2017-08-14,332,121,664,573,496,491,730,573,391
2017-08-14,0,424,819,658,679,452,320,208,243
2017-08-14,568,139,456,0,691,529,438,182,463
2017-08-14,211,18,1064,973,397,562,153,584,420
2017-08-14,564,366,470,265,0,593,549,509,242
2017-08-15,366,364,39,347,133,493,501,375,148
2017-08-15,459,234,233,366,661,866,2,746,340
2017-08-15,398,365,467,273,735,258,211,326,412
2017-08-15,0,212,210,240,590,71,468,218,219
2017-08-15,173,189,370,428,403,451,172,468,202
2017-08-15,585,163,503,661,633,731,642,0,14
2017-08-15,193,331,386,609,0,325,551,702,159
2017-08-15,327,85,628,548,340,178,171,315,278
2017-08-15,582,548,135,217,392,238,779,443,0
2017-08-15,417,649,277,727,219,290,109,588,679
2017-08-16,330,46,638,491,516,0,1146,278,158
2017-08-16,211,313,678,463,413,454,401,0,297
2017-08-16,784,381,96,251,521,83,532,421,570
2017-08-16,532,284,0,190,353,652,38,545,323
2017-08-16,71,415,282,577,345,0,739,626,578
2017-08-16,344,404,343,155,649,215,42,81,700
2017-08-16,573,55,142,454,650,516,334,200,217
2017-08-16,307,0,139,514,334,815,227,93,208
2017-08-16,154,50,356,447,505,382,500,402,7
2017-08-16,568,0,547,918,475,832,77,848,533
2017-08-17,0,409,363,640,1154,656,0,254,310
2017-08-17,344,605,647,0,848,604,674,119,125
2017-08-17,165,0,0,279,231,566,383,209,163
2017-08-17,642,446,305,592,378,469,359,0,372
2017-08-17,300,155,367,450,311,95,651,382,0
2017-08-17,808,835,399,27,626,576,285,345,942
2017-08-17,345,167,340,251,333,680,299,315,188
2017-08-18,0,807,273,253,869,776,165,266,428
2017-08-18,0,314,54,181,373,509,772,257,70
2017-08-18,420,436,406,147,66,735,738,583,586
2017-08-18,363,0,429,0,607,367,281,441,553
2017-08-18,339,80,418,633,341,492,417,265,705
2017-08-18,855,517,137,543,260,349,390,951,241
2017-08-18,523,0,0,492,148,704,339,359,416
2017-08-18,203,397,432,634,512,498,518,0,538
2017-08-18,0,74,642,178,154,367,280,563,414
2017-08-18,19,343,476,314,26,260,272,797,706
2017-08-18,0,675,296,761,425,480,381,241,589
2017-08-18,0,430,839,275,476,660,307,345,406
2017-08-18,543,90,351,236,571,0,377,362,297
2017-08-18,13,295,197,9,310,427,364,77,458
2017-08-18,497,379,479,412,274,345,428,496,302
2017-08-18,32,436,0,290,746,110,811,334,401
2017-08-19,377,355,618,481,581,252,187,652,466
2017-08-19,234,254,547,589,387,925,350,486,350
2017-08-19,446,619,481,153,756,438,880,140,957
2017-08-19,170,1109,511,539,652,217,396,724,100
2017-08-19,66,215,562,694,0,264,197,0,445
2017-08-19,98,0,492,881,912,109,192,323,151
2017-08-19,97,275,421,334,560,194,447,145,266
2017-08-19,29,143,194,0,275,149,622,750,706
2017-08-19,581,631,118,878,340,633,674,37,843
2017-08-19,655,735,367,835,847,558,144,530,229
2017-08-19,392,514,0,0,163,490,718,476,600
2017-08-19,437,457,272,379,254,179,415,625,807
2017-08-19,738,197,270,478,403,95,425,266,0
2017-08-19,632,209,439,1166,629,308,387,669,291
2017-08-19,261,0,210,58,445,372,1055,217,318
2017-08-19,37,403,717,764,83,550,247,603,61
2017-08-19,194,264,65,456,96,409,362,252,736
2017-08-19,420,552,257,421,299,693,444,193,783
2017-08-19,52,457,770,0,393,715,135,457,0
2017-08-20,207,582,262,576,364,281,174,117,282
2017-08-20,47,415,479,0,87,488,568,337,416
2017-08-20,294,734,674,552,728,734,501,475,233
2017-08-20,703,618,481,342,656,176,698,371,210
2017-08-20,230,64,686,620,413,305,470,999,235
2017-08-20,348,0,239,656,408,55,417,392,183
2017-08-20,0,939,303,58,65,736,339,839,667
2017-08-20,248,209,342,225,346,614,271,83,916
2017-08-20,579,82,103,140,200,0,425,239,691
2017-08-20,543,547,110,675,525,342,906,355,355
2017-08-20,110,849,0,416,267,245,746,467,274
2017-08-20,537,315,144,167,379,189,364,408,896
2017-08-20,585,49,734,619,213,634,117,400,953
2017-08-20,119,475,352,732,515,44,372,419,306
2017-08-20,528,284,263,273,381,341,171,888,0
2017-08-20,715,517,26,0,0,0,285,213,790
2017-08-21,276,404,274,234,682,0,547,280,1022
2017-08-21,555,516,707,427,307,723,487,773,602
2017-08-21,703,479,402,26,45,454,598,510,1
2017-08-21,480,308,278,0,158,579,637,493,51
2017-08-21,213,74,123,536,815,510,418,214,365
2017-08-21,185,137,775,421,790,201,535,966,823
2017-08-21,628,120,386,310,530,880,239,364,455
2017-08-21,469,670,193,463,330,233,718,395,223
2017-08-21,251,433,322,0,160,623,503,501,770
2017-08-21,372,822,313,683,422,249,0,222,565
2017-08-21,287,467,131,427,0,451,530,281,434
2017-08-21,308,186,0,480,389,238,585,612,1
2017-08-21,84,431,330,261,832,277,438,373,655
2017-08-21,288,435,469,231,488,607,743,229,386
2017-08-21,0,551,333,477,430,589,805,356,638
2017-08-22,630,135,1060,169,0,721,507,371,556
2017-08-22,227,375,888,246,723,118,0,442,0
2017-08-22,353,559,150,258,0,175,61,582,400
2017-08-22,545,911,305,42,603,683,516,57,650
2017-08-22,0,717,482,0,203,219,109,492,456
2017-08-22,691,410,1018,472,272,690,438,179,466
2017-08-22,233,240,499,751,343,495,721,408,322
2017-08-22,455,679,344,400,869,704,644,263,441
2017-08-22,357,144,203,257,424,907,392,0,665
2017-08-22,380,336,617,769,430,943,888,507,319
2017-08-23,282,595,217,685,68,442,206,718,36
2017-08-23,150,652,532,317,491,264,626,406,729
2017-08-23,554,845,396,406,143,755,817,205,314
2017-08-23,135,598,302,279,387,292,365,212,546
2017-08-23,20,174,339,0,403,256,447,450,488
2017-08-23,397,392,0,862,384,382,17,416,372
2017-08-23,440,176,512,508,335,738,163,136,407
2017-08-23,118,678,463,221,92,408,736,374,444
2017-08-23,391,768,467,586,157,344,740,0,549
2017-08-23,454,511,206,289,720,386,296,416,240
2017-08-23,544,417,230,625,320,230,703,278,401
2017-08-23,0,16,525,468,0,408,242,681,423
2017-08-23,415,0,867,281,252,810,700,519,308
2017-08-23,639,593,541,500,401,638,734,185,824
2017-08-23,272,583,326,772,467,812,232,183,430
2017-08-24,177,332,0,885,754,469,607,789,168
2017-08-24,244,302,357,116,645,682,676,627,15
2017-08-24,365,0,435,445,127,153,213,258,373
2017-08-24,233,177,122,180,535,769,141,231,39
2017-08-24,352,604,0,508,0,721,474,400,504
2017-08-24,96,435,240,1166,471,105,333,1021,657
2017-08-24,509,444,594,705,282,414,419,47,226
2017-08-24,824,53,401,282,758,311,1360,118,435
2017-08-24,223,0,396,557,471,591,125,466,644
2017-08-24,311,346,371,703,26,427,351,375,387
2017-08-24,381,323,35,449,468,197,590,671,478
2017-08-24,879,839,608,637,179,119,853,478,399
2017-08-24,141,917,693,367,288,765,633,165,31
2017-08-25,522,400,318,364,393,666,232,245,365
2017-08-25,289,782,234,137,182,272,275,388,457
2017-08-25,145,0,542,503,556,604,360,733,417
2017-08-25,480,446,267,577,0,30,341,732,791
2017-08-25,681,621,8,314,631,621,456,756,342
2017-08-25,644,758,405,0,376,0,613,782,405
2017-08-25,589,224,760,315,599,372,178,467,0
2017-08-25,463,319,612,455,722,473,423,208,149
2017-08-25,222,574,415,486,0,330,216,273,166
2017-08-25,512,555,561,81,548,175,342,326,702
