"date","B","C","E","F","G","H","I","K","L","N","O"
2017-09-01,256,283,747,438,198,326,308,357,690,0,112
2017-09-01,393,764,605,549,162,331,133,8,618,603,392
2017-09-01,453,544,239,261,349,267,184,529,714,313,380
2017-09-01,434,803,728,602,423,283,692,618,515,699,596
2017-09-01,505,39,182,192,457,445,47,232,388,430,333
2017-09-01,0,495,643,292,761,581,638,280,274,239,195
2017-09-01,221,690,448,512,564,485,889,965,695,569,117
2017-09-01,578,726,560,672,456,425,359,866,270,304,137
2017-09-01,1052,621,688,624,498,795,144,1078,500,786,523
2017-09-01,488,704,403,484,1132,471,660,48,957,693,828
2017-09-01,348,533,420,816,520,324,833,371,215,668,346
2017-09-01,202,312,811,447,0,0,808,417,631,695,918
2017-09-01,519,540,393,548,507,638,226,1208,654,237,414
2017-09-01,629,0,457,833,652,247,140,629,208,187,613
2017-09-01,345,582,816,863,805,537,910,658,732,538,824
2017-09-01,605,447,419,680,212,568,824,479,166,984,852
2017-09-01,362,0,702,715,21,130,266,255,312,452,636
2017-09-02,662,618,97,626,420,731,316,616,559,0,500
2017-09-02,547,580,432,271,301,670,310,1000,462,580,587
2017-09-02,947,387,527,91,129,504,1174,349,473,479,310
2017-09-02,508,243,96,428,63,422,82,653,616,377,482
2017-09-02,333,544,489,913,571,603,274,571,382,749,818
2017-09-02,661,430,232,728,407,510,893,288,570,499,148
2017-09-02,850,418,207,586,554,565,1040,466,321,885,244
2017-09-02,876,845,619,294,569,808,516,521,609,612,201
2017-09-02,621,438,223,693,484,376,451,298,881,272,654
2017-09-02,427,882,707,550,405,323,201,382,417,813,577
2017-09-02,601,480,554,481,494,600,331,49,418,728,257
2017-09-02,253,264,611,544,320,779,663,369,551,799,267
2017-09-02,87,392,360,816,171,205,845,238,520,786,434
2017-09-02,596,382,850,401,112,274,357,262,507,120,596
2017-09-02,202,640,297,324,798,717,761,773,625,421,274
2017-09-02,610,0,503,558,513,589,294,198,510,480,247
2017-09-02,524,627,423,534,235,705,397,817,385,465,250
2017-09-02,102,435,601,789,2,445,535,212,76,171,281
2017-09-02,250,495,905,655,858,597,403,530,818,268,645
2017-09-02,651,75,510,620,647,665,648,431,435,335,741
2017-09-02,632,588,346,697,710,469,504,411,434,1018,612
2017-09-02,407,712,508,635,906,386,792,898,528,472,497
2017-09-02,659,204,1005,698,585,25,51,507,430,389,718
2017-09-02,654,522,697,860,44,909,580,763,429,0,212
2017-09-02,734,479,730,73,464,591,303,116,730,206,230
2017-09-02,576,930,919,428,670,444,611,319,562,217,487
2017-09-02,602,570,762,724,676,634,268,799,1140,0,320
2017-09-02,614,750,592,369,227,576,713,413,702,336,798
2017-09-02,322,680,379,551,738,442,282,0,519,302,304
2017-09-02,771,114,579,614,597,154,48,769,621,785,303
2017-09-03,535,0,126,727,328,523,584,659,397,402,852
2017-09-03,544,892,814,0,433,320,72,662,728,220,377
2017-09-03,837,602,154,190,650,853,655,385,902,1010,494
2017-09-03,253,310,581,495,706,743,592,279,804,598,396
2017-09-03,642,537,504,547,373,355,766,492,847,938,530
2017-09-03,414,517,737,703,411,164,0,876,576,251,432
2017-09-03,523,441,500,319,448,481,395,327,235,658,431
2017-09-03,756,420,484,755,495,517,602,570,562,869,368
2017-09-03,322,631,530,467,542,384,744,670,622,455,729
2017-09-03,754,837,494,402,79,1049,450,440,704,507,254
2017-09-03,354,363,413,337,859,410,1031,815,540,56,111
2017-09-03,832,733,827,578,668,385,333,521,817,501,495
2017-09-03,644,460,305,186,883,266,1148,501,842,781,470
2017-09-03,601,875,360,679,348,197,659,530,566,260,797
2017-09-03,830,654,561,510,460,443,280,242,508,172,12
2017-09-03,394,709,870,359,626,783,613,810,610,326,285
2017-09-03,633,256,93,456,261,845,433,785,774,205,400
2017-09-03,509,359,565,0,549,885,358,493,263,346,485
2017-09-04,521,261,403,239,689,653,602,1064,937,281,182
2017-09-04,555,284,602,397,318,68,733,482,549,849,446
2017-09-04,321,319,14,58,818,1150,501,751,251,463,648
2017-09-04,24,282,539,705,0,624,333,392,776,699,606
2017-09-04,700,505,341,641,721,350,506,766,0,596,611
2017-09-04,261,561,595,801,304,712,375,443,535,703,472
2017-09-04,584,865,619,627,605,655,340,702,468,582,432
2017-09-04,688,1025,136,328,421,243,690,497,345,788,647
2017-09-04,0,412,585,811,978,547,629,158,782,564,96
2017-09-05,392,587,258,852,664,705,146,480,995,691,847
2017-09-05,1150,657,328,706,538,628,751,436,611,1097,280
2017-09-05,997,406,0,747,925,420,555,868,789,726,0
2017-09-05,409,748,233,84,331,685,158,141,660,591,441
2017-09-05,118,240,578,46,552,338,414,661,469,320,924
2017-09-05,628,617,712,235,562,500,435,447,546,533,611
2017-09-05,701,453,523,480,784,354,569,712,748,311,588
2017-09-05,210,787,0,525,510,233,963,545,649,311,769
2017-09-05,253,666,222,857,591,714,628,698,10,645,699
2017-09-05,213,737,257,484,340,566,319,492,453,392,406
2017-09-05,1063,364,668,405,152,388,491,762,131,1241,625
2017-09-05,883,863,531,519,842,607,342,414,386,728,798
2017-09-05,314,165,714,441,474,481,696,527,464,422,335
2017-09-05,1027,412,565,799,722,1197,594,374,731,315,241
2017-09-05,811,961,126,620,628,465,475,465,509,654,805
2017-09-05,328,235,328,12,715,886,715,556,242,302,479
2017-09-05,373,218,122,772,831,160,599,538,320,764,96
2017-09-05,124,399,604,785,592,487,561,353,924,411,345
2017-09-05,142,285,645,245,347,653,391,406,847,242,290
2017-09-05,339,984,485,888,590,633,474,419,566,560,396
2017-09-06,1,743,528,0,701,1129,740,646,192,567,795
2017-09-06,165,891,388,322,391,978,314,562,813,891,327
2017-09-06,0,424,351,678,584,576,305,376,615,200,642
2017-09-06,808,152,783,904,0,710,587,164,295,335,624
2017-09-06,316,0,422,296,679,436,581,777,489,391,518
2017-09-06,137,343,495,634,330,760,451,635,380,568,1134
2017-09-06,969,388,708,518,711,826,631,352,678,324,124
2017-09-06,194,822,925,348,680,552,257,811,437,310,164
2017-09-06,749,633,362,452,591,490,183,662,342,525,352
2017-09-06,550,198,651,519,365,630,627,444,299,300,362
2017-09-06,310,380,433,565,414,406,106,0,572,718,395
2017-09-06,300,616,293,778,315,0,441,427,379,595,220
2017-09-06,146,629,1046,48,407,364,1019,695,526,755,691
2017-09-06,328,29,451,323,880,363,1192,523,690,414,324
2017-09-06,909,696,509,968,316,844,521,523,370,728,732
2017-09-06,661,831,512,383,234,33,551,315,96,634,471
2017-09-07,596,742,615,1057,390,336,456,658,452,471,383
2017-09-07,621,772,216,941,120,443,91,446,577,153,694
2017-09-07,593,837,418,407,402,542,164,323,684,364,818
2017-09-07,957,513,394,366,144,330,766,710,577,754,618
2017-09-07,70,307,530,122,809,534,330,281,317,410,153
2017-09-07,164,144,109,829,265,438,664,597,656,588,639
2017-09-07,720,189,661,414,740,314,230,778,311,874,536
2017-09-07,694,558,611,274,635,484,685,440,598,595,913
2017-09-07,729,634,718,590,829,979,575,235,650,409,740
2017-09-07,284,631,491,414,747,560,220,510,508,500,680
2017-09-07,502,549,966,439,290,349,210,858,163,812,225
2017-09-07,211,863,545,570,414,229,564,429,288,151,480
2017-09-07,289,380,609,436,904,425,972,705,836,499,639
2017-09-07,514,194,357,800,699,531,907,668,511,643,579
2017-09-07,461,1009,775,372,450,765,86,744,221,402,389
2017-09-07,1114,1099,471,987,3,503,800,71,665,435,480
2017-09-07,174,729,803,15,788,560,591,265,571,899,747
2017-09-08,391,274,338,667,343,557,673,468,485,291,376
2017-09-08,903,406,632,646,627,428,263,87,562,576,233
2017-09-08,317,441,453,442,557,701,320,617,817,284,947
2017-09-08,475,482,436,326,103,540,519,492,474,796,683
2017-09-08,547,148,647,644,251,272,505,515,1045,248,380
2017-09-08,975,130,804,160,488,191,39,383,458,458,255
2017-09-08,446,931,828,418,546,136,614,729,730,143,245
2017-09-08,362,238,338,390,339,924,1045,602,547,666,533
2017-09-08,686,539,756,360,359,426,732,745,267,658,342
2017-09-08,436,438,303,844,267,727,605,543,384,391,712
2017-09-08,424,359,344,270,724,1097,631,372,313,629,0
2017-09-08,564,473,310,536,313,334,708,419,1029,645,12
2017-09-08,0,618,618,511,103,99,486,711,970,484,686
2017-09-08,90,172,299,594,503,269,795,972,613,354,351
2017-09-08,590,524,324,784,1136,307,97,510,378,209,621
2017-09-08,557,196,342,525,577,540,304,298,328,309,505
2017-09-09,172,769,729,0,641,240,305,770,446,0,579
2017-09-09,587,106,528,150,979,569,718,95,526,0,717
2017-09-09,761,546,835,463,1140,291,307,822,175,992,869
2017-09-09,0,0,385,373,451,886,598,514,128,435,975
2017-09-09,689,551,1231,754,53,693,836,408,214,649,263
2017-09-09,648,580,314,720,76,463,510,933,104,249,736
2017-09-09,661,858,811,432,407,335,291,219,551,655,514
2017-09-09,705,727,647,515,721,761,0,598,511,630,598
2017-09-09,594,585,515,403,407,244,573,872,635,559,527
2017-09-09,0,759,461,516,518,302,431,578,365,40,0
2017-09-09,923,156,425,1157,123,158,238,413,44,537,782
2017-09-09,433,348,566,478,616,562,460,509,562,561,557
2017-09-10,444,829,179,577,467,685,397,800,467,16,205
2017-09-10,736,724,749,386,698,220,311,1278,520,505,453
2017-09-10,442,167,596,555,403,735,0,590,622,692,469
2017-09-10,491,729,882,353,393,0,623,446,327,559,805
2017-09-10,815,287,557,725,587,255,697,318,613,349,695
2017-09-10,607,490,738,734,372,598,573,767,375,30,630
2017-09-10,444,397,263,746,584,612,461,257,261,421,568
2017-09-10,581,496,812,435,0,467,500,940,72,169,287
2017-09-10,409,0,300,1046,433,418,359,205,490,0,615
2017-09-10,627,600,488,451,787,444,728,866,670,267,769
2017-09-10,288,350,587,130,585,726,761,0,598,369,208
2017-09-10,275,521,305,399,54,515,13,191,540,346,560
2017-09-10,130,659,352,835,508,258,358,383,0,314,410
2017-09-10,596,844,157,431,743,343,249,512,107,106,416
2017-09-10,429,257,110,359,285,483,440,470,899,274,399
2017-09-10,110,750,571,646,599,308,466,443,387,213,200
2017-09-10,353,353,598,402,335,333,235,330,631,819,755
2017-09-10,912,210,94,423,443,588,171,652,418,493,1085
2017-09-10,898,682,0,0,842,176,694,526,488,658,660
2017-09-10,639,221,348,0,634,290,760,337,575,658,526
2017-09-10,581,495,327,781,314,387,125,343,624,703,368
2017-09-10,843,511,721,331,873,408,302,546,484,129,74
2017-09-10,187,636,252,0,374,995,732,983,532,563,539
2017-09-10,531,604,456,728,558,588,583,356,725,797,349
2017-09-10,0,710,631,476,508,703,1013,396,204,679,426
2017-09-11,589,577,487,142,418,702,533,239,324,640,636
2017-09-11,817,326,267,375,18,629,692,894,340,696,698
2017-09-11,820,420,309,339,677,902,195,591,578,579,574
2017-09-11,563,309,398,230,1045,729,186,714,504,643,434
2017-09-11,1147,694,570,263,209,597,614,325,518,764,1168
2017-09-11,0,524,583,43,441,19,471,1028,447,763,144
2017-09-11,589,136,623,819,736,347,658,498,374,720,206
2017-09-11,299,562,698,605,633,314,268,495,639,418,456
2017-09-11,625,293,274,241,859,394,316,669,570,750,491
2017-09-11,612,438,351,896,578,538,436,813,456,380,291
2017-09-11,285,454,0,591,787,849,102,254,370,223,459
2017-09-11,780,373,602,707,524,882,312,711,57,676,480
2017-09-11,420,0,669,355,437,407,587,596,583,469,581
2017-09-11,550,216,340,456,457,403,202,642,738,990,1136
2017-09-12,235,818,864,1156,1032,870,671,634,388,775,548
2017-09-12,741,403,404,469,616,382,393,472,473,448,166
2017-09-12,0,295,843,698,512,65,393,192,0,572,961
2017-09-12,586,554,595,651,592,487,590,367,900,665,445
2017-09-12,549,380,402,275,422,175,5,782,434,593,221
2017-09-12,473,764,914,340,588,316,131,295,621,355,299
2017-09-12,566,397,485,433,1016,245,605,442,600,554,0
2017-09-12,903,854,758,501,202,325,362,352,348,419,668
2017-09-12,520,615,661,387,462,568,458,492,784,560,788
2017-09-12,708,362,476,443,955,714,709,352,357,254,348
2017-09-12,658,186,538,724,323,585,758,232,586,177,118
2017-09-12,559,374,553,545,147,402,560,1113,733,617,562
2017-09-12,307,967,661,522,888,623,514,685,328,687,105
2017-09-12,220,869,325,658,246,516,463,483,437,749,819
2017-09-12,620,418,720,441,605,0,560,554,296,40,589
2017-09-12,747,558,719,1000,540,503,356,423,486,515,399
2017-09-12,159,218,535,588,452,472,661,762,136,593,804
2017-09-13,1064,367,126,560,374,583,479,233,507,684,630
2017-09-13,238,448,595,543,639,875,498,587,605,710,342
2017-09-13,123,119,182,210,387,418,1038,0,730,473,667
2017-09-13,523,698,1149,201,976,726,941,442,194,0,969
2017-09-13,826,813,748,187,586,522,397,379,982,686,145
2017-09-13,522,101,603,393,801,658,414,680,225,421,180
2017-09-13,105,841,761,455,315,427,330,268,326,480,408
2017-09-13,721,703,666,519,613,777,783,710,753,258,698
2017-09-13,918,310,777,254,401,502,523,681,735,681,644
2017-09-13,726,417,579,510,371,794,413,662,39,630,689
2017-09-13,755,1030,0,353,2,133,610,671,408,723,546
2017-09-13,88,1043,531,612,557,841,831,127,778,237,145
2017-09-13,663,587,350,611,565,321,289,579,765,235,355
2017-09-14,448,580,397,363,422,284,239,697,990,765,599
2017-09-14,503,644,637,371,102,746,582,938,822,494,553
2017-09-14,90,435,756,916,0,0,200,250,790,589,261
2017-09-14,458,554,639,198,225,479,143,104,0,558,955
2017-09-14,450,528,669,335,524,478,51,312,240,384,56
2017-09-14,537,658,936,441,446,384,437,585,190,548,637
2017-09-14,577,449,758,711,1100,574,261,612,504,642,846
2017-09-14,609,305,494,1016,660,660,577,415,1122,54,669
2017-09-14,748,508,84,377,499,448,697,545,803,359,475
2017-09-14,692,394,554,958,579,454,329,700,702,368,598
2017-09-14,548,455,875,568,576,575,444,868,533,248,400
2017-09-14,233,376,892,331,429,559,518,611,944,282,768
2017-09-14,668,986,553,377,295,383,732,157,216,319,492
2017-09-14,640,846,319,617,965,428,689,751,565,468,559
2017-09-14,754,663,469,547,741,500,404,504,391,440,628
2017-09-14,418,864,593,667,473,458,544,195,388,586,335
2017-09-14,562,242,572,662,500,716,455,607,477,646,518
2017-09-15,517,505,673,608,53,338,582,549,506,391,628
2017-09-15,82,784,365,516,452,433,636,389,471,580,596
2017-09-15,353,440,449,433,381,0,678,396,450,724,1022
2017-09-15,344,918,368,427,297,137,669,836,643,241,449
2017-09-15,173,761,591,520,385,444,393,148,758,616,819
2017-09-15,550,131,708,468,201,392,1001,342,223,702,638
2017-09-15,585,396,281,601,503,141,256,716,405,0,514
2017-09-15,522,115,397,206,1096,549,599,441,352,480,558
2017-09-15,450,777,413,220,416,759,433,196,789,581,643
2017-09-15,608,340,578,234,566,434,763,420,355,873,972
2017-09-15,354,765,401,1003,386,694,619,419,0,422,397
2017-09-15,263,536,227,704,817,810,656,325,535,682,817
2017-09-15,577,421,221,441,476,349,406,111,393,149,601
2017-09-15,355,374,449,495,434,213,541,832,0,328,123
2017-09-15,823,423,537,199,51,606,947,491,1055,544,655
2017-09-15,142,731,328,805,527,735,597,804,303,418,495
2017-09-15,471,744,192,145,280,338,415,582,165,236,382
2017-09-15,679,788,292,400,404,713,748,524,1012,931,345
2017-09-16,629,565,492,227,221,325,708,407,381,762,592
2017-09-16,769,689,392,328,267,792,478,415,637,398,672
2017-09-16,52,371,605,939,250,423,571,801,346,733,839
2017-09-16,458,749,517,370,434,369,527,543,348,737,590
2017-09-16,0,437,438,321,175,671,129,638,426,463,599
2017-09-16,722,471,507,302,570,444,472,805,334,838,722
2017-09-16,76,383,561,510,727,614,640,948,87,494,849
2017-09-16,601,323,709,272,43,143,607,0,402,777,2
2017-09-16,808,1004,454,928,438,850,534,146,777,654,0
2017-09-16,848,246,711,551,739,392,214,374,656,603,0
2017-09-16,358,361,598,204,359,126,513,0,278,560,394
2017-09-16,462,498,431,797,569,0,347,66,328,235,303
2017-09-16,509,480,666,779,322,775,122,715,531,532,0
2017-09-16,340,881,340,631,137,482,410,381,547,687,715
2017-09-16,443,303,456,582,938,570,817,409,311,446,165
2017-09-17,363,184,600,287,781,304,387,374,900,803,625
2017-09-17,101,433,620,112,619,504,556,610,256,360,272
2017-09-17,549,779,550,418,657,587,773,7,265,1072,486
2017-09-17,717,429,616,526,353,352,447,527,729,467,212
2017-09-17,469,485,527,443,134,772,142,696,551,526,166
2017-09-17,119,620,528,206,847,609,906,222,870,501,711
2017-09-17,381,459,702,449,639,921,709,333,656,527,416
2017-09-17,984,786,1069,311,278,929,601,760,488,466,276
2017-09-17,432,453,77,336,346,548,698,448,449,633,767
2017-09-18,550,153,316,660,435,618,357,508,102,719,254
2017-09-18,513,327,840,466,359,405,516,622,241,657,393
2017-09-18,173,36,171,854,471,592,656,488,832,1240,652
2017-09-18,290,514,472,469,625,1114,457,490,355,441,466
2017-09-18,500,807,302,566,299,463,437,378,705,625,777
2017-09-18,941,438,643,0,328,605,348,917,650,604,564
2017-09-18,402,574,336,459,438,358,573,663,794,570,727
2017-09-18,849,623,413,357,191,1039,161,470,491,1008,316
2017-09-18,491,902,512,269,327,686,581,792,888,380,206
2017-09-18,302,155,546,431,781,658,468,242,699,103,824
2017-09-18,533,27,1015,1233,430,764,524,946,642,653,480
2017-09-18,300,630,93,0,0,225,124,465,707,481,481
2017-09-18,803,626,908,609,514,482,471,361,625,513,922
2017-09-18,299,377,408,442,311,192,731,846,329,649,376
2017-09-19,458,261,518,394,427,631,630,745,122,576,750
