"date","E"
2017-10-01,65
2017-10-01,369
2017-10-01,448
2017-10-01,580
2017-10-01,789
2017-10-01,140
2017-10-01,564
2017-10-01,669
2017-10-02,0
2017-10-02,487
2017-10-02,55
2017-10-02,187
2017-10-02,581
2017-10-02,251
2017-10-03,302
2017-10-03,153
2017-10-03,275
2017-10-03,302
2017-10-03,259
2017-10-03,0
2017-10-03,862
2017-10-03,161
2017-10-03,85
2017-10-03,23
2017-10-03,591
2017-10-03,703
2017-10-03,940
2017-10-03,733
2017-10-03,504
2017-10-03,402
2017-10-04,568
2017-10-04,158
2017-10-04,392
2017-10-04,134
2017-10-04,584
2017-10-04,259
2017-10-04,315
2017-10-04,1065
2017-10-04,80
2017-10-04,299
2017-10-04,92
2017-10-05,223
2017-10-05,183
2017-10-05,502
2017-10-05,0
2017-10-05,555
2017-10-05,286
2017-10-05,86
2017-10-05,608
2017-10-05,13
2017-10-05,380
2017-10-05,393
2017-10-05,545
2017-10-05,700
2017-10-05,731
2017-10-05,228
2017-10-05,361
2017-10-05,476
2017-10-05,553
2017-10-06,480
2017-10-06,454
2017-10-06,0
2017-10-06,587
2017-10-06,43
2017-10-06,817
2017-10-06,266
2017-10-06,82
2017-10-06,548
2017-10-06,343
2017-10-06,630
2017-10-06,625
2017-10-07,181
2017-10-07,730
2017-10-07,113
2017-10-07,14
2017-10-07,498
2017-10-07,541
2017-10-07,599
2017-10-07,302
2017-10-07,299
2017-10-08,325
2017-10-08,163
2017-10-08,523
2017-10-08,270
2017-10-08,713
2017-10-08,985
2017-10-08,466
2017-10-08,520
2017-10-09,419
2017-10-09,406
2017-10-09,604
2017-10-09,1103
2017-10-09,0
2017-10-09,339
2017-10-09,154
2017-10-09,207
2017-10-10,534
2017-10-10,547
2017-10-10,106
2017-10-10,144
2017-10-10,664
2017-10-10,0
2017-10-10,600
2017-10-10,919
2017-10-11,0
2017-10-11,731
2017-10-11,337
2017-10-11,448
2017-10-11,387
2017-10-11,868
2017-10-11,0
2017-10-11,249
2017-10-11,247
2017-10-11,398
2017-10-11,832
2017-10-11,76
2017-10-11,341
2017-10-12,314
2017-10-12,451
2017-10-12,260
2017-10-12,66
2017-10-12,479
2017-10-12,1095
2017-10-12,135
2017-10-12,515
2017-10-12,806
2017-10-12,304
2017-10-12,428
2017-10-12,311
2017-10-12,146
2017-10-12,736
2017-10-12,572
2017-10-12,0
2017-10-12,20
2017-10-13,258
2017-10-13,0
2017-10-13,156
2017-10-13,171
2017-10-13,248
2017-10-13,246
2017-10-13,727
2017-10-14,232
2017-10-14,464
2017-10-14,295
2017-10-14,0
2017-10-14,325
2017-10-14,398
2017-10-14,532
2017-10-14,340
2017-10-14,282
2017-10-14,0
2017-10-14,488
2017-10-14,303
2017-10-14,589
