"date","A","B","C","F","G","I","J","K","L","M","N","O"
2017-11-01,249,282,132,411,68,199,0,67,0,724,87,0
2017-11-01,793,252,297,404,149,128,120,153,559,311,0,0
2017-11-01,187,356,441,430,235,132,0,472,278,317,575,232
2017-11-01,2,83,420,380,148,181,78,0,191,107,494,278
2017-11-01,584,28,334,480,229,0,616,322,376,564,438,555
2017-11-01,172,306,655,0,141,1145,32,323,663,698,176,303
2017-11-01,577,370,348,282,289,741,233,375,8,241,335,0
2017-11-02,219,233,0,601,12,540,400,297,265,562,10,507
2017-11-02,242,785,366,810,467,0,216,774,293,400,570,104
2017-11-02,163,138,48,389,329,0,279,1025,312,0,0,252
2017-11-02,81,67,291,155,113,0,0,302,586,497,440,219
2017-11-02,177,214,0,585,243,43,191,395,405,0,27,139
2017-11-02,165,2,370,274,286,277,233,209,199,280,0,656
2017-11-02,0,448,152,109,0,485,1003,127,83,15,644,304
2017-11-02,193,26,167,238,495,169,268,234,400,416,0,316
2017-11-02,565,571,364,552,242,156,602,102,741,0,0,172
2017-11-03,98,60,490,418,108,549,416,503,219,552,332,657
2017-11-03,455,0,32,673,0,0,240,350,0,131,583,26
2017-11-03,0,390,81,363,376,265,640,442,734,213,415,25
2017-11-03,132,270,652,55,570,506,290,361,324,496,0,14
2017-11-03,0,0,514,354,145,606,0,452,380,0,0,313
2017-11-03,368,289,52,308,506,206,376,496,20,130,433,98
2017-11-03,423,24,264,870,190,192,378,437,362,566,168,831
2017-11-03,70,300,278,436,928,16,359,303,926,247,228,300
2017-11-03,0,257,278,829,0,71,15,595,245,503,505,129
2017-11-03,52,340,583,121,292,169,301,12,0,694,171,487
2017-11-03,106,0,0,255,638,191,593,0,0,46,0,104
2017-11-04,314,0,135,827,132,25,287,219,143,305,552,0
2017-11-04,280,648,675,242,488,0,106,452,0,265,227,0
2017-11-04,276,261,0,0,0,582,230,191,542,460,435,151
2017-11-04,786,784,524,0,443,0,315,226,116,474,373,0
2017-11-04,313,283,371,110,0,244,50,289,462,602,431,353
2017-11-04,181,84,367,547,99,334,600,608,0,299,800,355
2017-11-04,151,149,512,406,5,274,320,331,596,301,207,507
2017-11-04,125,27,24,416,0,305,130,133,602,198,182,162
2017-11-04,415,0,579,459,117,462,264,0,304,34,436,190
2017-11-04,432,145,728,29,8,554,5,481,26,266,42,66
2017-11-04,253,22,350,333,68,692,76,302,144,296,0,0
2017-11-04,48,86,0,0,400,377,666,18,39,113,502,191
2017-11-04,437,0,405,483,0,581,481,574,334,523,533,230
2017-11-05,754,222,382,194,361,675,94,212,0,0,351,212
2017-11-05,84,100,315,140,0,546,132,889,254,367,0,200
2017-11-05,151,364,206,204,393,263,0,88,316,412,185,326
2017-11-05,381,742,150,312,252,394,415,300,407,0,195,421
2017-11-05,213,119,197,188,431,324,356,118,336,67,265,0
2017-11-05,298,808,303,616,314,250,664,158,176,0,10,555
2017-11-05,0,455,595,528,247,246,198,270,116,606,767,234
2017-11-06,485,0,242,473,548,544,0,209,405,138,0,134
2017-11-06,86,258,345,614,0,840,0,196,151,543,488,237
