"date","C","E","G","J","M","O"
2017-12-01,21,0,61,260,460,0
2017-12-01,708,392,0,327,637,396
2017-12-01,217,242,250,358,823,491
2017-12-01,200,0,104,0,751,473
2017-12-01,0,0,197,653,0,18
2017-12-01,427,141,129,176,769,88
2017-12-01,298,92,47,207,0,0
2017-12-02,294,286,292,415,204,0
2017-12-02,229,543,375,0,468,0
2017-12-02,379,98,271,422,0,346
2017-12-02,619,0,434,309,383,163
2017-12-02,196,505,577,174,107,0
2017-12-02,610,398,391,227,208,287
2017-12-02,80,74,0,0,114,0
2017-12-03,86,507,410,89,485,137
2017-12-03,607,555,287,180,0,438
2017-12-03,439,171,227,533,273,342
2017-12-03,23,0,51,521,0,21
2017-12-03,301,140,0,0,191,628
2017-12-03,529,53,364,0,659,599
2017-12-03,0,369,126,154,443,99
2017-12-04,507,237,279,342,510,18
2017-12-04,0,0,521,105,258,374
2017-12-04,346,359,0,68,183,180
2017-12-04,244,809,67,270,503,0
2017-12-04,273,0,123,0,181,454
2017-12-04,50,575,286,18,261,250
2017-12-04,343,211,79,275,410,403
2017-12-04,0,63,126,0,68,531
2017-12-04,301,335,127,38,795,433
2017-12-05,844,408,64,108,496,463
2017-12-05,378,0,567,502,103,160
2017-12-05,177,79,379,298,771,641
2017-12-05,8,224,0,345,21,0
2017-12-05,514,0,0,140,533,281
2017-12-05,337,327,0,29,232,0
2017-12-06,400,238,0,441,95,382
2017-12-06,24,55,666,0,98,245
2017-12-06,461,0,516,0,325,104
2017-12-06,0,169,0,814,547,133
2017-12-06,600,408,95,451,283,485
2017-12-06,220,0,365,32,52,110
2017-12-07,189,165,0,415,330,218
2017-12-07,355,213,298,143,284,309
2017-12-07,0,234,517,222,21,0
2017-12-07,0,307,0,165,0,0
2017-12-07,95,241,247,567,141,78
2017-12-07,296,135,208,170,297,446
2017-12-08,357,413,469,396,361,173
2017-12-08,200,185,46,536,551,484
2017-12-08,157,303,75,32,417,0
2017-12-09,86,313,225,131,306,569
2017-12-09,429,45,0,692,402,98
2017-12-09,330,79,294,326,177,143
2017-12-09,195,180,0,339,373,106
2017-12-09,483,440,31,491,668,0
2017-12-09,421,415,60,117,194,321
2017-12-09,66,0,354,0,428,26
2017-12-09,302,23,149,72,133,128
2017-12-09,447,0,124,417,480,0
2017-12-09,281,137,69,88,776,272
2017-12-09,46,268,300,393,920,150
2017-12-10,50,19,74,60,91,558
2017-12-10,534,563,0,117,688,298
2017-12-10,310,91,0,595,192,395
2017-12-10,0,202,0,2,704,364
2017-12-10,0,337,657,289,416,222
2017-12-10,0,426,0,51,94,660
2017-12-10,216,236,0,359,0,12
2017-12-10,483,75,131,221,220,103
2017-12-10,576,233,134,0,813,52
2017-12-10,541,0,0,239,92,283
2017-12-10,371,90,631,0,0,244
2017-12-10,508,247,509,36,421,416
2017-12-11,105,139,128,187,164,741
2017-12-11,305,462,890,0,0,259
2017-12-11,253,157,356,129,36,349
2017-12-11,64,441,0,201,189,195
2017-12-12,112,758,418,450,216,169
2017-12-12,396,332,511,275,776,27
2017-12-12,797,445,643,126,0,104
2017-12-12,193,234,369,0,0,44
2017-12-12,0,301,81,285,573,196
2017-12-13,671,72,167,391,0,55
2017-12-13,535,200,79,215,93,288
2017-12-13,0,0,100,51,0,634
2017-12-13,392,0,276,446,95,598
2017-12-13,384,479,386,233,938,0
2017-12-13,267,224,145,320,332,353
2017-12-13,0,0,131,103,597,361
2017-12-13,501,103,333,228,222,525
2017-12-13,69,84,313,360,242,21
2017-12-13,52,7,72,0,219,105
2017-12-13,0,0,0,229,514,312
2017-12-13,643,115,341,0,272,371
2017-12-13,0,197,321,21,474,0
2017-12-14,0,0,169,0,323,485
2017-12-14,93,0,560,256,486,286
2017-12-14,158,319,619,405,499,448
2017-12-15,200,252,187,541,234,372
2017-12-15,127,556,298,0,191,478
2017-12-15,300,267,196,16,304,116
2017-12-15,204,0,127,124,92,0
2017-12-15,145,306,283,232,541,0
2017-12-15,403,588,516,88,34,0
2017-12-15,500,0,356,81,286,66
2017-12-15,530,0,0,609,153,0
2017-12-15,0,261,168,479,570,707
2017-12-16,200,663,0,547,267,182
2017-12-16,0,290,11,23,196,257
2017-12-16,0,187,85,0,303,410
2017-12-16,456,536,368,344,707,551
2017-12-16,585,0,697,291,160,182
2017-12-16,0,0,61,579,286,436
2017-12-16,798,17,0,233,0,207
2017-12-17,56,160,887,832,0,373
2017-12-17,140,0,100,0,325,277
2017-12-17,560,404,6,280,395,466
2017-12-17,369,379,60,221,543,582
2017-12-17,505,168,310,100,200,0
2017-12-17,0,448,0,185,124,522
2017-12-17,488,0,536,626,253,427
2017-12-17,164,151,31,271,627,159
2017-12-18,0,23,0,400,0,0
2017-12-18,105,0,378,260,429,0
2017-12-18,506,705,0,394,154,25
2017-12-18,0,378,0,591,0,201
2017-12-18,273,12,0,119,190,0
2017-12-18,57,0,0,514,453,50
2017-12-18,142,154,65,277,498,19
2017-12-19,642,441,307,488,11,4
2017-12-19,418,267,0,0,0,5
2017-12-19,0,0,0,487,163,141
2017-12-19,0,500,570,124,505,453
2017-12-19,0,0,190,34,365,640
2017-12-19,27,231,131,209,220,264
2017-12-19,61,309,273,190,0,466
2017-12-19,220,255,55,230,480,441
2017-12-19,136,0,274,61,0,0
2017-12-20,414,301,0,252,516,423
2017-12-20,86,481,128,263,205,0
2017-12-20,256,308,218,591,181,73
2017-12-20,329,506,132,110,15,597
2017-12-21,185,42,356,0,318,536
2017-12-21,131,310,392,142,642,351
2017-12-21,664,269,286,639,577,501
2017-12-21,273,210,204,200,276,0
2017-12-21,366,28,193,286,0,366
2017-12-21,0,144,62,402,709,482
2017-12-22,0,430,0,278,51,68
2017-12-22,556,255,276,606,350,423
2017-12-22,15,367,553,775,145,475
2017-12-22,0,400,392,356,403,31
2017-12-22,454,26,113,182,513,0
2017-12-22,0,314,277,267,155,471
2017-12-22,615,507,123,381,140,11
2017-12-22,136,0,408,27,177,179
2017-12-22,26,534,0,229,249,0
2017-12-22,0,403,136,0,371,440
2017-12-23,497,498,547,395,298,494
2017-12-23,315,264,242,236,619,456
2017-12-23,409,481,137,871,0,96
2017-12-23,0,166,136,121,174,19
2017-12-23,151,241,228,365,0,189
2017-12-23,673,288,100,21,159,0
2017-12-24,0,121,0,0,795,429
2017-12-24,70,405,184,496,302,322
2017-12-24,41,268,104,266,299,0
2017-12-24,349,116,126,0,523,123
2017-12-24,180,255,0,137,298,123
2017-12-24,211,450,453,239,655,79
2017-12-24,465,150,662,210,120,130
2017-12-24,316,554,188,627,315,0
2017-12-24,616,104,0,390,199,74
2017-12-25,558,0,261,134,306,509
2017-12-25,0,219,161,221,134,301
2017-12-25,426,28,0,921,0,280
2017-12-25,0,401,398,245,227,223
2017-12-25,525,341,394,626,26,132
2017-12-25,0,0,324,91,0,283
2017-12-25,25,425,0,151,249,566
2017-12-25,200,199,420,399,0,33
2017-12-25,511,536,248,87,5,226
2017-12-26,17,609,0,186,348,633
2017-12-26,186,0,60,17,344,597
2017-12-26,434,227,318,735,0,0
2017-12-26,373,424,34,371,189,436
2017-12-26,14,0,0,329,0,500
2017-12-27,398,522,0,186,29,0
2017-12-27,479,426,236,145,79,85
2017-12-27,363,364,16,0,402,108
2017-12-27,151,0,3,0,205,517
2017-12-27,659,506,501,107,677,0
2017-12-27,60,563,0,0,0,190
2017-12-27,87,0,432,476,835,0
2017-12-27,357,346,0,650,510,572
2017-12-28,251,222,238,571,812,394
2017-12-28,224,0,316,347,251,303
2017-12-28,200,483,409,346,61,0
2017-12-28,323,184,234,361,303,379
2017-12-28,0,0,245,376,451,0
2017-12-29,239,0,71,0,0,572
2017-12-29,449,270,0,100,240,207
2017-12-29,266,324,204,593,253,0
2017-12-30,681,268,608,518,109,392
2017-12-30,665,286,395,0,397,195
2017-12-30,465,613,225,0,229,220
2017-12-30,289,501,2,59,237,195
2017-12-30,233,196,340,337,0,61
2017-12-30,362,0,0,373,172,9
2017-12-30,0,0,631,196,256,109
2017-12-31,246,284,0,171,380,208
2017-12-31,218,0,133,46,359,494
2017-12-31,598,172,0,299,184,236
2017-12-31,354,350,694,415,217,460
2017-12-31,179,290,133,356,397,367
2017-12-31,400,414,277,587,619,490
2017-12-31,683,0,415,481,198,718
2017-12-31,120,67,364,48,0,0
2017-12-31,74,458,0,256,649,229
2017-12-31,237,385,540,149,90,21
