"sst","anc","day","month","year"
16.3,333,6,6,2005
17,310,8,3,2005
22.7,264,30,1,2005
17.8,608,26,1,2005
19.1,879,21,2,2005
22.7,746,4,2,2005
15.3,420,12,3,2005
23,921,7,2,2005
20.9,213,31,3,2005
22.9,739,30,4,2005
21.1,662,10,2,2005
19.5,51,3,6,2005
17.1,559,10,1,2005
17.4,546,27,5,2005
22,146,18,1,2005
24.2,529,7,4,2005
23.7,526,14,4,2005
16.9,435,5,5,2005
16.3,451,23,5,2005
19.1,757,15,4,2005
17.7,180,4,1,2005
20,880,12,2,2005
16.8,45,19,2,2005
24.2,157,24,5,2005
23.7,803,2,6,2005
24.8,576,29,6,2005
20.2,167,10,4,2005
17.8,151,13,6,2005
24.5,810,12,4,2005
20.6,155,11,6,2005
23.1,121,26,3,2005
22,945,14,6,2005
21.4,265,29,1,2005
18.7,48,13,5,2005
22.7,184,17,2,2005
17.5,273,25,6,2005
19,349,21,6,2005
16.5,615,26,5,2005
15.4,424,13,2,2005
24.9,196,24,1,2005
15.5,544,16,1,2005
23.1,541,21,3,2005
15.3,575,22,5,2005
20.2,481,16,2,2005
24.2,84,28,4,2005
19.1,778,22,3,2005
24.3,709,4,4,2005
17.9,659,8,1,2005
24.5,270,31,1,2005
17.8,360,15,1,2005
20.4,886,15,2,2005
21,721,3,2,2005
18.5,436,12,1,2005
20.4,693,6,3,2005
20.3,278,26,2,2005
21.9,134,9,6,2005
22.7,582,5,2,2005
21.4,229,10,6,2005
19.8,144,30,6,2005
19.1,756,24,2,2005
24.2,559,10,5,2005
17.8,64,23,1,2005
17.9,367,21,1,2005
24.5,796,19,5,2005
22.9,471,1,1,2005
16.7,302,8,5,2005
18.2,412,2,3,2005
22.9,849,10,3,2005
16.3,948,3,5,2005
16.6,412,4,6,2005
15.4,822,22,4,2005
24.8,276,16,6,2005
18.2,330,8,6,2005
20.8,436,24,4,2005
24.8,505,19,4,2005
20.2,512,27,4,2005
15,150,24,3,2005
15.2,486,2,4,2005
22.5,513,29,5,2005
18.5,891,25,3,2005
20.8,590,17,5,2005
15.3,666,3,4,2005
23.4,777,11,4,2005
21.1,293,11,3,2005
24,697,13,4,2005
18.1,239,1,4,2005
24.7,720,18,4,2005
18.5,348,6,1,2005
19.4,403,5,3,2005
22.4,437,28,6,2005
19.6,702,7,1,2005
25,763,9,3,2005
16.3,691,14,2,2005
18.1,699,1,2,2005
16.4,29,15,3,2005
24.9,853,8,2,2005
20.6,92,23,3,2005
19.3,587,30,5,2005
18.2,242,20,4,2005
21,20,9,5,2005
