"lon","lat","fecha","sst_c","depth_m"
-75.9646299291469,-17.8472620586744,"13/10/2015",23.636,4341
-80.6462479613956,-9.88293080286686,"06/05/2011",23.44,5289
-73.8558495514845,-18.3322970468596,"20/09/2014",22.378,4475
-80.4155858194998,-12.4506069108541,"08/12/2012",25.717,4551
-78.575622740438,-13.1278961201431,"11/04/2013",22.751,4927
-75.8618741926967,-19.1458548668251,"11/11/2010",23.46,4171
-76.7613311327389,-14.9740498839707,"29/11/2014",21.688,4125
-83.5598961626866,-7.8158142434744,"19/05/2015",25.483,4380
-80.4201652257947,-10.4785434315067,"06/08/2012",25.507,5136
-75.5281156083905,-16.7491353568573,"05/06/2010",22.465,3918
-83.4299210014683,-6.55861613813157,"09/10/2015",25.113,4109
-83.2252254789298,-7.22313195379564,"23/12/2014",25.564,4163
-82.3998935551425,-9.73265800192784,"26/10/2010",26.919,4709
-79.5340314022464,-10.6560088464277,"28/01/2010",25.69,3974
-74.648689547665,-18.682837282893,"07/07/2011",24.115,4401
-83.3678846516012,-7.53324793301549,"09/01/2014",25.276,4249
-74.3759171623242,-19.4664068968169,"23/10/2010",22.93,5035
-78.4067723932433,-18.1210279207378,"15/03/2015",23.005,3436
-78.9896379564489,-16.0222839627895,"21/03/2013",24.204,4303
-77.0132930641769,-16.5584610915971,"04/12/2014",23.886,3028
-82.6706778072611,-6.54417893541772,"29/11/2011",24.593,4150
-82.6251193628412,-8.75802142676226,"22/08/2015",25.434,4429
-75.8745707574419,-19.4187839133861,"27/07/2015",23.956,4967
-80.0871875160768,-10.325608762473,"03/09/2011",25.697,6107
-83.1328998905776,-7.58772836905736,"12/12/2011",25.447,4321
-75.7253079163079,-17.646482459824,"21/05/2011",23.991,4505
-77.3844855307188,-17.9545587654965,"05/01/2015",23.458,4214
-73.6231299028269,-18.278297747269,"21/08/2010",22.197,4691
-80.1010757083771,-16.2177799843693,"28/06/2012",23.528,4692
-78.5450953079049,-14.2989678420118,"05/09/2010",24.444,4316
-74.1793237067322,-18.0970517980136,"09/08/2012",22.659,5185
-78.19570945872,-18.0216090183728,"11/02/2011",23.178,2881
-77.1363461686902,-16.5777529805182,"15/06/2014",23.993,2722
-76.4576341015973,-16.311068507635,"14/01/2015",23.823,3421
-78.9764365161061,-12.0445974338752,"31/01/2011",25.494,6098
-73.158908590142,-19.2964449536283,"22/05/2013",23.795,4410
-76.2638767356957,-19.0657148088157,"03/01/2013",23.343,4608
-75.9628711615235,-18.3436965595428,"03/04/2012",23.868,4616
-81.3208757294223,-9.89328544010837,"25/08/2015",23.926,4645
-78.2618145490425,-15.7242222414482,"29/09/2013",23.78,3862
-82.5880119499449,-8.79162987967851,"16/09/2014",25.472,4435
-75.4303727672974,-19.1798611238472,"30/01/2015",23.914,4797
-74.0171099171671,-17.8642134177831,"08/08/2011",21.598,4490
-77.4664051261642,-14.596142442544,"01/04/2010",22.355,4208
-76.7921610468716,-19.1303861795971,"13/06/2014",23.425,4479
-77.8943617944155,-16.5968285981367,"28/02/2012",23.001,2974
-83.7424382919157,-9.3577799631048,"17/01/2013",26.92,4435
-81.9604419641469,-4.23251744600186,"10/06/2011",23.17,4433
-81.6018509742275,-9.24650175859347,"12/10/2012",25.433,4507
-74.7544930936051,-17.2474702109546,"04/07/2012",21.823,4700
-83.3564637330728,-8.34088264323499,"31/08/2013",26.249,4258
-76.2270942284045,-18.2223035553877,"25/04/2010",23.385,4507
-81.7174218337199,-7.3999045247277,"23/05/2011",22.96,4802
-73.7048031347667,-18.2882291319917,"03/09/2011",22.304,4787
-82.0489845987506,-6.59363409372996,"16/12/2011",22.072,4681
-81.7121091243591,-8.7545709982872,"13/05/2015",25.432,4923
-74.2489754032198,-16.8698006603641,"22/01/2014",20.938,6938
-73.7766678300897,-18.703314240698,"01/02/2011",22.549,4541
-83.0820766662794,-9.13391681742543,"08/10/2013",26.848,4356
-77.02511300331,-19.2921967689615,"28/03/2011",22.989,4486
-79.2491360064854,-12.1397382927239,"08/07/2013",25.387,5158
-81.945793027415,-12.6035087904128,"18/07/2010",25.614,4726
-71.1672326272371,-18.9978099426826,"21/10/2014",24.067,2469
-77.6103549065384,-16.0176406220111,"17/09/2013",23.244,2665
-74.8765548910604,-18.9080038388176,"26/06/2011",23.905,4749
-79.4801659249178,-10.9832990142953,"11/05/2013",25.954,5411
-78.0865957246754,-16.2578720352936,"12/09/2013",24.028,3175
-80.8289402420342,-6.98790785660125,"06/11/2011",18.871,186
-75.209253973224,-18.7620095631124,"19/09/2015",24.198,4662
-77.8623932887318,-16.8177665610798,"11/06/2015",23.459,2878
-83.030331117496,-8.05927828698212,"30/10/2013",25.15,4217
-72.3796164923262,-18.8570199911269,"05/10/2015",24.232,5071
-72.1657249022644,-19.8704332070602,"18/09/2015",24.308,3726
-74.5412311071847,-18.8616762482629,"27/04/2015",23.502,4720
-75.5327864319959,-18.4807144076378,"07/08/2013",24.283,4143
-80.7137204343519,-12.6136833189273,"03/10/2010",25.536,4667
-74.2510206326876,-18.573652190525,"07/11/2015",23.588,4378
-80.2410401320882,-12.586288983997,"19/06/2014",25.452,4525
-74.9866933226273,-18.775503416781,"04/12/2014",24.009,4506
-81.4987171695293,-11.6294639807603,"07/05/2013",25.248,4694
-75.8216407789844,-17.507568344015,"23/07/2011",23.972,4246
-74.6080620210889,-18.8827992687422,"23/05/2014",23.628,4631
-81.3279181086546,-7.94911726104588,"29/12/2012",22.43,5488
-82.1624989933697,-6.50617103496549,"13/05/2014",22.098,4647
-80.6099468373497,-14.3142157869109,"16/07/2013",24.734,4769
-76.0051801842096,-17.1784579860877,"01/02/2015",23.693,4000
-76.6425810176921,-18.0023683204988,"03/04/2010",23.078,4154
-82.8953525990103,-9.04722641302014,"24/01/2014",26.007,4278
-76.0822068241553,-18.3325921814729,"10/11/2013",23.919,4590
-77.4797548067588,-15.3060731406508,"01/02/2015",22.245,3349
-75.395742085816,-18.8823978266543,"02/06/2011",23.89,4298
-75.3086663030148,-19.2384746553797,"03/08/2015",23.848,4773
-76.9292957350348,-18.0251519778183,"18/01/2013",23.165,4220
-80.0857356558472,-12.0085884768523,"17/10/2012",25.654,4663
-73.9928397288382,-19.9695489666849,"08/04/2013",22.735,4751
-76.9357541274205,-16.8879250650569,"02/08/2010",23.184,3243
-79.1765601158497,-10.0455748248129,"17/03/2015",22.981,1054
-80.7986646388436,-10.2703512451355,"08/12/2015",24.823,4637
-81.8514685690682,-10.1113407540649,"24/11/2015",26.16,4565
-80.2220162572581,-13.5726443910765,"30/01/2015",23.692,4644
-73.6969950539424,-16.6122692886243,"28/03/2011",20.149,2221
-80.4053238240847,-9.82549955701623,"17/01/2015",23.661,5662
-82.0326230008379,-11.3227076705442,"22/10/2010",24.43,4106
-79.8804386846759,-12.6442272043754,"01/01/2014",25.349,4747
-78.542266647482,-14.9982895707251,"16/10/2013",24.135,4187
-82.1628640423949,-10.0381451625148,"14/05/2013",26.621,4553
-73.0784224719817,-18.5651730678282,"19/10/2012",23.44,4278
-74.8927465311529,-18.2967707574236,"05/04/2013",23.986,4336
-81.9957616710556,-9.54311830171413,"26/02/2012",26.441,4302
-73.2438927998833,-18.0406326766524,"10/02/2015",24.133,5292
-81.8276402659692,-8.47323280129149,"08/04/2013",25.117,4654
-77.0074441210182,-17.5330601518187,"30/01/2015",23.342,3987
-80.6116685390655,-11.6338484656906,"17/06/2015",25.228,4564
-71.5902802314814,-19.3668229209408,"28/06/2015",24.382,6832
-83.3747509628757,-5.50245179918287,"14/01/2015",23.244,3980
-75.4706711856469,-17.6667837984326,"03/12/2011",23.871,4351
-72.549317746564,-18.8271995542403,"28/08/2012",23.889,4518
-83.1059175608467,-7.41180147196992,"27/11/2011",25.277,4337
-76.0057492826222,-17.796603749586,"08/04/2011",23.696,4540
-80.7608302355834,-8.79919784532042,"03/09/2015",25.489,5363
-80.6459790116716,-12.4331929859972,"22/06/2014",25.861,4543
-76.1300433046888,-16.8966845287102,"05/01/2011",23.456,3990
-75.8082404698799,-17.7834751352074,"26/02/2013",23.649,4540
-73.3178910488188,-18.9138299175925,"25/04/2010",22.967,4658
-77.1825840409336,-18.0858966618033,"14/03/2015",23.197,4174
-80.6511314735217,-13.4289438246327,"15/03/2013",24.913,4654
-72.2379818968045,-19.5668572794339,"22/05/2014",24.34,4059
-78.1556095950813,-18.0696050481235,"14/07/2013",23.108,2810
-78.9632348495994,-16.5420707532743,"08/12/2014",24.315,4247
-79.8991506586784,-11.9419086473843,"16/06/2013",25.589,4750
-79.3165120676438,-13.2852435720937,"22/04/2015",22.962,4313
-81.8092459309605,-6.53260688959007,"28/11/2014",21.566,5508
-78.2049016070407,-16.1332848018832,"16/02/2010",23.689,3492
-75.6766236322918,-18.5906493631923,"30/08/2014",24.006,3968
-74.2117234431681,-17.8955241674206,"29/03/2010",22.221,4056
-80.2653045637376,-8.01840500137369,"19/06/2012",20.74,225
-77.4632237812421,-16.8966220467166,"11/08/2010",22.82,2958
-81.2333187889552,-9.532446403826,"17/01/2011",25.431,4863
-83.1645902534921,-9.93564179140375,"28/01/2014",26.761,4459
-82.8190885967129,-6.43095175774986,"03/11/2014",24.685,4039
-78.4328890112665,-15.6208991354245,"21/04/2015",23.687,4144
-79.5208745020294,-12.1053536446559,"08/03/2015",25.534,4937
-79.1426822802533,-9.62493336431707,"01/12/2014",20.567,152
-76.9673629358351,-18.2343561330767,"06/11/2015",23.151,4475
-83.3689143914221,-5.68637287750415,"15/10/2012",24.03,3758
-75.6011042765352,-16.7847939439151,"02/12/2012",22.608,3941
-81.0395091435212,-11.6144288175157,"03/11/2012",25.76,4508
-81.6186941754684,-7.58892700103653,"11/11/2011",22.804,4900
-80.3928222575222,-10.7974148513089,"18/04/2014",26.025,4480
-82.2223043294598,-6.36081932343002,"09/03/2012",22.212,4523
-81.8573135550357,-9.21101635728367,"28/09/2012",25.82,4452
-72.1025720700777,-19.1169840802175,"14/04/2013",24.719,5810
-78.4380533382793,-14.2150435276964,"10/11/2014",24.599,4282
-73.1874521517428,-19.9263477857119,"24/09/2015",23.936,4610
-81.538915958483,-10.2698774336017,"10/06/2014",24.718,4538
-81.4764452010129,-14.0971593855398,"09/05/2011",24.801,4930
-78.1966783887154,-16.85393306657,"04/08/2012",22.997,3031
-73.7409843034865,-18.2351119896081,"13/11/2012",22.24,4415
-74.6995692468488,-18.4314365807277,"25/03/2011",23.576,4763
-75.7505509344141,-18.4413189095165,"05/08/2011",24.186,4575
-75.3632343882512,-17.6774213213655,"24/09/2015",23.884,4210
-80.8222012155481,-9.93775067185739,"27/10/2013",23.746,4998
-72.9463650655133,-18.4550895095142,"31/05/2014",23.651,4757
-79.8875153162663,-17.292850323881,"24/08/2013",23.835,4167
-77.9569204263902,-17.3862844158507,"25/06/2013",23.382,3065
-73.9193482102224,-19.8124249116763,"07/03/2015",23.709,4865
-82.6904209515112,-6.31426177111664,"28/04/2013",23.748,4028
-74.897936713766,-18.1862440028351,"24/04/2010",23.884,4237
-78.4044370402618,-10.9767862515619,"27/09/2015",21.285,649
-81.9346686126627,-8.79871513466727,"04/01/2014",25.451,4388
-82.1935297268505,-9.10912668579664,"25/03/2014",25.746,4505
-79.9607087553639,-10.8359216049783,"23/12/2012",25.482,5372
-78.9522090250094,-16.6760341721221,"17/05/2012",23.639,4195
-80.6793217798614,-13.9639923478798,"06/01/2013",24.762,4753
-76.7370709542316,-18.3062043560143,"12/02/2015",22.911,4252
-75.6322925958461,-15.2779652578678,"20/05/2010",17.904,1293
-83.0669336857145,-10.0229600208256,"24/12/2011",26.469,4842
-77.8530149110361,-16.8842198681738,"03/09/2014",23.466,3009
-76.7419211330787,-18.6396033351506,"05/06/2012",23.087,4590
-76.6983702128097,-19.0694025955346,"19/11/2014",23.601,4597
